#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
allowed_to_serve_holy_order;Allowed to Join Order;Autorisé à l'ordre de jointure;Dem Orden beitreten dürfen;;Mascotas a unirse a orden;;;;;;;;;x
EVTOPTA_ancrel_0248;I will make an offering of gold and treasure.;;Ich werde ein Opfer aus Gold und Schätzen darbringen.;;;;;;;;;;;x
EVTOPTB_ancrel_0248;My court bard will help me craft a worthy ballad.;;Mein Hofbarde wird mir helfen, eine würdige Ballade zu schreiben.;;;;;;;;;;;x
EVTDESC_ancrel_0249;As you and your men gather in the sacred grove, your druid and vates start spreading the scent of burning herbs to attract the attention of the Sidhe. Your court bard approaches the middle of the grove and starts singing a beautiful ballad, the hymn resonating in the night air.;;Während du und deine Männer sich im heiligen Hain versammeln, beginnen dein Druide und deine Vates, den Duft brennender Kräuter zu verbreiten, um die Aufmerksamkeit der Sidhe zu erregen. Euer Hofbarde nähert sich der Mitte des Hains und beginnt eine wunderschöne Ballade zu singen, die in der Nachtluft widerhallt.;;;;;;;;;;;x
EVTOPTA_ancrel_0249;Let's hope the Sidhe accept this offering;;Hoffen wir, dass die Sidhe dieses Angebot annehmen.;;;;;;;;;;;x
EVTDESC_ancrel_0253;Fine treasures of gold and silver are brought inside the grove, the smell of burning herbs permeates the air as you kneel before a small stream of water. You slowly place the offerings inside the stream and watch as they are taken away, to be enjoyed by the spirits.;;Feine Schätze aus Gold und Silber werden in den Hain gebracht, der Geruch von brennenden Kräutern durchdringt die Luft, während du vor einem kleinen Wasserlauf kniest. Du legst die Opfergaben langsam in den Bach und beobachtest, wie sie weggetragen werden, um von den Geistern genossen zu werden.;;;;;;;;;;;x
EVTOPTA_ancrel_0253;Let's hope the Sidhe accept this offering;;Hoffen wir, dass die Sidhe diese Opfergabe annehmen.;;;;;;;;;;;x
EVTTOOLTIP_ancrel_0250;The offering is rejected;;Die Opfergabe wird abgelehnt;;;;;;;;;;;x
EVTDESC_ancrel_0250;Despite your offering, it seems like the Sidhe have not accepted your attempt at bolstering your relations. Your druid says that your offering was seen as disrespectful and insulting, while they might not get angry, we must tread carefully.;;Trotz deines Opfers scheinen die Sidhe deinen Versuch, eure Beziehungen zu festigen, nicht angenommen zu haben. Euer Druide sagt, dass euer Angebot als respektlos und beleidigend angesehen wurde. Auch wenn sie nicht wütend werden, müssen wir vorsichtig sein.;;;;;;;;;;;x
EVTOPTA_ancrel_0250;There is no satisfying them!;;Man kann sie nicht zufrieden stellen!;;;;;;;;;;;x
EVTTOOLTIP_ancrel_0251;The offering is accepted, but spirits are not completely pleased;;Das Angebot wird angenommen, aber die Geister sind nicht ganz zufrieden;;;;;;;;;;;x
EVTDESC_ancrel_0251;You await, breathless, as the Druids colloquy with the Sidhe comes to an end. It seems like your offerings have been accepted! Nonetheless he warns you that the spirits are not necessarily pleased and, while they will probably not cause any troubles, future offerings will need to be superior for them to be satisfied completely.;;Du wartest atemlos, bis das Gespräch der Druiden mit den Sidhe zu Ende ist. Es scheint, als ob deine Opfergaben angenommen wurden! Dennoch warnt er euch, dass die Geister nicht unbedingt zufrieden sind, und obwohl sie wahrscheinlich keine Probleme machen werden, müssen zukünftige Opfergaben besser sein, damit sie vollständig zufrieden sind.;;;;;;;;;;;x
EVTOPTA_ancrel_0251;We have peace, for now..;;Für den Moment haben wir Frieden.;;;;;;;;;;;x
EVTTOOLTIP_ancrel_0252;The offering is accepted;;Die Opfergabe wird angenommen;;;;;;;;;;;x
EVTDESC_ancrel_0252;The good news rapidly spread thoughout your lands, the offerings made to the great Sidhe have been accepted! The Druid tells of dancing elves and restful tree-spirits receiving the offerings with great pleasure. While the Sidhe are fickle beings, it is probable that our standing with them shall improve.;;Die gute Nachricht hat sich schnell in euren Ländern verbreitet: Die Opfergaben an die großen Sidhe wurden angenommen! Der Druide berichtet von tanzenden Elfen und ruhigen Baumgeistern, die die Opfergaben mit großer Freude entgegennehmen. Die Sidhe sind zwar wankelmütige Wesen, aber es ist wahrscheinlich, dass sich unser Ansehen bei ihnen verbessern wird.;;;;;;;;;;;x
EVTOPTA_ancrel_0252;Praise be the gods!;;Gelobt seien die Götter!;;;;;;;;;;;x
EVTNAME_ancrel_0256;Y Mab Darogan;;Y Mab Darogan;;;;;;;;;;;x
EVTDESC_ancrel_0256;Since the darkest days of the Britons' exile from the fertile grasslands of Britain, druids have foretold and bards have sung of a hero that would arise and end the age of the Saxons, driving the invaders into disgrace, and rule Britain from Mann to Brittany, from Dyfed to Kent. Many listened, by their hearths, but few believed it possible. Now, [Root.GetBestName] and [Root.GetHerHis] clan have proved all the doubters wrong. Through tenacious cunning, skilful diplomacy, and bright British arms, they have led their people to rid the great isle of their ancient enemies, and unified Prydain under its rightful rulers - and now, as the High King's crown settles on [Root.GetHerHis] head, cheers ring out for [Root.GetHerHim] as Y Mab Darogan, the Son of Destiny, the saviour of the Briton kindred!;;Seit den dunkelsten Tagen der Verbannung der Briten aus dem fruchtbaren Grasland Britanniens haben Druiden geweissagt und Barden von einem Helden gesungen, der sich erheben und das Zeitalter der Sachsen beenden würde, der die Eindringlinge in die Schande treiben und Britannien von Mann bis Bretagne, von Dyfed bis Kent regieren würde. Viele hörten zu, an ihren Herden, aber nur wenige hielten es für möglich. Jetzt haben [Root.GetBestName] und [Root.GetHerHis] Clan allen Zweiflern das Gegenteil bewiesen. Durch hartnäckige Gerissenheit, geschickte Diplomatie und glänzende britische Waffen haben sie ihr Volk dazu gebracht, die große Insel von ihren alten Feinden zu befreien und Prydain unter seinen rechtmäßigen Herrschern zu vereinen - und nun, da sich die Krone des Hochkönigs auf [Root.GetHerHis] Haupt niederlässt, ertönt Jubel für [Root.GetHerHim] als Y Mab Darogan, den Sohn des Schicksals, den Retter des britischen Volkes!;;;;;;;;;;;x
EVTOPTA_ancrel_0256;Praise be the gods!;;Gelobt seien die Götter!;;;;;;;;;;;x
EVTDESC_ancrel_0257;Terrible winds scour §Y[Root.GetName]§!, waters appear where none were before.. It seems that the Sidhe, the ancient spirits that protect our lands have grown restless. Their antics have destroyed many of the shrines and groves that praise our protectors.;;Schreckliche Winde fegen über §Y[Root.GetName]§! hinweg, Wasser erscheint, wo vorher keines war... Es scheint, dass die Sidhe, die alten Geister, die unsere Länder schützen, unruhig geworden sind. Ihr Treiben hat viele Schreine und Haine zerstört, die unsere Beschützer preisen.;;;;;;;;;;;x
EVTOPTA_ancrel_0257;We must find a way to appease them!;;Wir müssen einen Weg finden, sie zu besänftigen!;;;;;;;;;;;x
EVTDESC_ancrel_0254;Through just rule and worthy sacrifices, you have calmed the spirits that lay siege to §Y[Root.GetName]§!.;;Durch gerechte Herrschaft und würdige Opfer habt Ihr die Geister besänftigt, die §Y[Root.GetName]§! belagern.;;;;;;;;;;;x
EVTOPTA_ancrel_0254;Thank you [Root.Holder.Religion.GetRandomGodNameCap];;Danke, [Root.Holder.Religion.GetRandomGodNameCap];;;;;;;;;;;x
###Divination;;;;;;;;;;;;;;x
EVTDESC_ancrel_0020;You have sent out summons to all of your vassals for the divination. Those that have been baptized or profess to follow the teachings of the Prophet will have to offer gold to be exempted from this sacred ceremony.;Vous avez envoyé un avis de convocation à tous vos vassaux pour le blót. Ceux qui ont été baptisés ou qui affirment suivre l'enseignement du prophète devront offrir de l'or pour être exemptés de ce festin majestueux. ;Ihr habt alle Eure Vasallen zur Wahrsagung vorgeladen. Diejenigen, die getauft sind oder sich zu den Lehren des Propheten bekennen, müssen Gold opfern, um von dieser heiligen Zeremonie ausgenommen zu werden.;;Has enviado citaciones a todos tus vasallos para la mancha. Los que han sido bautizados o profesan seguir las enseñanzas del profeta tendrán que ofrecer oro para quedar exentos de esta magnífica fiesta.;;;;;;;;;x
EVTOPTA_ancrel_0020;I can hardly wait!;Je ne peux plus attendre !;Ich kann es kaum erwarten!;;¡No puedo esperar!;;;;;;;;;x
EVTTOOLTIP_ancrel_0021;Summoned to celtic divination.;Convoqué(e) au blót;Zur keltischen Wahrsagung berufen.;;Convocado a mancha.;;;;;;;;;x
EVTTOOLTIP_ancrel_0022;Exempted from celtic divination.;Exempté(e) du blót;Befreit von der keltischen Wahrsagerei.;;Exentos de mancha.;;;;;;;;;x
EVTDESC_ancrel_0021;Your wise liege, [From.GetTitledFirstName], has summoned you and [From.GetHerHis] other vassals to a celtic divination. There you will worship and give sacrifice to the gods before taking part in a ceremony where you learn the fate the gods have in stock.;Votre sage seigneur, [From.GetTitledFirstName], vous a convoqué(e) vous et ses autres vassaux pour assister au blót. Vous y vénérerez les dieux et vous leur ferez des offrandes avant de prendre part à un grand festin où vous boirez en leur nom.;Euer weiser Lehnsherr, [From.GetTitledFirstName], hat Euch und [From.GetHerHis] andere Vasallen zu einer keltischen Wahrsagung einbestellt. Dort werdet Ihr die Götter verehren und ihnen Opfer bringen, bevor Ihr an einer Zeremonie teilnehmt, in der Ihr das Schicksal erfahrt, das die Götter auf Lager haben.;;Tu sabio señor, [From.GetTitledFirstName], te ha convocado a ti y a [From.GetHerHis] otros vasallos a una mancha. Allí podrás adorar y dar sacrificio a los dioses antes de tomar parte en una gran fiesta donde se bebe en su nombre.;;;;;;;;;x
EVTOPTA_ancrel_0021;I wouldn't miss it.;Je ne veux pas manquer ça.;Das würde ich mir nicht entgehen lassen.;;No me lo perdería.;;;;;;;;;x
EVTDESC_ancrel_0022;Your liege, [From.GetTitledFirstName], remains trapped in [From.GetHerHis] heathen ways, and now [From.GetSheHe] has summoned all of [From.GetHerHis] vassals to a divination where [From.GetSheHe] intends to give sacrifice to [From.GetHerHis] pagan gods. Since you do not practise their heathen religion, you will be expected to contribute gold in order to be exempted from this ceremony.;Votre seigneur, [From.GetTitledFirstName], demeure prisonnier de ses mœurs païennes et a convoqué tous ses vassaux à assister au blót lors duquel [From.GetSheHe] compte faire des offrandes à ses dieux païens. Puisque vous ne pratiquez pas la religion païenne, vous devrez donner de l'or pour être exempté de cette cérémonie. ;Euer Lehnsherr, [From.GetTitledFirstName], ist nach wie vor in [From.GetHerHis] heidnischen Bräuchen gefangen, und nun hat [From.GetSheHe] alle [From.GetHerHis] Vasallen zu einer Weissagung einberufen, bei der [From.GetSheHe] beabsichtigt, [From.GetHerHis] heidnischen Göttern zu opfern. Da Ihr deren heidnische Religion nicht praktiziert, wird von Euch erwartet, dass Ihr Gold spendet, um von dieser Zeremonie ausgenommen zu werden.;;Tu señor, [From.GetTitledFirstName], sigue atrapado en [From.GetHerHis] formas paganas, y ahora [From.GetSheHe] ha convocado a todos [From.GetHerHis] vasallos a una mancha donde [From.GetSheHe] tiene la intención de dar sacrificio a [From.GetHerHis] dioses paganos. Dado que no practicas su religión pagana, se espera que contribuyas con oro con el fin de quedar exento de esta ceremonia.;;;;;;;;;x
EVTOPTA_ancrel_0022;I suppose I have no choice in the matter.;J'imagine que je n'ai pas la choix.;Ich nehme an, ich habe in dieser Angelegenheit keine Wahl.;;Supongo que no tengo otra opción.;;;;;;;;;x
EVTOPTB_ancrel_0022;As [This.Religion.GetRandomGodNameCap] is my witness, I shan't pay!;[This.Religion.GetRandomGodNameCap] m'en est témoin, je ne paierai pas !;Da [This.Religion.GetRandomGodNameCap] mein Zeuge ist, werde ich nicht zahlen!;;Como [This.Religion.GetRandomGodNameCap] es mi testigo, ¡no pagaré!;;;;;;;;;x
EVTTOOLTIP_ancrel_0023;Your payment is received.;Votre paiement a été reçu. ;Eure Zahlung ist eingegangen.;;Tu pago es recibido.;;;;;;;;;x
EVTDESC_ancrel_0023;[From.GetTitledFirstName], your vassal, is stubborn in [From.GetHerHis] ways and speaks only of the mercy of [From.Religion.GetRandomGodNameCap], but [From.GetSheHe] has wisely decided to offer you some gold to be exempted from the divination.;[From.GetTitledFirstName], votre vassal, est entêté(e) et ne répond qu'à la miséricorde de [From.Religion.GetRandomGodNameCap]. Cependant, [From.GetSheHe] a sagement décidé de vous offrir de l'or pour être libéré(e) de son obligation d'assister au blót. ;[From.GetTitledFirstName], Euer Vasall, ist stur auf [From.GetHerHis] Art und Weise und spricht nur von der Barmherzigkeit von [From.Religion.GetRandomGodNameCap], aber [From.GetSheHe] hat weise entschieden, Euch etwas Gold anzubieten, um von der Weissagung befreit zu werden.;;[From.GetTitledFirstName], tu vasallo, es terco en [From.GetHerHis] modos y solo habla de la misericordia de [From.Religion.GetRandomGodNameCap], pero [From.GetSheHe] ha decidido sabiamente ofrecerte un poco de oro para quedar exento de la mancha.;;;;;;;;;x
EVTOPTA_ancrel_0023;As well [From.GetSheHe] should.;[From.GetSheHe] fait bien.;Das sollte [From.GetSheHe] auch tun.;;Así que [From.GetSheHe] debería.;;;;;;;;;x
EVTOPTA_ancrel_0025;Now for the human sacrifice...;Et maintenant, le sacrifice humain...;Nun zu dem Menschenopfer...;;Ahora, para el sacrificio humano...;;;;;;;;;x
EVTTOOLTIP_ancrel_0056;Your refusal to pay is received.;Votre refus de payer a été reçu.;Eure Weigerung, zu zahlen, ist angekommen.;;Se recibe tu negativa a pagar.;;;;;;;;;x
EVTDESC_ancrel_0056;Despite having sworn you fealty, [From.GetTitledFirstName] refuses to offer gold in order to be exempted from the festivities! According to [From.GetFirstName], [From.Religion.GetRandomGodName] would not forgive [From.GetHerHim] if [From.GetSheHe] contributed as much as a single copper to a heathen festival.;Malgré son serment, [From.GetTitledFirstName] refuse de vous offrir de l'or afin d'être libéré(e) de son obligation à assister au blót ! Selon [From.GetFirstName], [From.Religion.GetRandomGodName] ne lui pardonnerait pas si [From.GetSheHe] donnait ne serait-ce qu'une seule pièce de cuivre à un 'festival païen'.  ;Obwohl er Euch Treue geschworen hat, weigert sich [From.GetTitledFirstName], Gold zu opfern, um von den Festlichkeiten befreit zu werden! Laut [From.GetFirstName] würde [From.GetHerHim] nicht verzeihen, wenn [From.GetSheHe] auch nur ein einziges Kupfer zu einem heidnischen Fest beisteuern würde.;;A pesar de haberte jurado lealtad, ¡[From.GetTitledFirstName] se niega a ofrecer oro para quedar exento de la mancha!. Según [From.GetFirstName], [From.Religion.GetRandomGodName] no perdonará a [From.GetHerHim] si [From.GetSheHe] ha contribuido con un solo cobre para una fiesta pagana.;;;;;;;;;x
EVTOPTA_ancrel_0056;This insult will not be forgotten.;On n'oubliera pas cette insulte de sitôt.;Diese Beleidigung wird nicht vergessen werden.;;Este insulto no será olvidado.;;;;;;;;;x
EVTDESC_ancrel_0024;The guests have arrived, and the time has come for the divination to begin! You gather near the grove, and start by offering animals as sacrifice to the gods. While their meat is prepared for the feast that is to follow,the blood is sprinkled on the trees and the many representations of the gods, as well as on the worshippers themselves.;Les invités sont arrivés et il est temps de commencer le blót ! Vous vous rassemblez devant le temple et commencez par offrir des animaux en sacrifice aux dieux. Tandis qu'on prépare leur viande pour le festin qui doit suivre, on arrose de leur sang les statues d'Odin, de Thor, de Freyr et des autres dieux, ainsi que les adorateurs eux-mêmes.;Die Gäste sind eingetroffen, und die Zeit ist gekommen, dass die Weissagung beginnt! Ihr versammelt euch in der Nähe des Hains und bringt den Göttern zunächst Tiere als Opfer dar. Während ihr Fleisch für das anschließende Festmahl zubereitet wird, wird das Blut auf die Bäume und die vielen Götterdarstellungen sowie auf die Anbeter selbst gesprenkelt.;;Los invitados han llegado, y ¡ha llegado el momento de que la mancha comience! Te reúnes fuera del templo, y comienzas ofreciendo animales como sacrificio a los dioses. Mientras se prepara la carne para la fiesta que va a seguir, la sangre salpica las estatuas de Odín, Thor, Freyr y los otros dioses, así como a los mismísimos fieles.;;;;;;;;;x
EVTOPTA_ancrel_0024;Now for the human sacrifice...;Et maintenant, le sacrifice humain...;Nun zu den Menschenopfern...;;Ahora, para el sacrificio humano...;;;;;;;;;x
EVTDESC_ancrel_0025;The time has come for the divination held by [From.GetTitledFirstName] to begin! You gather near the grove,and start by offering animals as sacrifice to the gods. While their meat is prepared for the feast that is to follow, the blood is sprinkled on the trees and the many representations of the gods, as well as on the worshippers themselves.;Il est temps de commencer le blót tenu par [From.GetTitledFirstName] ! Vous vous rassemblez devant le temple et commencez par offrir des animaux en sacrifice aux dieux. Tandis qu'on prépare leur viande pour le festin qui doit suivre, on arrose de leur sang les statues d'Odin, de Thor, de Freyr et des autres dieux, ainsi que les adorateurs eux-mêmes.;Es ist an der Zeit, dass die von [From.GetTitledFirstName] gehaltene Weissagung beginnt! Ihr versammelt euch in der Nähe des Hains und beginnt damit, den Göttern Tiere als Opfer zu bringen. Während ihr Fleisch für das anschließende Festmahl zubereitet wird, wird das Blut auf die Bäume und die vielen Götterdarstellungen sowie auf die Anbeter selbst gesprenkelt.;;¡Ha llegado el momento de empezar la mancha celebrada por [From.GetTitledFirstName]!. Te reúnes fuera del templo, y comienzas ofreciendo animales como sacrificio a los dioses. Mientras se prepara la carne para la fiesta que va a seguir, la sangre salpica las estatuas de Odín, Thor, Freyr y los otros dioses, así como a los mismísimos fieles.;;;;;;;;;x
EVTDESC_ancrel_0026;Although you have been told little, the noise from outside your dungeon is enough to make it clear that your captor, [Root.Host.GetTitledFirstName] is holding a divination where [Root.Host.GetSheHe] will offer sacrifice to divine the future and worship the gods. Guards burst inside your cell and drag you away to the local grove... ;Même si on ne vous en a pas dit beaucoup, le bruit provenant de l'extérieur de votre cachot suffit à confirmer que [Root.Host.GetTitledFirstName], votre ravisseur, prépare un blót au cours duquel des offrandes seront sacrifiées aux dieux qu'il vénère. Des gardes surgissent dans votre cellule et vous traînent jusqu'à la potence devant le temple local...;Obwohl man dir nur wenig gesagt hat, reicht der Lärm außerhalb deines Kerkers aus, um dir klar zu machen, dass dein Entführer, [Root.Host.GetTitledFirstName], eine Weissagung abhält, bei der [Root.Host.GetSheHe] Opfer darbringen wird, um die Zukunft zu erahnen und die Götter anzubeten. Die Wachen stürmen in Eure Zelle und verschleppen Euch in den örtlichen Hain... ;;Aunque poco te han dicho, el ruido fuera de tu mazmorra es suficiente para dejar claro que tu captor, [Root.Host.GetTitledFirstName] está celebrando una mancha donde [Root.Host.GetSheHe] ofrecerá sacrificio en la adoración de [Root.Host.GetHerHis] dioses. Los guardias irrumpen en el interior de tu celda y te arrastran a la horca fuera del templo local...;;;;;;;;;x
EVTOPTA_ancrel_0026;No! Not like this!;Non ! Pas comme ça !;Nein! Nicht so!;;¡No! ¡Así no!;;;;;;;;;x
EVTDESC_ancrel_0030;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the grove. The vates walks around [From.GetHerHim] while a druid talks of the gods. A small yellow pool forms at [From.GetFirstName]'s feet.;On escorte [From.GetTitledFirstName] depuis les cachots jusqu'au temple. On lui passe la corde autour du cou, attachée à la branche solide d'un chêne à proximité. Une petite flaque jaunâtre se forme à ses pieds.;[From.GetTitledFirstName] wird aus dem Kerker geholt und in den Hain geführt. Die Vates gehen um [From.GetHerHim] herum, während ein Druide über die Götter spricht. Zu den Füßen von [From.GetFirstName] bildet sich eine kleine gelbe Lache.;;[From.GetTitledFirstName] es traído de tu mazmorra y escoltado al templo. Se coloca una soga alrededor de [From.GetHerHis] cuello y la cuerda se lanza sobre una gruesa rama de un roble cercano. Se forma una pequeña piscina de color amarillo a los pies de [From.GetFirstName].;;;;;;;;;x
EVTOPTA_ancrel_0030;[This.Religion.GetRandomGodNameCap], we offer you this sacrifice...;Père de tous, nous t'offrons ce sacrifice...;[This.Religion.GetRandomGodNameCap], wir bringen Euch dieses Opfer dar...;;Padre de Todos, te ofrecemos este sacrificio...;;;;;;;;;x
EVTOPTB_ancrel_0030;No, I have changed my mind.;Non, j'ai changé d'avis.;Nein, ich habe meine Meinung geändert.;;No, he cambiado de opinión.;;;;;;;;;x
EVTDESC_ancrel_0031;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the grove. As the druid paints [From.GetHerHis] face, [From.GetSheHe] steadies [From.GetHerselfHimself] and murmurs several passages that you recognize as being from the Christian holy book.;On escorte [From.GetTitledFirstName] depuis les cachots jusqu'au temple. Pendant qu'on lui passe la corde autour du cou, [From.GetSheHe] se tient fermement et murmure plusieurs passages que vous reconnaissez comme provenant du livre saint des chrétiens.;[From.GetTitledFirstName] wird aus Euren Kerkern geholt und in den Hain begleitet. Während der Druide [From.GetHerHis] Gesicht bemalt, beruhigt [From.GetSheHe] [From.GetHerselfHimself] und murmelt mehrere Passagen, die Ihr als aus dem heiligen Buch der Christen erkennt.;;[From.GetTitledFirstName] es traído de tu mazmorra y escoltado al templo. Mientras le ponen la soga alrededor de [From.GetHerHis] cuello, [From.GetSheHe] se estabiliza a [From.GetHerselfHimself] y murmura varios pasajes que reconoces son del libro sagrado Cristiano.;;;;;;;;;x
EVTOPTA_ancrel_0031;Where is your Blessed Virgin now, [From.GetFirstName]?;Elle est où, maintenant, votre Sainte Vierge, [From.GetFirstName] ?;Wo ist deine Heilige Jungfrau jetzt, [From.GetFirstName]?;;¿Dónde está tu Santísima Virgen ahora, [From.GetFirstName]?;;;;;;;;;x
EVTOPTB_ancrel_0031;No, perhaps this is a bad idea...;Non, ce n'est peut-être pas une bonne idée...;Nein, vielleicht ist das eine schlechte Idee...;;No, tal vez esto es una mala idea...;;;;;;;;;x
EVTDESC_ancrel_0032;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the grove. A vates starts taunting [From.GetHerHis] with a branch of oak while [From.GetSheHe] murmurs a passage with closed eyes from the Mohammedan holy book.;On escorte [From.GetTitledFirstName] depuis les cachots jusqu'au temple. Pendant qu'on lui passe la corde autour du cou, [From.GetSheHe], les yeux clos, murmure un passage du livre saint de Mahomet.   ;[From.GetTitledFirstName] wird aus Euren Kerkern geholt und in den Hain geführt. Ein Vates beginnt, [From.GetHerHis] mit einem Eichenzweig zu verspotten, während [From.GetSheHe] mit geschlossenen Augen eine Passage aus dem heiligen Buch der Mohammedaner murmelt.;;[From.GetTitledFirstName] es traído de tu mazmorra y escoltado al templo. Tus guardias le ponen la soga alrededor de [From.GetHerHis] cuello mientras [From.GetSheHe] murmura con los ojos cerrados un pasaje del libro sagrado Mahometano.;;;;;;;;;x
EVTOPTA_ancrel_0032;Soon you shall meet your Prophet, friend.;Bientôt, l'ami, vous rejoindrez votre prophète.;Bald wirst du deinen Propheten treffen, Freund.;;Pronto conocerás a tu Profeta, amigo.;;;;;;;;;x
EVTOPTB_ancrel_0032;No, perhaps this is a bad idea...;Non, ce n'est peut-être pas une bonne idée...;Nein, vielleicht ist das eine schlechte Idee...;;No, tal vez esto es una mala idea...;;;;;;;;;x
EVTDESC_ancrel_0033;Your brother, [From.GetTitledFirstName], is brought up from his dungeon and escorted to the grove. As he is forced to his knees, he looks at you with pleading eyes. Don't do this, [Root.GetFirstName]. There has to be some other way...;Votre frère [From.GetTitledFirstName] est escorté depuis les cachots jusqu'au temple. Pendant qu'on lui passe la corde autour du cou, il vous fixe d'un regard suppliant comme s'il disait : 'Ne fais pas ça, [Root.GetFirstName]. Il doit bien y avoir une autre solution...';Dein Bruder, [From.GetTitledFirstName], wird aus seinem Kerker geholt und in den Hain geführt. Als er auf die Knie gezwungen wird, sieht er Euch mit flehenden Augen an. Tu das nicht, [Root.GetFirstName]. Es muss doch einen anderen Weg geben...;;Tu hermano, [From.GetTitledFirstName], es traído desde su mazmorra y escoltado al templo. Mientras le ponen la soga al cuello, te mira con ojos suplicantes. No hagas esto, [Root.GetFirstName]. Tiene que haber otra manera...;;;;;;;;;x
EVTOPTA_ancrel_0033;I'm afraid not. Do it, men.;J'ai bien peur que non. Soldats, poursuivez.;Ich fürchte nicht. Tut es, Männer.;;Me temo que no. Hacedlo, hombres.;;;;;;;;;x
EVTOPTB_ancrel_0033;No, I can't do this to my own brother...;Non, je ne peux pas faire ça à mon propre frère...;Nein, das kann ich meinem eigenen Bruder nicht antun...;;No, no puedo hacer esto a mi propio hermano...;;;;;;;;;x
EVTDESC_ancrel_0034;Your sister, [From.GetTitledFirstName], is dragged up from her dungeon and escorted to the grove. She looks up at you with tears streaming down her face as your vates force her to her knees. Please, [Root.GetFirstName], she says with a trembling voice. Don't let them do this.;Votre sœur [From.GetTitledFirstName] est escortée depuis les cachots jusqu'au temple. Le visage en larmes, elle vous regarde pendant que les gardes lui passent la corde autour du cou et elle prononce d'une voix tremblotante : 'Je t'en supplie, [Root.GetFirstName]. Ne les laisse pas faire ça.';Eure Schwester, [From.GetTitledFirstName], wird aus ihrem Kerker hochgezerrt und in den Hain geführt. Sie sieht zu dir auf und hat Tränen im Gesicht, als deine Wächter sie auf die Knie zwingen. Bitte, [Root.GetFirstName], sagt sie mit zitternder Stimme. Lasst sie das nicht tun.;;Tu hermana, [From.GetTitledFirstName], es arrastrada desde su mazmorra y escoltada al templo. Te mira con lágrimas en su rostro mientras tus guardias le ponen la soga alrededor del cuello. Por favor, [Root.GetFirstName], dice con voz temblorosa. No dejes que lo hagan.;;;;;;;;;x
EVTOPTA_ancrel_0034;There can be no turning back now. I'm sorry.;On ne peut plus revenir en arrière. Je suis désolé.;Es gibt jetzt kein Zurück mehr. Es tut mir so leid.;;No puede haber vuelta atrás. Lo siento.;;;;;;;;;x
EVTOPTB_ancrel_0034;No... not my own sister...;Non... pas ma propre sœur...;Nein... nicht meine eigene Schwester...;;No... no a mi propia hermana...;;;;;;;;;x
EVTDESC_ancrel_0035;The vates drag your father, [From.GetTitledFirstName], from his dungeon and escort him to the grove where they sprinkle him with blood. My [Root.GetSonDaughter], he croaks while looking at you. Can't you find it in your heart to forgive me?;Les gardes escortent votre père, [From.GetTitledFirstName], depuis les cachots jusqu'au temple où ils lui passent la corde autour du cou. 'Mon enfant, ne pourrez-vous donc pas trouver dans votre cœur la possibilité de me pardonner ?';Die Wachen holen deinen Vater, [From.GetTitledFirstName], aus seinem Kerker und führen ihn in den Hain, wo sie ihn mit Blut bespritzen. Meine [Root.GetSonDaughter], krächzt er, während er dich ansieht. Kannst du es nicht übers Herz bringen, mir zu verzeihen?;;Los guardias arrastran a tu padre, [From.GetTitledFirstName], desde su mazmorra y le escoltan hasta el templo donde le ponen la soga al cuello. Mi [Root.GetSonDaughter], grazna mientras te mira. ¿No puedes encontrar en tu corazón mi perdón?;;;;;;;;;x
EVTOPTA_ancrel_0035;No.;Non.;Nein.;;No.;;;;;;;;;x
EVTOPTB_ancrel_0035;I can't do this to my own father...;Je ne peux pas faire ça à mon propre prère...;Das kann ich meinem eigenen Vater nicht antun...;;No le puedo hacer esto a mi propio padre.;;;;;;;;;x
EVTDESC_ancrel_0036;Distant screaming can be heard as the vates drag your mother, [From.GetTitledFirstName], from her dungeon. They bring her to the grove and as they place her before the sacrificial pit, she looks at you with pleading eyes. W-why would you do this to your own mother?;On entend des cris lointains alors que des gardes traînent votre mère, [From.GetTitledFirstName], hors du cachot. Ils la conduisent au temple et lorsqu'ils lui passent la corde au cou, elle vous regarde en sanglotant. 'P-pourquoi faites-vous cela à votre propre mère ?';Aus der Ferne sind Schreie zu hören, als die Wachen deine Mutter, [From.GetTitledFirstName], aus ihrem Kerker zerren. Sie bringen sie in den Hain, und als sie sie vor die Opfergrube legen, sieht sie Euch mit flehenden Augen an. Warum würdet Ihr das Eurer eigenen Mutter antun?;;Se oyen gritos en la distancia cuando tus guardias arrastran a tu madre, [From.GetTitledFirstName], desde su mazmorra. La traen al templo, y mientras le ponen la soga al cuello, ella te mira con ojos de súplica. ¿“Por-por qué le haces esto a tu propia madre?”;;;;;;;;;x
EVTOPTA_ancrel_0036;Because I can.;Parce que je le peux.;Weil ich es kann.;;Porque puedo.;;;;;;;;;x
EVTOPTB_ancrel_0036;I... I wouldn't...;Je... Je ne veux pas...;I... Ich würde nicht...;;Yo… Yo no lo haría…;;;;;;;;;x
