#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#PATRICIANS
temple_king_promethean_pagan;Daskalosophos;Daskalosophos;Daskalosophos;;Daskalosophos;;;;;;;;;x
temple_king_female_promethean_pagan;Daskalosophoia;Daskalosophoia;Daskalosophoia;;Daskalosophoia;;;;;;;;;x
temple_king_female_hellenic_pagan;Regina Sacrorum;Regina Sacrorum;Regina Sacrorum;;Reina Sacrorum;;;;;;;;;x
temple_king_female_jewish_group;Ba'alah Shem;Ba'alah Shem;Ba'alah Shem;;Ba'alah Shem;;;;;;;;;x;;
temple_king_female_norse_pagan;Allsherjargyðja;Allsherjargyðja;Allsherjargyðja;;Allsherjargyðja;;;;;;;;;x
temple_king_female_norse_pagan_reformed;Allsherjargyðja;Allsherjargyðja;Allsherjargyðja;;Allsherjargyðja;;;;;;;;;x
temple_king_hellenic_pagan;Rex Sacrorum;Rex Sacrorum;Rex Sacrorum;;Rey Sacrorum;;;;;;;;;x
temple_king_jewish_group;Ba'al Shem;Ba'al Shem;Ba'al Shem;;Ba'al Shem;;;;;;;;;x;;
temple_king_mandaean;Rišamm;Rišamm;Rišamm;;Rišamm;;;;;;;;x;;
temple_king_manichean;High Disciple;High Disciple;High Disciple;;High Disciple;;;;;;;;x;;
temple_king_norse_pagan;Allsherjargoði;Allsherjargoði;Allsherjargoði;;Allsherjargoði;;;;;;;;;x
temple_king_norse_pagan_reformed;Allsherjargoði;Allsherjargoði;Allsherjargoði;;Allsherjargoði;;;;;;;;;x
temple_king_west_african_pagan;Hierophant;Hiérophante;Hierophant;;Hierofante;;;;;;;;;x;;
temple_king_yazidi;Caliph;Caliph;Caliph;;Caliph;;;;;;;;x;;
temple_king_zoroastrian;Dastur i-Shah;Chah i-Dastur;Dastur i-Schah;;Shah i-Dastur;;;;;;;;;x
temple_kingdom_of_zoroastrian;Atash i-Shahdom of;Atash i-Shahdom de;Atash i-Shahdom von;;Atash i-Shahdom de;;;;;;;;;x
temple_kingdom_zoroastrian;Atash i-Shahdom;Atash i-Shahdom;Atash i-Shahdom;;Atash i-Shahdom;;;;;;;;;x
title_prince_female_iranian;Shahzadokth;Shahzadokth;Shahzadokth;;Shahzadokth;;;;;;;;;x
title_prince_iranian;Shahzada;Shahzada;Shahzada;;Shahzada;;;;;;;;;x
title_prince_saxon;Ætheling;Ætheling;Ætheling;;Ætheling;;;;;;;;;x
title_prince_west_african;Maghan;Maghan;Maghan;;Maghan;;;;;;;;;x
tribal_king;King;Roi;König;;Rey;;;;;;;;x
tribal_king_celtic;Ard Rí;Ard Rí;Ard Rí;;Ard Rí;;;;;;;;;x
tribal_king_female;Queen;Reine;Königin;;Reina;;;;;;;;x
tribal_king_female_celtic;Ard Banríon;Ard Banríon;Ard Banríon;;Ard Banríon;;;;;;;;;x
#EMPERORS
city_emperor;Consul;Consul;Konsul;;Cónsul;;;;;;;;;x
city_emperor_baltic;High Chancellor;Grand Chancelier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_emperor_bulgarian;High Chancellor;Grand Chancelier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_emperor_byzantine;Hypatos;Hypatos;Hypatos;;Hypatos;;;;;;;;;x
city_emperor_celtic;High Chancellor;Grand Chancelier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_emperor_central_germanic;High Chancellor;Grand Chancelier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_emperor_east_african;Tsehafi Tezaz;Tsehafi Tezaz;Tsehafi Tezaz;;Tsehafi Tezaz;;;;;;;;;x
city_emperor_east_slavic;High Chancellor;Grand Chancelier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_emperor_english;Lord Protector;Lord Protector;Lord Protector;;Lord Protector;;;;;;;;;x
city_emperor_female_jewish_group;Rosh HaMemshala;Rosh HaMemshala;Rosh HaMemshala;;Rosh HaMemshala;;;;;;;;;x
city_emperor_finno_ugric;High Chancellor;Grand Chancelier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_emperor_german;Reichskanzler;Reichskanzler;Reichskanzler;;Reichskanzler;;;;;;;;;x
city_emperor_hellenic_pagan;Emperor;Empereur;Kaiser;;Emperador;;;;;;;;;x
city_emperor_iranian;Shahanshah;Shahanshah;Shahanshah;;Shahanshah;;;;;;;;;x
city_emperor_jewish_group;Rosh HaMemshala;Rosh HaMemshala;Rosh HaMemshala;;Rosh HaMemshala;;;;;;;;;x
city_emperor_magyar;High Chancellor;Grand Chancelier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_emperor_norman;Grand Chancellier;Grand Chancelier;Grand Chancelier;;Grand Chancelier;;;;;;;;;x
city_emperor_north_germanic;High Chancellor;Grand Chancelier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_emperor_roman;Dictator;Dictator;Dictator;;Dictator;;;;;;;;;x
city_emperor_west_african;Mansa;Mansa;Mansa;;Mansa;;;;;;;;;x
city_emperor_west_germanic;High Chancellor;Grand Chancelier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_emperor_west_slavic;High Chancellor;Grand Chancelier;Großkanzler;;Gran Canciller;;;;;;;;;x
emperor_altaic;Khagan;Khagan;Khagan;;Gran Kan;;;;;;;;;x;;
emperor_byzantine;Basileus;Basileus;Basileus;;Basileus;;;;;;;;;x
emperor_east_slavic;Tsar;Tsar;Tsar;;Tsar;;;;;;;;;x
emperor_egyptian_pagan;Aai-Pharaoh;Aai-Pharaoh;Aai-Pharaoh;;Aai-Pharaoh;;;;;;;;;x;;
emperor_english;Emperor;Emperor;Emperor;;Emperor;;;;;;;;;x
emperor_female_altaic;Khatun;Khatoun;Khatun;;Khatun;;;;;;;;;x;;
emperor_female_byzantine;Basilissa;Basilissa;Basilissa;;Basilissa;;;;;;;;;x
emperor_female_east_slavic;Tsaritsa;Tsaritsa;Tsaritsa;;Tsaritsa;;;;;;;;;x
emperor_female_egyptian_pagan;Aai-Pharaoh;Aai-Pharaoh;Aai-Pharaoh;;Aai-Pharaoh;;;;;;;;;x;;
emperor_female_english;Empress;Empress;Empress;;Empress;;;;;;;;;x
emperor_female_german;Kaiserin;Kaiserin;Kaiserin;;Kaiserin;;;;;;;;;x
emperor_female_german;Kaiserin;Kaiserine;Kaiserin;;Emperatriz;;;;;;;;;x;;
emperor_female_jewish_group;Malcah ha-M'lachim;Malcah ha-M'lachim;Malcah ha-M'lachim;;Malcah ha-M'lachim;;;;;;;;;x;;
emperor_female_russian;Tsaritsa;Tsarine;Zarin;;Zarina;;;;;;;;;x;;
emperor_female_south_slavic;Tsaritsa;Tsaritsa;Tsaritsa;;Tsaritsa;;;;;;;;;x
emperor_female_turkish;Sultana;Sultana;Sultana;;Sultana;;;;;;;;;x;;
emperor_german;Kaiser;Kaiser;Kaiser;;Kaiser;;;;;;;;;x
emperor_greek;Basileus;Basileus;Basileus;;Basileus;;;;;;;;;x;;
emperor_iranian;Shahanshah;Shahanshah;Schahanschah;;Rey de reyes;;;;;;;;;x;;
emperor_jewish_group;Melech ha-M'lachim;Melech ha-M'lachim;Melech ha-M'lachim;;Melech ha-M'lachim;;;;;;;;;x;;
emperor_russian;Tsar;Tsar;Zar;;Zar;;;;;;;;;x;;
emperor_saxon;Bretwalda;Bretwalda;Bretwalda;;Bretwalda;;;;;;;;;x
emperor_south_slavic;Tsar;Tsar;Tsar;;Tsar;;;;;;;;;x
emperor_title_ruler_consort_female_egyptian_pagan;Mistress of the House;Mistress of the House;Mistress of the House;;Mistress of the House;;;;;;;;;x;;
emperor_title_ruler_consort_female_jewish_group;Melech ha-M'lachim;Melech ha-M'lachim;Melech ha-M'lachim;;Melech ha-M'lachim;;;;;;;;;x;;
emperor_title_ruler_consort_jewish_group;Malcah ha-M'lachim;Malcah ha-M'lachim;Malcah ha-M'lachim;;Malcah ha-M'lachim;;;;;;;;;x;;
emperor_turkish;Padishah;Padishah;Padischah;;Emperador Padishah;;;;;;;;;x;;
temple_emperor_catholic;Emperor-Bishop;Cardinal;Kardinal;;Emperor-Bishop;;;;;;;;;x;;
temple_emperor_celtic_pagan;Myrdynn;Myrdynn;Myrdynn;;Myrdynn;;;;;;;;;x;;
temple_emperor_celtic_pagan_reformed;Myrdynn;Myrdynn;Myrdynn;;Myrdynn;;;;;;;;;x;;
temple_emperor_egyptian_pagan;Aai-Pharaoh;Aai-Pharaon;Aai-Pharaoh;;Aai-Pharaoh;;;;;;;;;x
temple_emperor_promethean_pagan;Sofos Patriarchis;;;;;;;;;;;;;x
temple_emperor_female_promethean_pagan;Sofos Matriarchia;;;;;;;;;;;;;x
temple_emperor_female_jewish_group;Kohen Gadol;Kohen Gadol;Kohen Gadol;;Kohen Gadol;;;;;;;;;x;;
temple_emperor_jewish_group;Kohen Gadol;Kohen Gadol;Kohen Gadol;;Kohen Gadol;;;;;;;;;x;;
temple_emperor_muslim;Grand Caliph;Grand Calife;Propheten;;Profeta;;;;;;;;;x
temple_emperor_zoroastrian;Shahanshah;Shahanshah;Shahanshah;;Shahanshah;;;;;;;;;x
temple_emperor_yazidi;High Caliph;High Caliph;High Caliph;;High Caliph;;;;;;;;x;;
tribal_emperor;Emperor;Empereur;Kaiser;;Emperador;;;;;;;;;x
tribal_emperor_female;Empress;Impératrice;Kaiserin;;Emperatriz;;;;;;;;;x
