#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
#### TOOLTIPS;;;;;;;;;;;;;;x
no_other_laws_passed;No other laws in this group have been passed.\n;;Es wurden keine weiteren Gesetze dieser Gruppe verabschiedet.\n;;;x
temple_obligations_0_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will not provide you anything beyond what the slider dictates.;;Die Verpflichtungen legen fest, wie viel Ihre Vasallen dieser Art Ihnen zur Verfügung stellen müssen, wobei sowohl Steuern als auch Abgaben erhöht werden. Auf dieser Stufe werden sie Ihnen nichts liefern, was über das hinausgeht, was der Schieberegler vorgibt.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos del clero. En este nivel no darán más de lo que exija el nivel de autoridad real.;x
temple_obligations_1;Low Clergy Obligations;;Niedrige Klerusverpflichtungen;;Deber de clero reducido;x
temple_obligations_1_option;Low;;Niedrig;;Min-;x
temple_obligations_1_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a bit more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art Ihnen zur Verfügung stellen müssen, was sowohl die Steuern als auch die Abgaben erhöht. Auf dieser Stufe leisten sie etwas mehr, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos del clero. En este nivel darán poco más de lo que exija el nivel de autoridad real.;x
temple_obligations_2;Medium Clergy Obligations;;Mittlere Klerusverpflichtungen;;Deber de clero medio;x
temple_obligations_2_option;Medium;;Mittel;;Med;x
temple_obligations_2_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a moderate amount more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art an Sie abliefern müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie Ihnen einen moderaten Betrag mehr zur Verfügung stellen, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos del clero. En este nivel darán una cantidad mayor de lo que exija el nivel de autoridad real.;x
temple_obligations_3;High Clergy Obligations;;Hohe Klerusverpflichtungen;;Deber de clero aumentado;x
temple_obligations_3_option;High;;Hoch;;Max+;x
temple_obligations_3_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a lot more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel deine Vasallen dieser Art an dich abliefern müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie Ihnen viel mehr bieten, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos del clero. En este nivel darán mucho más de lo que exija el nivel de autoridad real.;x
temple_obligations_4;Harsh Clergy Obligations;;Harte Klerusverpflichtungen;;Deber de clero máximo;x
temple_obligations_4_option;Harsh;;Hartes;;Max++;x
temple_obligations_4_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you much more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel deine Vasallen dieser Art für dich leisten müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie dir sehr viel mehr geben, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos del clero. En este nivel deben entregar lo máximo que puedan dar.;x
iqta_focus;Iqta Focus;;Iqta-Fokus;;Enfoque a la Iqta;x
iqta_focus_desc;Iqta Focus changes the composition of their obligations to you.;;Iqta-Fokus ändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber.;;El enfoque a la Iqta permite cambiar el tipo de sus obligaciones hacia ti.;x
iqta_focus_0;Highly Levy Oriented Iqta Focus;;Hochgradig abgabenorientiert Iqta Fokus;;Enfoque a la Iqta muy orientado a levas;x
iqta_focus_0_desc;Iqta Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to a major extent.;;Iqta Fokus ändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in hohem Maße auf Steuern zugunsten von Abgaben verzichten.;;El enfoque a la Iqta permite cambiar el tipo de sus obligaciones hacia ti. En este nivel perdonas todos los impuestos a cambio de un máximo de levas.;x
iqta_focus_1;Moderately Levy Oriented Iqta Focus;;Mäßig abgabenorientierter Iqta-Fokus;;Enfoque a la Iqta orientado a levas;x
iqta_focus_1_desc;Iqta Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to some extent.;;Iqta Fokus ändert die Zusammensetzung seiner Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in gewissem Umfang auf Steuern verzichten, um Abgaben zu vermeiden.;;El enfoque a la Iqta permite cambiar el tipo de sus obligaciones hacia ti. En este nivel perdonas muchos impuestos a cambio de más levas.;x
iqta_focus_2;Balanced Iqta Focus;;Ausgewogener Iqta-Fokus;;Enfoque a la Iqta equilibrado;x
iqta_focus_2_desc;Iqta Focus changes the composition of their obligations to you. At this level  you would not be focusing on any area.;;Iqta Focus verändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie sich nicht auf einen Bereich konzentrieren.;;El enfoque a la Iqta permite cambiar el tipo de sus obligaciones hacia ti. En este nivel no te enfocas en nada concreto.;x
iqta_focus_3;Moderately Tax Oriented Iqta Focus;;Mäßig steuerorientierter Iqta-Fokus;;Enfoque a la Iqta orientado a impuestos;x
iqta_focus_3_desc;Iqta Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to some extent.;;Iqta Fokus verändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie bis zu einem gewissen Grad auf Abgaben um der Steuern willen verzichten.;;El enfoque a la Iqta permite cambiar el tipo de sus obligaciones hacia ti. En este nivel exiges menos levas a cambio de más impuestos.;x
iqta_focus_4;Highly Tax Oriented Iqta Focus;;Hochgradig steuerorientiert Iqta Fokus;;Enfoque a la Iqta muy orientado a impuestos;x
iqta_focus_4_desc;Iqta Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to a major extent.;;Iqta Fokus ändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber. Auf dieser Ebene verzichten Sie weitgehend auf Abgaben um der Steuern willen.;;El enfoque a la Iqta permite cambiar el tipo de sus obligaciones hacia ti. En este nivel exiges unas levas mínimas a cambio de altos impuestos.;x
iqta_obligations;Iqta Obligations;;Iqta-Verpflichtungen;;Deber de la Iqta;x
iqta_obligations_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies.;;Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art Ihnen gegenüber zu leisten haben, und erhöhen sowohl Steuern als auch Abgaben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles.;x
iqta_obligations_0;Minimal Iqta Obligations;;Minimale Iqta-Verpflichtungen;;Deber de la Iqta mínimo;x
iqta_obligations_0_option;Min;;Minimum;;Min--;x
iqta_obligations_0_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will not provide you anything beyond what the slider dictates.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art Ihnen zur Verfügung stellen müssen, wobei sowohl Steuern als auch Abgaben erhöht werden. Auf dieser Stufe werden sie Ihnen nichts über das hinaus liefern, was der Schieberegler vorgibt.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles. En este nivel no darán más de lo que exija el nivel de autoridad real.;x
iqta_obligations_1;Low Iqta Obligations;;Niedrige Iqta-Verpflichtungen;;Deber de la Iqta reducido;x
iqta_obligations_1_option;Low;;Niedrig;;Min-;x
iqta_obligations_1_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a bit more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel deine Vasallen dieser Art dir zur Verfügung stellen müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie Ihnen etwas mehr bieten, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles. En este nivel darán poco más de lo que exija el nivel de autoridad real.;x
iqta_obligations_2;Medium;;Mittel;;Deber de la Iqta medio;x
iqta_obligations_2_option;Medium Iqta Obligations;;Mittlere Iqta-Verpflichtungen;;Med;x
iqta_obligations_2_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a moderate amount more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel deine Vasallen dieser Art dir zur Verfügung stellen müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie Ihnen einen moderaten Betrag mehr liefern, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles. En este nivel darán una cantidad mayor de lo que exija el nivel de autoridad real.;x
iqta_obligations_3;High Iqta Obligations;;Hohe Iqta-Verpflichtungen;;Deber de la Iqta aumentado;x
iqta_obligations_3_option;High;;Hoch;;Max+;x
iqta_obligations_3_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a lot more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel deine Vasallen dieser Art an dich abliefern müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie Ihnen viel mehr bieten, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles. En este nivel darán mucho más de lo que exija el nivel de autoridad real.;x
iqta_obligations_4;Harsh Iqta Obligations;;Harte Iqta-Verpflichtungen;;Deber de la Iqta máximo;x
iqta_obligations_4_option;Harsh;;Hartes;;Max++;x
iqta_obligations_4_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you much more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel deine Vasallen dieser Art dir zur Verfügung stellen müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie dir sehr viel mehr geben, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles. En este nivel deben entregar lo máximo que puedan dar.;x
tribal_focus;Tribal Focus;;Stammesfokus;;;x
tribal_focus_desc;Tribal Focus changes the composition of their obligations to you.;;Stammesfokus ändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber.;;;x
tribal_focus_0;Highly Levy Oriented Tribal Focus;;Hochgradig abgabenorientierter Stammesfokus;;;x
tribal_focus_0_desc;Tribal Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to a major extent.;;Stammesfokus ändert die Zusammensetzung der Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in hohem Maße auf Steuern zugunsten von Abgaben verzichten.;;;x
tribal_focus_1;Moderately Levy Oriented Tribal Focus;;Mäßig abgabenorientierter Stammesfokus;;;x
tribal_focus_1_desc;Tribal Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to some extent.;;Der Stammesfokus verändert die Zusammensetzung seiner Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in gewissem Umfang auf Steuern um der Abgaben willen verzichten.;;;x
tribal_focus_2;Balanced Tribal Focus;;Ausgeglichener Stammesfokus;;;x
tribal_focus_2_desc;Tribal Focus changes the composition of their obligations to you. At this level you would not be focusing on any area.;;Der Stammesfokus verändert die Zusammensetzung der Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie sich nicht auf einen Bereich konzentrieren.;;;x
tribal_focus_3;Moderately Tax Oriented Tribal Focus;;Mäßig steuerorientierter Stammesfokus;;;x
tribal_focus_3_desc;Tribal Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to some extent.;;Der Stammesfokus verändert die Zusammensetzung der Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie bis zu einem gewissen Grad auf Abgaben um der Steuern willen verzichten.;;;x
tribal_focus_4;Highly Tax Oriented Tribal Focus;;Hochgradig steuerorientierter Stammesfokus;;;x
tribal_focus_4_desc;Tribal Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to a major extent.;;Der Stammesfokus verändert die Zusammensetzung seiner Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in hohem Maße auf Abgaben um der Steuern willen verzichten.;;;x
tribal_obligations;Tribal Obligations;;Stammesverpflichtungen;;;x
tribal_obligations_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art an Sie abliefern müssen, was sowohl die Steuern als auch die Abgaben erhöht.;;;x
tribal_obligations_0;Minimal Tribal Obligations;;Minimale Stammesverpflichtungen;;;x
tribal_obligations_0_option;Min;;Minimum;;Min--;x
tribal_obligations_0_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will not provide you anything beyond what the slider dictates.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art Ihnen zur Verfügung stellen müssen, indem sie sowohl Steuern als auch Abgaben erhöhen. Auf dieser Stufe werden sie Ihnen nur so viel geben, wie der Schieberegler vorgibt.;;;x
tribal_obligations_1;Low Tribal Obligations;;Niedrige Stammesverpflichtungen;;;x
tribal_obligations_1_option;Low;;Niedrig;;Min-;x
tribal_obligations_1_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a bit more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art Ihnen zur Verfügung stellen müssen, wodurch sowohl Steuern als auch Abgaben erhöht werden. Auf dieser Stufe leisten sie etwas mehr, als die Schieberegler vorgeben.;;;x
tribal_obligations_2;Medium Tribal Obligations;;Mittlere Stammesverpflichtungen;;;x
tribal_obligations_2_option;Medium;;Mittel;;Med;x
tribal_obligations_2_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a moderate amount more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art Ihnen zur Verfügung stellen müssen, wobei sowohl Steuern als auch Abgaben erhöht werden. Auf dieser Stufe werden sie Ihnen einen moderaten Betrag mehr liefern, als die Schieberegler vorgeben.;;;x
tribal_obligations_3;High Tribal Obligations;;Hohe Stammesverpflichtungen;;;x
tribal_obligations_3_option;High;;Hoch;;Max+;x
tribal_obligations_3_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a lot more than what the sliders dictate.;;Die Verpflichtungen legen fest, wie viel Ihre Vasallen dieser Art Ihnen zur Verfügung stellen müssen, wobei sowohl Steuern als auch Abgaben erhöht werden. Auf dieser Stufe werden sie Ihnen viel mehr liefern, als die Schieberegler vorgeben.;;;x
tribal_obligations_4;Harsh Tribal Obligations;;Harte Stammesverpflichtungen;;;x
tribal_obligations_4_option;Harsh;;Harte;;Max++;x
tribal_obligations_4_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you much more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel deine Vasallen dieser Art für dich leisten müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie viel mehr geben, als die Schieberegler vorgeben.;;;x
