#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
# base_birth_events.txt
EVTOPTD301;Isn't [From.GetSheHe] adorable?;;Ist [From.GetSheHe] nicht hinreißend?;;;x
EVTDESC39608;My liege,\nI bring bad news. Although I seemed to be making progress in spreading the word of [From.Religion.GetHighGodName] in [FromFrom.PrimaryTitle.GetName], [FromFrom.GetTitledFirstNameNoRegnal] took exception to my recent conversion of one of [FromFrom.GetHerHis] courtiers and banished me. I am willing to remain in secret and preach to the people of [From.Location.GetName], though there is considerable risk in doing so.\n\nSigned,\n[From.GetTitledName];;Mein Lehnsherr, \nIch bringe schlechte Nachrichten. Obwohl ich bei der Verbreitung des Wortes von [From.Religion.GetHighGodName] in [FromFrom.PrimaryTitle.GetName] Fortschritte zu machen schien, nahm [FromFrom.GetTitledFirstNameNoRegnal] Anstoß an meiner kürzlichen Bekehrung eines der [FromFrom.GetHerHis] Höflinge und verbannte mich. Ich bin bereit, im Verborgenen zu bleiben und dem Volk von [From.Location.GetName] zu predigen, auch wenn dies mit erheblichen Risiken verbunden ist.\n\nGezeichnet,\n[From.GetTitledName];;;x
EVTDESC39608_coward;My liege,\nI bring bad news. Although I seemed to be making progress in spreading the word of [From.Religion.GetHighGodName] in [FromFrom.PrimaryTitle.GetName], [FromFrom.GetTitledFirstNameNoRegnal] took exception to my recent conversion of one of [FromFrom.GetHerHis] courtiers and banished me. I am glad to be done with this place and will return as quickly as I can.\n\nSigned,\n[From.GetTitledName];;Mein Lehnsherr,\n ich bringe schlechte Nachrichten. Obwohl ich bei der Verbreitung des Wortes von [From.Religion.GetHighGodName] in [FromFrom.PrimaryTitle.GetName] Fortschritte zu machen schien, nahm [FromFrom.GetTitledFirstNameNoRegnal] Anstoß an meiner jüngsten Bekehrung eines von [FromFrom.GetHerHis] Höflingen und verbannte mich. Ich bin froh, mit diesem Ort fertig zu sein, und werde so schnell wie möglich zurückkehren.\n\nGezeichnet,\n[From.GetTitledName];;;x
EVTDESC39619_coward;My liege,\nI arrived safely in [From.Location.GetName], but [From.Location.Owner.GetTitledFirstNameNoRegnal] has refused to give me permission to remain in [From.Location.Owner.GetHerHis] court and demanded I return to [Root.PrimaryTitle.GetName]. I cannot risk remaining, so I shall be back on the first available ship.\n\nSigned,\n[From.GetTitledName];;Mein Lehnsherr,\nIch bin sicher in [From.Location.GetName] angekommen, aber [From.Location.Owner.GetTitledFirstNameNoRegnal] hat sich geweigert, mir die Erlaubnis zu geben, am Hof von [From.Location.Owner.GetHerHis] zu bleiben, und verlangt, dass ich nach [Root.PrimaryTitle.GetName] zurückkehre. Ich kann es nicht riskieren zu bleiben, also werde ich mit dem ersten verfügbaren Schiff zurückkehren.\n\nGezeichnet,\n[From.GetTitledName];;;x
EVTDESC39619;My liege,\nI arrived safely in [From.Location.GetName], but [FromFrom.GetTitledFirstNameNoRegnal] has refused to give me permission to remain in [FromFrom.GetHerHis] court and demanded I return to [Root.PrimaryTitle.GetName]. I am willing to remain and preach in secret, but that does involve risk if I should be discovered.\n\nSigned,\n[From.GetTitledName];;Mein Lehnsherr,\nIch bin sicher in [From.Location.GetName] angekommen, aber [FromFrom.GetTitledFirstNameNoRegnal] hat sich geweigert, mir die Erlaubnis zu geben, am [FromFrom.GetHerHis]-Hof zu bleiben, und verlangt, dass ich nach [Root.PrimaryTitle.GetName] zurückkehre. Ich bin bereit zu bleiben und im Geheimen zu predigen, aber das birgt ein Risiko, falls ich entdeckt werden sollte.\n\nUnterschrieben,\n[From.GetTitledName];;;x
EVTOPTA39619;Then remain and spread [From.Religion.GetHighGodName]'s word;;Dann bleibe und verbreite das Wort von [From.Religion.GetHighGodName];;;x
EVTOPTB39619;It is not worth it for you to remain;;Es ist es nicht wert, dass du bleibst;;;x
EVTDESC39620;[From.GetTitledName] has been gathering large crowds throughout [convert_province.GetName] to listen to [From.GetHerHis] words. Indeed, the number of converts to [From.GetHerHis] [From.Religion.GetName] faith is hard to believe. Many of your subjects are either alarmed or suggesting you should follow suit.;;[From.GetTitledName] hat überall in [convert_province.GetName] große Menschenmengen versammelt, um den Worten [From.GetHerHis] zuzuhören. In der Tat ist die Zahl der Bekehrten zu [From.GetHerHis] [From.Religion.GetName] Glauben kaum zu glauben. Viele Eurer Untertanen sind entweder beunruhigt oder schlagen vor, dass Ihr diesem Beispiel folgen solltet.;;;x
EVTDESC39620_hidden;It seems [From.GetTitledName] did not return home when you ordered [From.GetHerHim] to. Indeed, [From.GetSheHe] has been traveling throughout [convert_province.GetName], preaching about [From.GetHerHis] [From.Religion.GetName] faith and earning many convertes. Your subjects are either enraged at the deception or suggesting it might be time for you to follow suit.;;Es scheint, dass [From.GetTitledName] nicht nach Hause zurückgekehrt ist, als Ihr [From.GetHerHim] dazu aufgefordert habt. Tatsächlich ist [From.GetSheHe] durch [convert_province.GetName] gereist, hat über [From.GetHerHis] [From.Religion.GetName] Glauben gepredigt und viele Konvertiten gewonnen. Eure Untertanen sind entweder wütend über die Täuschung oder schlagen vor, dass es für Euch an der Zeit sein könnte, diesem Beispiel zu folgen.;;;x
EVTOPTA39620;If my people believe, so must I;;Wenn mein Volk glaubt, muss ich auch glauben.;;;x
EVTOPTB39620;I have no interest in [From.GetHerHis] preaching;;Ich habe kein Interesse daran, [From.GetHerHis] zu predigen;;;x
EVTOPTC39620;This has gone too far!;;Das geht zu weit!;;;x
EVTOPTC39620_hidden;How dare [From.GetSheHe]!;;Wie kann [From.GetSheHe] es wagen!;;;x
EVTDESC39622;My liege,\nI have spread the word of [From.Religion.GetHighGodName] throughout [convert_province.GetName], earning many converts. Thankfully, [convert_province.Owner.GetTitledFirstNameNoRegnal] appears unconcerned about my activities, and is pleased enough to allow me to remain at [convert_province.Owner.GetHerHis] court.\n\nSigned,\n[From.GetTitledName];;Mein Herr,\nich habe das Wort von [From.Religion.GetHighGodName] in ganz [convert_province.GetName] verbreitet und viele Bekehrte gewonnen. Glücklicherweise scheint [convert_province.Owner.GetTitledFirstNameNoRegnal] nicht über meine Aktivitäten besorgt zu sein und ist erfreut genug, um mir zu erlauben, am Hof von [convert_province.Owner.GetHerHis] zu bleiben.\n\nGezeichnet,\n[From.GetTitledName];;;x
EVTDESC39623;Bad news. It seems [FromFrom.GetTitledName] has angered [From.GetTitledFirstNameNoRegnal] by earning a great number of converts in [convert_province.GetName]. The [From.PrimaryTitle.GetRulerTitle] ordered [FromFrom.GetHerHim] imprisoned, and now [FromFrom.GetSheHe] languishes in a [From.Culture.GetName] prison. Who knows what will happen to [FromFrom.GetHerHim] there?;;Schlechte Nachrichten. Wie es scheint, hat [FromFrom.GetTitledName] [From.GetTitledFirstNameNoRegnal] verärgert, indem er eine große Anzahl von Konvertiten in [convert_province.GetName] gewonnen hat. Der [From.PrimaryTitle.GetRulerTitle] ließ [FromFrom.GetHerHim] ins Gefängnis werfen, und nun schmachtet [FromFrom.GetSheHe] in einem [From.Culture.GetName] Gefängnis. Wer weiß, was mit [FromFrom.GetHerHim] dort geschehen wird?;;;x
EVTDESC39624;It appears [From.GetTitledName] did not return to [From.Liege.PrimaryTitle.GetName] when you ordered [From.GetHerHim] to. [From.GetSheHeCap] has been secretly preaching in [convert_province.GetName], and today was discovered and imprisoned by your soldiers.;;Es scheint, dass [From.GetTitledName] nicht nach [From.Liege.PrimaryTitle.GetName] zurückgekehrt ist, als Ihr [From.GetHerHim] dazu aufgefordert habt. [From.GetSheHeCap] hat heimlich in [convert_province.GetName] gepredigt und wurde heute von Euren Soldaten entdeckt und gefangen genommen.;;;x
EVTOPTA39624;How dare [From.GetSheHe]!;;Wie kann [From.GetSheHe] es wagen!;;;x
EVTDESC39625;Bad news. It appears [From.GetTitledName] was discovered secretly preaching in [convert_province.GetName] by [convert_province.Owner.GetTitledFirstNameNoRegnal]'s guards and now languishes in a [convert_province.Owner.Culture.GetName] prison.;;Schlechte Nachrichten. Es scheint, dass [From.GetTitledName] von den Wachen von [convert_province.Owner.GetTitledFirstNameNoRegnal] beim heimlichen Predigen in [convert_province.GetName] entdeckt wurde und nun in einem Gefängnis von [convert_province.Owner.Culture.GetName] schmachtet.;;;x
EVTOPTA39625;Unfortunate;;Unglücklich;;;x
EVTNAME39656;[Root.Liege.GetLordSpiritualName] Found and Captured;;[Root.Liege.GetLordSpiritualName] Gefunden und gefangen genommen;;;x
# base_feudal_life_events.txt
EVTOPTG4155;I want to hear 'Steppenwolf'!;;Ich will 'Steppenwolf' hören!;;;x
# base_summer_fair_events.txt
EVTDESC4300;This year's summer fair was a great success! The merchants and traders drawn to [Root.Capital.GetName] have revitalized the province's economy.;;Das diesjährige Sommerfest war ein großer Erfolg! Die Kaufleute und Händler, die von [Root.Capital.GetName] angezogen wurden, haben die Wirtschaft der Provinz wiederbelebt.;;;x
EVTDESC74998;War disrupts our summer fair. We are forced to cancel our activities.;;Der Krieg unterbricht unser Sommerfest. Wir sind gezwungen, unsere Aktivitäten abzusagen.;;;x
# base_married_life_events.txt
EVTDESC30087;New Friend;;Neuer Freund;;;x
EVTDESC30093;Perfect Activity;;Perfekte Aktivität;;;x
EVTOPTA30093;Friends forever!;;Freunde für immer!;;;x
EVTOPTB30093;Let's try again!;;Versuchen wir es noch einmal!;;;x
EVTDESC30094;Failed Activity;;Gescheiterte Aktivität;;;x
EVTOPTA30094;Too bad!;;Schade!;;;x
EVTOPTB30094;Let's try again!;;Versuchen wir's noch mal!;;;x
EVTDESC30061;My sweet [Root.Spouse.GetFirstName] is terrifying when [Root.Spouse.GetSheHe] wants something, there is nothing [Root.Spouse.GetSheHe] wouldn't do to make me bend to her will. Now [Root.Spouse.GetSheHe] wants me to make one of [Root.Spouse.GetHerHis] friends [Root.GetChancellorName], but [Root.GetChancellorName] [Root.job_chancellor.GetFullName] is a very competent [Root.job_chancellor.GetManWoman]...;Ma chère [Root.Spouse.GetFirstName] me fait peur quand elle veut quelque chose. Elle est prête tout pour me convaincre. Cette fois, elle veut que je nomme un de ses amis au poste de [Root.GetChancellorName], mais le [Root.GetChancellorName] [Root.job_chancellor.GetFullName] est un homme très compétent...;Meine süße [Root.Spouse.GetFirstName] ist furchterregend, wenn [Root.Spouse.GetSheHe] etwas will, es gibt nichts, was [Root.Spouse.GetSheHe] nicht tun würde, damit ich mich ihrem Willen beuge. Jetzt will [Root.Spouse.GetSheHe], dass ich einen von [Root.Spouse.GetHerHis] Freunden zu [Root.GetChancellorName] mache, aber [Root.GetChancellorName] [Root.job_chancellor.GetFullName] ist eine sehr kompetente [Root.job_chancellor.GetManWoman]...;;Mi dulce [Root.Spouse.GetFirstName] es terrible cuando quiere algo, haría cualquier cosa para doblegar mi voluntad. Ahora quiere que nombre [Root.GetChancellorName] a un amigo suyo, pero el [Root.GetChancellorName] [Root.job_chancellor.GetFullName] es un hombre muy competente...;x
# base_family_events.txt
EVTOPTE37004;I can accept this;;Ich kann dies akzeptieren;;;x
EVTDESC37012;[FromFrom.GetTitledFirstName] is so furious over my treatment of [FromFrom.GetHerHim] that [FromFrom.GetSubjectPronoun] has left the realm for the court of [From.GetTitledName], letting it be known that [FromFrom.GetSubjectPronoun] is hiring troops to take what is 'rightfully' [FromFrom.GetPossPronoun] by force of arms!;;[FromFrom.GetTitledFirstName] ist so wütend über meine Behandlung von [FromFrom.GetHerHim], dass [FromFrom.GetSubjectPronoun] das Reich in Richtung des Hofes von [From.GetTitledName] verlassen hat und verlauten ließ, dass [FromFrom.GetSubjectPronoun] Truppen anheuert, um sich mit Waffengewalt zu nehmen, was [FromFrom.GetPossPronoun] "rechtmäßig" gehört!;;;x
# base_bankruptcy_events.txt
EVTDESC38002;The moneylenders are here, reminding me of that loan I took...;;Die Geldverleiher sind hier und erinnern mich an den Kredit, den ich aufgenommen habe...;;;x
EVTOPTA38002;I have the money right here;;Ich habe das Geld gleich hier.;;;x
EVTOPTB38002;I do not have the full amount, but I will pay the interest;;Ich habe nicht den vollen Betrag, aber ich werde die Zinsen zahlen;;;x
EVTOPTC38002;I need more time to raise funds;;Ich brauche mehr Zeit, um das Geld aufzutreiben.;;;x
EVTOPTD38002;You shall not have a single coin from me!;;Ihr werdet keine einzige Münze von mir bekommen!;;;x
EVTTOOLTIP38002;Take a five-year loan at 25% interest;;Nimm einen Kredit über fünf Jahre zu 25 % Zinsen auf.;;;x
EVTTOOLTIP38002B;The loan will be extended for two years;;Das Darlehen wird um zwei Jahre verlängert.;;;x
EVTTOOLTIP38002C;The debt will be due in five years;;Die Schuld wird in fünf Jahren fällig;;;x
# base_guardian_events.txt
EVTOPTC38230;I'm sure [From.GetSheHe] won't go too far.;;Ich bin sicher, dass [From.GetSheHe] nicht zu weit gehen wird.;;;x
# base_imprisoned_events.txt
EVTDESC50000;My friends have come up with a daring plan to break me out of prison. Do I dare to make the attempt?;;Meine Freunde haben sich einen gewagten Plan ausgedacht, um mich aus dem Gefängnis zu befreien. Soll ich den Versuch wagen?;;;x
EVTOPTA50000;It's too risky;;Es ist zu riskant;;;x
EVTOPTB50000;Freedom is worth any risk;;Die Freiheit ist jedes Risiko wert;;;x
EVTOPTD50002;Off with [From.GetPossPronoun] head!;;Ab mit dem [From.GetPossPronoun]-Kopf!;;;x
EVTDESC50006B;My prisoner, [From.GetBestName], is complaining about the horrible smell in the dungeon, asking for more suitable accommodations...;;Mein Gefangener, [From.GetBestName], beschwert sich über den schrecklichen Geruch im Kerker und bittet um eine geeignetere Unterbringung...;;;x
# base_culture_conversion_events.txt
EVTDESC55001;I have become strongly attached to the culture of [Root.Capital.GetName], dressing and speaking almost like a local.;;Ich habe mich stark an die Kultur von [Root.Capital.GetName] gewöhnt, kleide mich und spreche fast wie ein Einheimischer.;;;x
EVTOPTA55001;I feel like a [Root.Capital.Culture.GetName];;Ich fühle mich wie ein [Root.Capital.Culture.GetName];;;x
EVTOPTB55001;It is a passing fancy;;Es ist eine vorübergehende Laune;;;x
EVTDESC55002;For as long as we have ruled here, we have entrusted the raising of our children to Saxon nursemaids. Our first words would not be French but Saxon. As we grew up we learned to speak a tongue that was neither one nor the other. Now is this time to make this tongue our own so we may all communicate.;;Solange wir hier regiert haben, haben wir die Erziehung unserer Kinder sächsischen Kindermädchen anvertraut. Unsere ersten Worte waren nicht französisch, sondern sächsisch. Als wir aufwuchsen, lernten wir eine Sprache zu sprechen, die weder das eine noch das andere war. Jetzt ist es an der Zeit, diese Sprache zu unserer eigenen zu machen, damit wir uns alle verständigen können.;;;x
EVTDESC55003;Around our lands more people are using this English language and I find this is a perfect means for a [Root.Culture.GetName] overlord to get his Saxon serfs to work properly. We continue to use our own influence to promote this means of communication in the interests of more efficient realm. ;;In unseren Ländern verwenden immer mehr Menschen diese englische Sprache, und ich finde, dass dies ein perfektes Mittel für einen [Root.Culture.GetName] Herrscher ist, seine sächsischen Leibeigenen dazu zu bringen, richtig zu arbeiten. Wir werden weiterhin unseren Einfluss geltend machen, um diese Art der Kommunikation im Interesse eines effizienteren Reiches zu fördern. ;;;x
EVTDESC55100_muslim;Your Tribal vassal, [From.GetTitledName], has adopted the Iqta system.;;Euer Stammes-Vasall, [From.GetTitledName], hat das Iqta-System übernommen.;;;x
EVTDESC55100_merchant;Your Tribal vassal, [From.GetTitledName], has founded a Merchant Republic.;;Euer Stammesvasall, [From.GetTitledName], hat eine Handelsrepublik gegründet.;;;x
EVTDESC55100_city;Your Tribal vassal, [From.GetTitledName], has founded a Republic.;;Euer Stammes-Vasall, [From.GetTitledName], hat eine Republik gegründet.;;;x
EVTDESC55100_theocracy;Your Tribal vassal, [From.GetTitledName], has founded a Theocracy.;;Euer Stammes-Vasall, [From.GetTitledName], hat eine Theokratie gegründet.;;;x
# base_mongol_events.txt
EVTDESC60001;My liege, the great Khagan has dispatched a numberless horde of barbarian horsemen against the lands of Central Asia and the Far East. Appearing in Balkh, the heathen armies seem intent on conquering the Muslim world, but could potentially range much further before their strength is spent!;;Mein Lehnsherr, der große Khagan, hat eine zahllose Horde barbarischer Reiter gegen die Länder Zentralasiens und des Fernen Ostens ausgesandt. Die heidnischen Armeen, die in Balkh aufgetaucht sind, scheinen darauf aus zu sein, die muslimische Welt zu erobern, könnten aber noch viel weiter vordringen, bevor ihre Kräfte erschöpft sind!;;;x
EVTOPTB60001;[Root.Religion.GetHighGodName] have mercy on us!;;[Root.Religion.GetHighGodName] erbarme dich unser!;;;x
EVTNAME60002;The Death of [Root.GetTitledFirstNameNoRegnal];;Der Tod von [Root.GetTitledFirstNameNoRegnal];;;x
EVTDESC60002A;The great [Root.GetTitledName], leader of the Mongol Empire, has died. According to his last wishes, he has split the mongol horde into three parts: one in the north to be led by [first_mongol_son.GetTitledName], one in the south to be led by [second_mongol_son.GetTitledName], and the remaining lands in Transoxania to be led by [third_mongol_son.GetTitledName]. All of the western world waits with bated breath to see if these brothers will begin a renewed siege upon their lands, or whether they will fall into infighting and civil war.;;Der große [Root.GetTitledName], Anführer des Mongolenreiches, ist gestorben. Gemäß seinem letzten Willen hat er die mongolische Horde in drei Teile geteilt: einen im Norden, der von [first_mongol_son.GetTitledName] angeführt wird, einen im Süden, der von [second_mongol_son.GetTitledName] angeführt wird, und die verbleibenden Länder in Transoxanien, die von [third_mongol_son.GetTitledName] angeführt werden. Die gesamte westliche Welt wartet mit angehaltenem Atem darauf, ob diese Brüder eine erneute Belagerung ihrer Länder beginnen oder ob sie in Kämpfe und Bürgerkrieg verfallen werden.;;;x
EVTDESC60002B;The great [Root.GetTitledName], leader of the Mongol Empire, has died. According to his last wishes, he has split the mongol horde into two parts: one in the north to be led by [first_mongol_son.GetTitledName], and one in the south to be led by [second_mongol_son.GetTitledName]. All of the western world waits with bated breath to see if these brothers will begin a renewed siege upon their lands, or whether they will fall into infighting and civil war.;;Der große [Root.GetTitledName], Anführer des Mongolenreiches, ist gestorben. Gemäß seinem letzten Willen hat er die mongolische Horde in zwei Teile geteilt: einen im Norden, der von [first_mongol_son.GetTitledName] angeführt wird, und einen im Süden, der von [second_mongol_son.GetTitledName] angeführt wird. Die gesamte westliche Welt wartet mit angehaltenem Atem darauf, ob diese Brüder eine erneute Belagerung ihrer Ländereien beginnen oder ob sie in interne Kämpfe und einen Bürgerkrieg verfallen werden.;;;x
EVTOPTA60002;This is how it shall be;;So soll es sein;;;x
EVTOPTB60002;A great leader has passed...;;Ein großer Führer ist von uns gegangen...;;;x
EVTOPTC60002;Hopefully this means a reprieve is at hand;;Hoffentlich bedeutet dies, dass eine Begnadigung in Sicht ist.;;;x
EVTDESC60003A;With the passing of the Khagan, you are now given the option of serving one of the new leaders: [first_mongol_son.GetTitledFirstName] of the Golden Horde, [second_mongol_son.GetTitledFirstName] of the Ilkhanate, or [third_mongol_son.GetTitledFirstName] of the [third_mongol_son.PrimaryTitle.GetName] Horde.;;Nach dem Tod des Khagan haben Sie nun die Möglichkeit, einem der neuen Anführer zu dienen: [first_mongol_son.GetTitledFirstName] der Goldenen Horde, [second_mongol_son.GetTitledFirstName] des Ilkhanats, oder [third_mongol_son.GetTitledFirstName] der [third_mongol_son.PrimaryTitle.GetName] Horde.;;;x
EVTDESC60003B;With the passing of the Khagan, you are now given the option of serving one of the new leaders: [first_mongol_son.GetTitledFirstName] of the Golden Horde or [second_mongol_son.GetTitledFirstName] of the Ilkhanate.;;Nach dem Tod des Khagan haben Sie nun die Möglichkeit, einem der neuen Anführer zu dienen: [first_mongol_son.GetTitledFirstName] von der Goldenen Horde oder [second_mongol_son.GetTitledFirstName] vom Ilkhanat.;;;x
EVTOPTA60003;I shall serve [first_mongol_son.GetTitledFirstName];;Ich werde [first_mongol_son.GetTitledFirstName] dienen;;;x
EVTOPTB60003;I shall serve [second_mongol_son.GetTitledFirstName];;Ich werde [second_mongol_son.GetTitledFirstName] dienen;;;x
EVTOPTC60003;I shall serve [third_mongol_son.GetTitledFirstName];;Ich werde [third_mongol_son.GetTitledFirstName] dienen;;;x
EVTDESC60004;With the passing of your [GetFromFromRelation], you have been chosen to lead the [Root.PrimaryTitle.GetFullName] and have been granted the lands and vassals accordingly. As per your [GetFromFromRelation]'s wishes, this means giving up your claims on the other lands...but it also means a chance to establish a dynasty in your own name, one that will take the legacy of your [GetFromFromRelation] and build upon it!;;Nach dem Ableben Eurer [GetFromFromRelation] wurdet Ihr auserwählt, die [Root.PrimaryTitle.GetFullName] zu führen, und es wurden Euch die entsprechenden Ländereien und Vasallen zugewiesen. Gemäß dem Wunsch Eurer [GetFromFromRelation] bedeutet dies, dass Ihr Eure Ansprüche auf die anderen Ländereien aufgeben müsst... aber es bedeutet auch die Chance, eine Dynastie in Eurem eigenen Namen zu gründen, die das Erbe Eurer [GetFromFromRelation] übernehmen und darauf aufbauen wird!;;;x
EVTOPTA60004;Long live the Khagan!;;Lang lebe der Khagan!;;;x
EVTNAME60010;The [Root.PrimaryTitle.GetName] Converts;;Das [Root.PrimaryTitle.GetName] konvertiert;;;x
EVTOPTD60201;I am fine where I am;;Mir geht es gut, wo ich bin;;;x
EVTDESC60208;Now that you have established your empire, most of the men under your command have taken up positions within your court and returned to their homes, eager to reap the rewards of their time spent in your campaigns.;;Nun, da Ihr Euer Reich errichtet habt, haben die meisten Männer unter Eurem Kommando Positionen an Eurem Hof eingenommen und sind in ihre Heimat zurückgekehrt, um die Früchte ihrer Zeit auf Euren Feldzügen zu ernten.;;;x
EVTOPTA60208;So must it be;;So muss es sein;;;x
# oldgods_misc_events.txt
EVTDESC62912;We intend to settle this new land, and that means bringing as many of our people from across the Carpathian Mountains as we possibly can. We leave behind our old lands, it's true...but let the mongrels have it. Hungary is our domain, now, and it shall be an empire to inspire our ancestors!;;Wir wollen dieses neue Land besiedeln, und das bedeutet, dass wir so viele unserer Leute von jenseits der Karpaten mitbringen, wie wir nur können. Wir lassen unser altes Land zurück, das ist wahr... aber überlasst es den Bastarden. Ungarn ist jetzt unser Gebiet, und es soll ein Reich werden, das unsere Vorfahren inspiriert!;;;x
EVTOPTA_62912;Long live Hungary!;;Lang lebe Ungarn!;;;x
EVTDESC62913;With [From.GetTitledFirstNameNoRegnal]'s departure from our lands, all that is left are those of the [Root.Culture.GetName] people who did not care to move on. We will remain and forge a new destiny of our own!;;Mit dem Weggang von [From.GetTitledFirstNameNoRegnal] aus unseren Ländern sind nur noch diejenigen vom Volk der [Root.Culture.GetName] übrig, die nicht weiterziehen wollten. Wir werden bleiben und ein neues, eigenes Schicksal schmieden!;;;x
EVTOPTA_62913;That we shall;;Das werden wir;;;x
# base_lovers_events.txt ?
EVTDESC64200;I have grown increasingly attached to [Root.Spouse.GetFirstName], and though our marriage was merely a practical arrangement I wonder if I have now come to love [Root.Spouse.GetHerHim].;;Ich bin [Root.Spouse.GetFirstName] immer mehr ans Herz gewachsen, und obwohl unsere Ehe nur ein praktisches Arrangement war, frage ich mich, ob ich jetzt [Root.Spouse.GetHerHim] liebe.;;;x
EVTOPTA64200;This is a marriage of love;;Dies ist eine Ehe aus Liebe;;;x
EVTOPTB64200;But all the other girls!;;Aber all die anderen Mädchen!;;;x
EVTOPTC64200;But all the other boys!;;Aber all die anderen Jungen!;;;x
EVTOPTD64200;I am not ready to commit fully to [Root.Spouse.GetHerHim];;Ich bin nicht bereit, mich ganz an [Root.Spouse.GetHerHim] zu binden;;;x
# base_evil_events.txt
EVTDESC68010;A Thieves' Guild has been established in [Root.GetName].;;In [Root.GetName] ist eine Diebesgilde gegründet worden.;;;x
EVTOPTA68010;They have not stolen any of my property yet;;Sie haben bisher noch nichts von meinem Eigentum gestohlen.;;;x
EVTDESC68011;Thanks to my tireless efforts, the Thieves' Guild in [Root.GetName] has been eradicated.;;Dank meiner unermüdlichen Bemühungen wurde die Diebesgilde in [Root.GetName] ausgerottet.;;;x
EVTOPTA68011;It is good to be the [Root.County.Holder.PrimaryTitle.GetRulerTitle]!;;Es ist gut, der [Root.County.Holder.PrimaryTitle.GetRulerTitle] zu sein!;;;x
EVTDESC68020;A Smugglers' Ring has formed in [Root.GetName].;;In [Root.GetName] hat sich ein Schmugglerring gebildet.;;;x
EVTOPTA68020;I don't see how this matters to me?;;Ich verstehe nicht, was das mit mir zu tun hat?;;;x
EVTDESC68021;Thanks to my tireless efforts, the Smugglers' Ring in [Root.GetName] has been destroyed. The head of the last smuggler is now rotting on a pike outside the city gates.;;Dank meiner unermüdlichen Bemühungen ist der Schmugglerring in [Root.GetName] zerstört worden. Der Kopf des letzten Schmugglers verrottet jetzt auf einem Spieß vor den Toren der Stadt.;;;x
EVTOPTA68021;I am such a great [Root.County.Holder.PrimaryTitle.GetRulerTitle];;Ich bin ein so großer [Root.County.Holder.PrimaryTitle.GetRulerTitle];;;x
EVTDESC68030;Bands of robbers are roaming the countryside in [Root.GetName], killing and stealing. They are too craven to attack my castles though.;;Räuberbanden streifen durch das Land in [Root.GetName], morden und stehlen. Sie sind jedoch zu feige, meine Burgen anzugreifen.;;;x
EVTOPTA68030;I am safe inside my walls..;;Innerhalb meiner Mauern bin ich sicher.;;;x
EVTDESC68031;I have rounded up and executed the robber bands that were plaguing [Root.GetName]!;;Ich habe die Räuberbanden, die [Root.GetName] geplagt haben, zusammengetrieben und hingerichtet!;;;x
EVTOPTA68031;Call me [Root.County.Holder.GetTitledFirstName] the Great!;;Nennt mich [Root.County.Holder.GetTitledFirstName] den Großen!;;;x
# base_tournament_events.txt
EVTOPTC70000;I will watch from the stands;;Ich werde von der Tribüne aus zusehen;;;x
EVTOPTD70000;I will not be attending;;Ich werde nicht anwesend sein;;;x
EVTOPTA70001;I will be taking my place among the fighters!;;Ich werde meinen Platz unter den Kämpfern einnehmen!;;;x
EVTOPTC70001;I look forward to watching from the stands.;;Ich freue mich darauf, von der Tribüne aus zuzusehen.;;;x
EVTOPTD70001;I will fight in the tournament myself!;;Ich werde selbst im Turnier kämpfen!;;;x
EVTDESC70998;The war has forced an unfortunate end to the tournament. We shall have to begin again once victory is achieved.;;Der Krieg hat ein unglückliches Ende des Turniers erzwungen. Wir werden wieder beginnen müssen, sobald der Sieg errungen ist.;;;x
EVTTOOLTIP70002;All participants and spectators go home happy\n;;Alle Teilnehmer und Zuschauer gehen glücklich nach Hause\n;;;x
EVTOPTB70101;I dare not!;;Ich traue mich nicht!;;;x
EVTOPTA70008;Oh Dear;Oh, l l !;Oh je;;Madre mía.;x
# base_feast_events.txt
EVTDESC72011_nerthus;Dear [Root.GetBestName],\nI hereby invite you to the grand feast in [From.Location.GetName] that will be held in the honor of the Journey of Nerthus. Your presence at the holy feast would be greatly appreciated, and I look forward to your attendance.\n\n[From.GetTitledFirstName];;Lieber [Root.GetBestName],\nhiermit lade ich Euch zu dem großen Fest in [From.Location.GetName] ein, das zu Ehren der Reise von Nerthus stattfinden wird. Eure Anwesenheit bei dem heiligen Fest würde ich sehr zu schätzen wissen, und ich freue mich auf Eure Teilnahme.\n\n[From.GetTitledFirstName];;;x
EVTDESC72015_nerthus;The guests have finally arrived! All is ready: the cooks have worked day and night preparing the food for the holy feast, the priests have prepared the rites, and the castle has never looked lovelier. Nerthus would be pleased.;;Die Gäste sind endlich eingetroffen! Alles ist bereit: Die Köche haben Tag und Nacht gearbeitet, um das Essen für das heilige Fest zuzubereiten, die Priester haben die Riten vorbereitet, und das Schloss hat noch nie so schön ausgesehen. Nerthus würde sich freuen.;;;x
EVTOPTA72040;But we are both married...;;Aber wir sind beide verheiratet...;;;x
EVTOPTC72040;But they're married...;;Aber sie sind verheiratet...;;;x
EVTOPTD72040;But I shouldn't go any further...;;Aber ich sollte nicht weiter gehen...;;;x
