#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
# FACTION MAIN
#
CB_NAME_OVERTHROWRULER;Overthrow Ruler;Renverser le Suzerain;Herrscher stürzen;;Gobernante derrocado;;;;;;;;;x
EVTDESC_PlusFaction_120;[target_faction_dispute.GetTitledName] is clearly not fond of you, but recently relations between you and [target_faction_dispute.GetHerHim] have made a turn for the worse. A dispute over issues within your faction has become rancorous, and it is clearly becoming quite the scandal.;[target_faction_dispute.GetTitledName] is clearly not fond of you, but recently relations between you and [target_faction_dispute.GetHerHim] have made a turn for the worse. A dispute over issues within your faction has become rancorous, and it is clearly becoming quite the scandal.;[target_faction_dispute.GetTitledName] is clearly not fond of you, but recently relations between you and [target_faction_dispute.GetHerHim] have made a turn for the worse. A dispute over issues within your faction has become rancorous, and it is clearly becoming quite the scandal.;;[target_faction_dispute.GetTitledName] is clearly not fond of you, but recently relations between you and [target_faction_dispute.GetHerHim] have made a turn for the worse. A dispute over issues within your faction has become rancorous, and it is clearly becoming quite the scandal.;;;;;;;;;x
EVTOPTA_PlusFaction_120;So be it;So be it;So be it;;So be it;;;;;;;;;x
EVTOPTB_PlusFaction_120;Try to talk things out with [target_faction_dispute.GetHerHim];Try to talk things out with [target_faction_dispute.GetHerHim];Try to talk things out with [target_faction_dispute.GetHerHim];;Try to talk things out with [target_faction_dispute.GetHerHim];;;;;;;;;x
EVTOPTC_PlusFaction_120;It's time to put [target_faction_dispute.GetHerHim] in [target_faction_dispute.GetHerHis] place;It's time to put [target_faction_dispute.GetHerHim] in [target_faction_dispute.GetHerHis] place;It's time to put [target_faction_dispute.GetHerHim] in [target_faction_dispute.GetHerHis] place;;It's time to put [target_faction_dispute.GetHerHim] in [target_faction_dispute.GetHerHis] place;;;;;;;;;x
EVTDESC_PlusFaction_125A;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Court faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Court faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Court faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Court faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;;;;;;;;x
EVTDESC_PlusFaction_125B;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Prosperity faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Prosperity faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Prosperity faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Prosperity faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;;;;;;;;x
EVTDESC_PlusFaction_125C;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Glory faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Glory faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Glory faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Glory faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;;;;;;;;x
EVTDESC_PlusFaction_125D;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Tradition faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Tradition faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Tradition faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;You arrange an audience with [From.GetTitledName] at [From.Capital.GetName] to discuss the business of the Tradition faction. With any luck this will lead to a greater understanding between the two of you--provided no misunderstandings get in the way.;;;;;;;;;x
EVTOPTA_PlusFaction_125;Let's hope things go well;Let's hope things go well;Let's hope things go well;;Let's hope things go well;;;;;;;;;x
EVTDESC_PlusFaction_126;You arrive at [FromFrom.Capital.GetName] and are greeted pleasantly, and after a fine dinner with [FromFrom.GetTitledFirstNameNoRegnal] the two of you get down to business. Your discussions go well, and when you leave the next day you're quite certain that you and [FromFrom.GetSheHe] have a greater understanding of where you both stand on issues.;You arrive at [FromFrom.Capital.GetName] and are greeted pleasantly, and after a fine dinner with [FromFrom.GetTitledFirstNameNoRegnal] the two of you get down to business. Your discussions go well, and when you leave the next day you're quite certain that you and [FromFrom.GetSheHe] have a greater understanding of where you both stand on issues.;You arrive at [FromFrom.Capital.GetName] and are greeted pleasantly, and after a fine dinner with [FromFrom.GetTitledFirstNameNoRegnal] the two of you get down to business. Your discussions go well, and when you leave the next day you're quite certain that you and [FromFrom.GetSheHe] have a greater understanding of where you both stand on issues.;;You arrive at [FromFrom.Capital.GetName] and are greeted pleasantly, and after a fine dinner with [FromFrom.GetTitledFirstNameNoRegnal] the two of you get down to business. Your discussions go well, and when you leave the next day you're quite certain that you and [FromFrom.GetSheHe] have a greater understanding of where you both stand on issues.;;;;;;;;;x
EVTDESC_PlusFaction_127;You arrive at [FromFrom.Capital.GetName] and are greeted pleasantly enough, though during the dinner with [FromFrom.GetTitledFirstNameNoRegnal] you can tell [FromFrom.GetSheHe] is suspicious of the reason for your visit--and, sure enough, the discussions you have seem to go nowhere. The trip, it seems, was pretty much a waste.;You arrive at [FromFrom.Capital.GetName] and are greeted pleasantly enough, though during the dinner with [FromFrom.GetTitledFirstNameNoRegnal] you can tell [FromFrom.GetSheHe] is suspicious of the reason for your visit--and, sure enough, the discussions you have seem to go nowhere. The trip, it seems, was pretty much a waste.;You arrive at [FromFrom.Capital.GetName] and are greeted pleasantly enough, though during the dinner with [FromFrom.GetTitledFirstNameNoRegnal] you can tell [FromFrom.GetSheHe] is suspicious of the reason for your visit--and, sure enough, the discussions you have seem to go nowhere. The trip, it seems, was pretty much a waste.;;You arrive at [FromFrom.Capital.GetName] and are greeted pleasantly enough, though during the dinner with [FromFrom.GetTitledFirstNameNoRegnal] you can tell [FromFrom.GetSheHe] is suspicious of the reason for your visit--and, sure enough, the discussions you have seem to go nowhere. The trip, it seems, was pretty much a waste.;;;;;;;;;x
EVTDESC_PlusFaction_128;You arrive at [FromFrom.Capital.GetName], and things get off to a bad start almost immediately. You and [FromFrom.GetTitledFirstNameNoRegnal] bicker over trivialities all through dinner, and by the time faction business is discussed it seems as if your presence does more harm than good. You are relieved to finally leave the next morning.;You arrive at [FromFrom.Capital.GetName], and things get off to a bad start almost immediately. You and [FromFrom.GetTitledFirstNameNoRegnal] bicker over trivialities all through dinner, and by the time faction business is discussed it seems as if your presence does more harm than good. You are relieved to finally leave the next morning.;You arrive at [FromFrom.Capital.GetName], and things get off to a bad start almost immediately. You and [FromFrom.GetTitledFirstNameNoRegnal] bicker over trivialities all through dinner, and by the time faction business is discussed it seems as if your presence does more harm than good. You are relieved to finally leave the next morning.;;You arrive at [FromFrom.Capital.GetName], and things get off to a bad start almost immediately. You and [FromFrom.GetTitledFirstNameNoRegnal] bicker over trivialities all through dinner, and by the time faction business is discussed it seems as if your presence does more harm than good. You are relieved to finally leave the next morning.;;;;;;;;;x
EVTDESC_PlusFaction_130A;You arrange an audience with [From.GetTitledName], hoping to convince [From.GetHerHim] of your rightful claim to the [target_claimed_title.GetFullName]. With any luck, [From.GetTitledFirstNameNoRegnal] will be open to your arguments.;You arrange an audience with [From.GetTitledName], hoping to convince [From.GetHerHim] of your rightful claim to the [target_claimed_title.GetFullName]. With any luck, [From.GetTitledFirstNameNoRegnal] will be open to your arguments.;You arrange an audience with [From.GetTitledName], hoping to convince [From.GetHerHim] of your rightful claim to the [target_claimed_title.GetFullName]. With any luck, [From.GetTitledFirstNameNoRegnal] will be open to your arguments.;;You arrange an audience with [From.GetTitledName], hoping to convince [From.GetHerHim] of your rightful claim to the [target_claimed_title.GetFullName]. With any luck, [From.GetTitledFirstNameNoRegnal] will be open to your arguments.;;;;;;;;;x
EVTDESC_PlusFaction_130B;You arrange an audience with [From.GetTitledName], hoping to convince [From.GetHerHim] of [target_claimant.GetTitledFirstNameNoRegnal]'s claim to the [target_claimed_title.GetFullName]. With any luck, [From.GetTitledFirstNameNoRegnal] will be open to your arguments.;You arrange an audience with [From.GetTitledName], hoping to convince [From.GetHerHim] of [target_claimant.GetTitledFirstNameNoRegnal]'s claim to the [target_claimed_title.GetFullName]. With any luck, [From.GetTitledFirstNameNoRegnal] will be open to your arguments.;You arrange an audience with [From.GetTitledName], hoping to convince [From.GetHerHim] of [target_claimant.GetTitledFirstNameNoRegnal]'s claim to the [target_claimed_title.GetFullName]. With any luck, [From.GetTitledFirstNameNoRegnal] will be open to your arguments.;;You arrange an audience with [From.GetTitledName], hoping to convince [From.GetHerHim] of [target_claimant.GetTitledFirstNameNoRegnal]'s claim to the [target_claimed_title.GetFullName]. With any luck, [From.GetTitledFirstNameNoRegnal] will be open to your arguments.;;;;;;;;;x
EVTOPTA_PlusFaction_130;Let's hope this goes well;Let's hope this goes well;Let's hope this goes well;;Let's hope this goes well;;;;;;;;;x
EVTDESC_PlusFaction_131A;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling that [FromFrom.GetTitledFirstNameNoRegnal] is now much more inclined to favor your claim. Whether that will result in [FromFrom.GetHerHim] joining your faction remains to be seen.;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling that [FromFrom.GetTitledFirstNameNoRegnal] is now much more inclined to favor your claim. Whether that will result in [FromFrom.GetHerHim] joining your faction remains to be seen.;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling that [FromFrom.GetTitledFirstNameNoRegnal] is now much more inclined to favor your claim. Whether that will result in [FromFrom.GetHerHim] joining your faction remains to be seen.;;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling that [FromFrom.GetTitledFirstNameNoRegnal] is now much more inclined to favor your claim. Whether that will result in [FromFrom.GetHerHim] joining your faction remains to be seen.;;;;;;;;;x
EVTDESC_PlusFaction_131B;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling that [FromFrom.GetTitledFirstNameNoRegnal] is now much more inclined to favor [target_claimant.GetTitledFirstNameNoRegnal]'s claim. Whether that will result in [FromFrom.GetHerHim] joining your faction remains to be seen.;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling that [FromFrom.GetTitledFirstNameNoRegnal] is now much more inclined to favor [target_claimant.GetTitledFirstNameNoRegnal]'s claim. Whether that will result in [FromFrom.GetHerHim] joining your faction remains to be seen.;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling that [FromFrom.GetTitledFirstNameNoRegnal] is now much more inclined to favor [target_claimant.GetTitledFirstNameNoRegnal]'s claim. Whether that will result in [FromFrom.GetHerHim] joining your faction remains to be seen.;;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling that [FromFrom.GetTitledFirstNameNoRegnal] is now much more inclined to favor [target_claimant.GetTitledFirstNameNoRegnal]'s claim. Whether that will result in [FromFrom.GetHerHim] joining your faction remains to be seen.;;;;;;;;;x
EVTDESC_PlusFaction_132;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling as if you've hardly moved [FromFrom.GetTitledFirstNameNoRegnal] at all. The [FromFrom.GetManWoman] made no promises of support and gave no indication of [FromFrom.GetHerHis] true feelings on the issue.;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling as if you've hardly moved [FromFrom.GetTitledFirstNameNoRegnal] at all. The [FromFrom.GetManWoman] made no promises of support and gave no indication of [FromFrom.GetHerHis] true feelings on the issue.;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling as if you've hardly moved [FromFrom.GetTitledFirstNameNoRegnal] at all. The [FromFrom.GetManWoman] made no promises of support and gave no indication of [FromFrom.GetHerHis] true feelings on the issue.;;After listening to your arguments for some time, and with a great deal of discussion, you walk away feeling as if you've hardly moved [FromFrom.GetTitledFirstNameNoRegnal] at all. The [FromFrom.GetManWoman] made no promises of support and gave no indication of [FromFrom.GetHerHis] true feelings on the issue.;;;;;;;;;x
EVTDESC_PlusFaction_133;Your meeting with [FromFrom.GetTitledFirstNameNoRegnal] could hardly have gone worse. You barely discussed the claim at all, instead getting caught up in old arguments and discussions of feudal obligation. You leave [FromFrom.Capital.GetName] believing it would have been better not to have come at all.;Your meeting with [FromFrom.GetTitledFirstNameNoRegnal] could hardly have gone worse. You barely discussed the claim at all, instead getting caught up in old arguments and discussions of feudal obligation. You leave [FromFrom.Capital.GetName] believing it would have been better not to have come at all.;Your meeting with [FromFrom.GetTitledFirstNameNoRegnal] could hardly have gone worse. You barely discussed the claim at all, instead getting caught up in old arguments and discussions of feudal obligation. You leave [FromFrom.Capital.GetName] believing it would have been better not to have come at all.;;Your meeting with [FromFrom.GetTitledFirstNameNoRegnal] could hardly have gone worse. You barely discussed the claim at all, instead getting caught up in old arguments and discussions of feudal obligation. You leave [FromFrom.Capital.GetName] believing it would have been better not to have come at all.;;;;;;;;;x
EVTNAME_PlusFaction_134;Undermine Faction Member;Undermine Faction Member;Undermine Faction Member;;Undermine Faction Member;;;;;;;;;x
EVTDESC_PlusFaction_134_COURT;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction.;;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction.;;;;;;;;;x
EVTDESC_PlusFaction_134_PROSPERITY;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction.;;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction.;;;;;;;;;x
EVTDESC_PlusFaction_134_GLORY;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction.;;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction.;;;;;;;;;x
EVTDESC_PlusFaction_134_TRADITION;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction.;;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction.;;;;;;;;;x
EVTOPTA_PlusFaction_134;Report it to [Root.Liege.GetTitledFirstNameNoRegnal];Report it to [Root.Liege.GetTitledFirstNameNoRegnal];Report it to [Root.Liege.GetTitledFirstNameNoRegnal];;Report it to [Root.Liege.GetTitledFirstNameNoRegnal];;;;;;;;;x
EVTOPTB_PlusFaction_134;Ignore it;Ignore it;Ignore it;;Ignore it;;;;;;;;;x
EVTDESC_PlusFaction_135_COURT;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_135_PROSPERITY;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_135_GLORY;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_135_TRADITION;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;My liege,\nI have discovered an opportunity which might allow you to secretly undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction. Indeed, if you wish, we could also threaten [faction_member.GetHerHim] with it directly and force [faction_member.GetHerHim] from the faction. It is a risk, so I will leave the decision in your hands.\n\nSincerely,\n[Root.job_spymaster.GetTitledName];;;;;;;;;x
EVTOPTA_PlusFaction_135;Undermine [faction_member.GetHerHim], but keep it quiet;Undermine [faction_member.GetHerHim], but keep it quiet;Undermine [faction_member.GetHerHim], but keep it quiet;;Undermine [faction_member.GetHerHim], but keep it quiet;;;;;;;;;x
EVTOPTB_PlusFaction_135;Threaten [faction_member.GetHerHim];Threaten [faction_member.GetHerHim];Threaten [faction_member.GetHerHim];;Threaten [faction_member.GetHerHim];;;;;;;;;x
EVTOPTC_PlusFaction_135;Don't do anything -- leave [faction_member.GetHerHim] be;Don't do anything -- leave [faction_member.GetHerHim] be;Don't do anything -- leave [faction_member.GetHerHim] be;;Don't do anything -- leave [faction_member.GetHerHim] be;;;;;;;;;x
EVTDESC_PlusFaction_136;[Root.GetTitledFirstNameNoRegnal],\n[From.job_spymaster.GetTitledFirstNameNoRegnal] has uncovered some information about your activities which the other lords in your faction would hardly appreciate. It's in your best interest to leave your faction at once, lest they learn the truth.\n\nSincerely,\n[From.GetTitledName];[Root.GetTitledFirstNameNoRegnal],\n[From.job_spymaster.GetTitledFirstNameNoRegnal] has uncovered some information about your activities which the other lords in your faction would hardly appreciate. It's in your best interest to leave your faction at once, lest they learn the truth.\n\nSincerely,\n[From.GetTitledName];[Root.GetTitledFirstNameNoRegnal],\n[From.job_spymaster.GetTitledFirstNameNoRegnal] has uncovered some information about your activities which the other lords in your faction would hardly appreciate. It's in your best interest to leave your faction at once, lest they learn the truth.\n\nSincerely,\n[From.GetTitledName];;[Root.GetTitledFirstNameNoRegnal],\n[From.job_spymaster.GetTitledFirstNameNoRegnal] has uncovered some information about your activities which the other lords in your faction would hardly appreciate. It's in your best interest to leave your faction at once, lest they learn the truth.\n\nSincerely,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_PlusFaction_136;What could [From.GetSheHe] know?? I should do as [From.GetSheHe] says!;What could [From.GetSheHe] know?? I should do as [From.GetSheHe] says!;What could [From.GetSheHe] know?? I should do as [From.GetSheHe] says!;;What could [From.GetSheHe] know?? I should do as [From.GetSheHe] says!;;;;;;;;;x
EVTOPTB_PlusFaction_136;It is a bluff -- tell [From.GetHerHim] to do [From.GetHerHis] worst;It is a bluff -- tell [From.GetHerHim] to do [From.GetHerHis] worst;It is a bluff -- tell [From.GetHerHim] to do [From.GetHerHis] worst;;It is a bluff -- tell [From.GetHerHim] to do [From.GetHerHis] worst;;;;;;;;;x
EVTDESC_PlusFaction_137;My liege,\nI am left to wonder what this 'information' is that you claim to have, and feel it must be a misunderstanding. Nevertheless, I shall do as you demand and withdraw from my faction for a time.\n\nSincerely,\n[From.GetTitledName];My liege,\nI am left to wonder what this 'information' is that you claim to have, and feel it must be a misunderstanding. Nevertheless, I shall do as you demand and withdraw from my faction for a time.\n\nSincerely,\n[From.GetTitledName];My liege,\nI am left to wonder what this 'information' is that you claim to have, and feel it must be a misunderstanding. Nevertheless, I shall do as you demand and withdraw from my faction for a time.\n\nSincerely,\n[From.GetTitledName];;My liege,\nI am left to wonder what this 'information' is that you claim to have, and feel it must be a misunderstanding. Nevertheless, I shall do as you demand and withdraw from my faction for a time.\n\nSincerely,\n[From.GetTitledName];;;;;;;;;x
EVTDESC_PlusFaction_138;My liege,\nI can only wonder what it is you think you know. I call your bluff. Tell my faction whatever you wish; I think they will believe me over you.\n\nSincerely,\n[From.GetTitledName];My liege,\nI can only wonder what it is you think you know. I call your bluff. Tell my faction whatever you wish; I think they will believe me over you.\n\nSincerely,\n[From.GetTitledName];My liege,\nI can only wonder what it is you think you know. I call your bluff. Tell my faction whatever you wish; I think they will believe me over you.\n\nSincerely,\n[From.GetTitledName];;My liege,\nI can only wonder what it is you think you know. I call your bluff. Tell my faction whatever you wish; I think they will believe me over you.\n\nSincerely,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_PlusFaction_138;Let us press forward, then;Let us press forward, then;Let us press forward, then;;Let us press forward, then;;;;;;;;;x
EVTOPTB_PlusFaction_138;Let's drop this before it gets worse;Let's drop this before it gets worse;Let's drop this before it gets worse;;Let's drop this before it gets worse;;;;;;;;;x
EVTDESC_PlusFaction_139;The attempt to undermine [faction_member.GetTitledFirstNameNoRegnal] did nothing. [faction_member.GetHerHisCap] faction members heard the allegations, but believed [faction_member.GetHerHis] denials and the matter was completely dropped. Thankfully, no one knows of your involvement.;The attempt to undermine [faction_member.GetTitledFirstNameNoRegnal] did nothing. [faction_member.GetHerHisCap] faction members heard the allegations, but believed [faction_member.GetHerHis] denials and the matter was completely dropped. Thankfully, no one knows of your involvement.;The attempt to undermine [faction_member.GetTitledFirstNameNoRegnal] did nothing. [faction_member.GetHerHisCap] faction members heard the allegations, but believed [faction_member.GetHerHis] denials and the matter was completely dropped. Thankfully, no one knows of your involvement.;;The attempt to undermine [faction_member.GetTitledFirstNameNoRegnal] did nothing. [faction_member.GetHerHisCap] faction members heard the allegations, but believed [faction_member.GetHerHis] denials and the matter was completely dropped. Thankfully, no one knows of your involvement.;;;;;;;;;x
