#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
###############################################################################;;;;;;;;;;;;;;x;
#BARONY FEUDAL;;;;;;;;;;;;;;x;
barony_of_coptic;Fortress of;Forteresse de;Festung von;;Fortaleza de;
city_kingdom_of_west_germanic;Federation of;Fédération de;Föderation von;;Federación de;
###############################################################################;;;;;;;;;;;;;;x;
#KINGDOM FEUDAL;;;;;;;;;;;;;;x;
kingdom_of_altaic;Khanate of;Khanat de;Khanat von;;Kanato de;
kingdom_of_east_slavic;Grand Principality of;Grande Principauté de;Großfürstentum von;;Gran Principado de;
kingdom_of_greek;Despotate of;Despotat de;Despotat von;;Despotado de;
kingdom_of_pontic_greek;Despotate of;Despotat de;Despotat von;;Despotado de;
kingdom_of_iranian;Shahdom of;Shahdom de;Schahdom von;;Shahdom de;
kingdom_of_israelite;Memlekt;Memlekt;Memlekt;;Memlekt;
kingdom_of_jewish_group;Mamlacha of;Mamlacha de;Mamlacha von;;Mamlacha of;
kingdom_of_russian;Grand Principality of;Grande Principauté de;Großfürstentum von;;Gran Principado de;
kingdom_of_somali;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;
kingdom_of_amazigh;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;
kingdom_of_maghrebi;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;
kingdom_of_bulgarian;Grand Principality of;Grande Principauté de;Großfürstentum von;;Gran Principado de;
kingdom_of_south_slavic;Kingdom of;Royaume de;Königreich von;;Reino de;
kingdom_of_turkish;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;
kingdom_altaic;Khanate;Khanat;Khanat;;Kanato;
kingdom_east_slavic;Grand Principality;Grande Principauté;Großfürstentum;;Gran Principado;
kingdom_greek;Despotate;Despotat;Despotat;;Despotado;
kingdom_pontic_greek;Despotate;Despotat;Despotat;;Despotado;
kingdom_iranian;Shahdom;Shahdom;Schahdom;;Shahdom;
kingdom_israelite;Memlekt;Memlekt;Memlekt;;Memlekt;
kingdom_jewish_group;Mamlacha;Mamlacha;Mamlacha;;Mamlacha;
kingdom_russian;Grand Principality;Grande Principauté;Großfürstentum;;Gran Principado;
kingdom_somali;Sultanate;Sultanat;Sultanat;;Sultanato;
kingdom_amazigh;Sultanate;Sultanat;Sultanat;;Sultanato;
kingdom_maghrebi;Sultanate;Sultanat;Sultanat;;Sultanato;
kingdom_bulgarian;Grand Principality;Grande Principauté;Großfürstentum;;Gran Principado;
kingdom_south_slavic;Kingdom;Royaume;Königreich;;Reino;
kingdom_turkish;Sultanate;Sultanat;Sultanat;;Sultanato;
###############################################################################;;;;;;;;;;;;;;x;
#KINGDOM TEMPLE;;;;;;;;;;;;;;x;
temple_kingdom_of_apostolic;Patriarchate of;Patriarchate of;Patriarchat von;;Patriarchate of;
temple_kingdom_of_chalcedonian;Patriarchate of;Patriarcat de;Patriarchat von;;Patriarcado de;
temple_kingdom_of_druze;Ajawidh of;Ajawidh of;Ajawidh von;;Ajawidh of;
temple_kingdom_of_german_pagan;Reik of;Reik de;Reik von;;Reik de;
temple_kingdom_of_hellenic_pagan_group;Sacred Kingdom of;Royaume Sacré de;Heiliges Königreich von;;Sacred Kingdom of;
temple_kingdom_of_promethean_pagan;Sofos Vasilieo;Sofos Vasilieo;Sofos Vasilieo;;Sofos Vasilieo;
temple_kingdom_of_jewish_group;Mamlacha of;Mamlacha de;Mamlacha von;;Mamlacha of;
temple_kingdom_of_yazidi;Caliphate of;Caliphate of;Kalifat von;;Caliphate of;
temple_kingdom_chalcedonian;Patriarchate;Patriarcat;Patriarchats;;Patriarcado;
temple_kingdom_of_zoroastrian;Atash i-Shahdom of;Atash i-Shahdom de;Atasch i-Schahdom von;;Atash i-Shahdom de;
temple_kingdom_zoroastrian;Atash i-Shahdom;Atash i-Shahdom;Atasch i-Schahdom;;Atash i-Shahdom;
###############################################################################;;;;;;;;;;;;;;x;
#KINGDOM TRIBAL;;;;;;;;;;;;;;x;
tribal_kingdom_of;Kingdom of;Royaume de;Königreich von;;Reino de;
###############################################################################;;;;;;;;;;;;;;x;
#KINGDOM NOMADIC;;;;;;;;;;;;;;x;
nomadic_kingdom_hungarian;Ország;Ország;Ország;;Ország;
nomadic_kingdom_of_hungarian;Ország of;Ország of;Ország von;;Ország of;
###############################################################################;;;;;;;;;;;;;;x;
#KINGDOM IMPERIAL;;;;;;;;;;;;;;x;
imperial_kingdom_of;Viceroyalty of;Vice-royauté de;Vizekönigreich von;;Virreinato de;
imperial_kingdom_of_byzantine;Exarchate of;Exarchat de;Exarchat von;;Exarcado de;
imperial_kingdom_of_central_germanic;Grand Duchy of;;Großherzogtum von;;;
imperial_kingdom_of_austrian;Archduchy of;;Erzherzogtum von;;;
imperial_kingdom;Viceroyalty;Vice-royauté;Vizekönigreich;;Virreinato;
imperial_kingdom_byzantine;Exarchate;Exarchat;Exarchat;;Exarcado;
imperial_kingdom_central_germanic;Grand Duchy;;Großherzogtum;;;
imperial_kingdom_austrian;Archduchy;;Erzherzogtum;;;
###############################################################################;;;;;;;;;;;;;;x;
#KINGDOM ALMULK;;;;;;;;;;;;;;x;
almulk_kingdom_of;Emirate of;Émirat de;Emirat von;;Emirato de;
almulk_kingdom_of_amazigh;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;
almulk_kingdom_of_maghrebi;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;
almulk_kingdom_of_turkish;Sultanate of;;Sultanat von;;;
almulk_kingdom;Emirate;;Emirat;;;
almulk_kingdom_amazigh;Sultanate;Sultanat;Sultanat;;Sultanato;
almulk_kingdom_maghrebi;Sultanate;Sultanat;Sultanat;;Sultanato;
almulk_kingdom_turkish;Sultanate;;Sultanat;;;
###############################################################################;;;;;;;;;;;;;;x;
#EMPIRE CITY;;;;;;;;;;;;;;x;
city_empire_of;Grand Republic of;Grande République de;Große Republik von;;Grand Republic of;
city_empire_of_baltic;Confederation of;Confédération de;Konföderation von;;Confederación de;
city_empire_of_bulgarian;Confederation of;Confédération de;Konföderation von;;Confederación de;
city_empire_of_celtic;Confederation of;Confédération de;Konföderation von;;Confederación de;
city_empire_of_east_slavic;Confederation of;Confédération de;Konföderation der;;Confederación de;
city_empire_of_finno_ugric;Confederation of;Confédération de;Konföderation von;;Confederación de;
city_empire_of_israelite;Medina of;Médina de;Medina von;;Medina de;
city_empire_of_jewish_group;Medina of;Médina de;Medina von;;Medina de;
city_empire_of_magyar;Confederation of;Confédération de;Konföderation von;;Confederación de;
city_empire_of_norman;Confederation of;Confédération de;Konföderation von;;Confederación de;
city_empire_of_north_germanic;Confederation of;Confédération de;Konföderation von;;Confederación de;
city_empire_of_west_germanic;Confederation of;Confédération de;Konföderation von;;Confederación de;
city_empire_of_west_slavic;Confederation of;Confédération de;Konföderation von;;Confederación de;
###############################################################################;;;;;;;;;;;;;;x;
#EMPIRE FEUDAL;;;;;;;;;;;;;;x;
empire_of_altaic;Khaganate of;Khaganat de;Khaganat von;;Kaganato de;
empire_of_turkish;Empire of;Empire de;Kaiserreich von;;Imperio de;
empire_of_south_slavic;Tsardom of;Tsarat de;Zarenreich von;;Zarato de;
empire_of_croatian;Empire of;Empire de;Kaiserreich von;;Imperio de;
empire_of_slovene;Empire of;Empire de;Kaiserreich von;;Imperio de;
empire_altaic;Khaganate;Khaganat;Großkhanat;;Kaganato;
empire_turkish;Empire;;;;;
empire_south_slavic;Tsardom;Tsarat;Zarenreich;;Zarato;
empire_croatian;Empire;Empire;Kaiserreich;;Imperio;
empire_slovene;Empire;Empire;Kaiserreich;;Imperio;
###############################################################################;;;;;;;;;;;;;;x;
#EMPIRE IMPERIAL;;;;;;;;;;;;;;x;
imperial_empire_of;Empire of;Empire de;Kaiserreich von;;Imperio de;
imperial_empire_of_altaic;Khaganate of;Khaganat de;Großkhanat von;;Kaganato de;
imperial_empire_of_south_slavic;Tsardom of;Tsarat de;Zarenreich von;;Zarato de;
imperial_empire_of_croatian;Empire of;Empire de;Kaiserreich von;;Imperio de;
imperial_empire_of_slovene;Empire of;Empire de;Kaiserreich von;;Imperio de;
imperial_empire;Empire;Empire;Kaiserreich;;Imperio;
imperial_empire_altaic;Khaganate;Khaganat;Großkhanat;;Kaganato;
imperial_empire_south_slavic;Tsardom;Tsarat;Zarenreich;;Zarato;
imperial_empire_croatian;Empire;Empire;Kaiserreich;;Imperio;
imperial_empire_slovene;Empire;Empire;Kaiserreich;;Imperio;
###############################################################################;;;;;;;;;;;;;;x;
#EMPIRE ALMULK;;;;;;;;;;;;;;x;
almulk_empire_of;Empire of;Empire de;Kaiserreich von;;Imperio de;
almulk_empire_of_altaic;Khaganate of;Khaganat de;Großkhanat von;;Kaganato de;
almulk_empire_of_turkish;Empire of;Empire de;Kaiserreich von;;Imperio de;
almulk_empire;Empire;;;;;
almulk_empire_altaic;Khaganate;Khaganat;Großkhanat;;Kaganato;
almulk_empire_turkish;Empire;;;;;
###############################################################################;;;;;;;;;;;;;;x;
#EMPIRE NOMADIC;;;;;;;;;;;;;;x;
nomadic_empire_hungarian;Confederation;Confederation;Konföderation;;Confederation;
nomadic_empire_of_hungarian;Confederation of;Confederation of;Konföderation von;;Confederation of;
###############################################################################;;;;;;;;;;;;;;x;
#EMPIRE TEMPLE;;;;;;;;;;;;;;x;
temple_empire_of_druze;Sacred Ajawidh of;Sacré Ajawidh of;Heiliges Ajawidh von;;Sagrado Ajawidh of;
temple_empire_of_celtic_pagan_reformed;Sacred Empire of;Sacré Empire de;Heiliges Kaiserreich von;;Imperio Sagrado de;
temple_empire_of_egyptian_pagan_group;Empire of;Empire de;Kaiserreich von;;Imperio del;
temple_empire_of_promethean_pagan;Enlightened Realm of;;Erleuchtetes Reich von;;;
temple_empire_of_muslim;Grand Caliphate of;Grand Califat de;Großkalifat von;;Grand Caliphate de;
temple_empire_of_yazidi;High Caliphate of;High Caliphate of;Hochkalifat von;;High Caliphate of;
temple_empire_of_zoroastrian;Atash i-Shahanshahdom of;Atash i-Shahanshahdom de;Atash i-Shahanshahdom von;;Atash i-Shahanshahdom de;
temple_empire_zoroastrian;Atash i-Shahanshahdom;Atash i-Shahanshahdom;Atasch i-Schahanshahdom;;Atash i-Shahanshahdom;
###############################################################################;;;;;;;;;;;;;;x;
#EMPIRE TRIBAL;;;;;;;;;;;;;;x;
tribal_empire_of;Empire of;Empire de;Kaiserreich von;;Imperio de;
