#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_ALEXIOS;Alexios Komnenos of Trebizond;Alexios Komnenos de Trébizonde;Alexios Komnenos von Trebizond;;Alexios Komnenos de Trebisonda;;;;;;;;;x
BM_INDIAN_AMBITION_DESC;Iltutmish Ghulam, Padishah of Rajastan, is heir to an empire that was not long ago on the verge of collapse. First driven out of Persia by the victorious Anushtiginids, the ancient dynasty of Ghurid collapsed, leaving Rajastan in control of Mameluks, who in their own turn collapsed with the coming of the Mongols. Now House Ghulam rules Rajastan, the first stable rulers since the collapse of House Ghurid, and a House that inherits at a period of great opportunity. Ruling over the vast majority of the northern subcontinent, the Ghulam dynasty is the first to be in a position to unite India and bring the message of Allah to all of its people. If they can succeed in this great undertaking, their might may be too great for even the Mongol hordes to face. A return to their homeland of Persia is not out of the question, should they succeed in taming the elephant….;Iltutmish Ghulam, Padishah of Rajastan, is heir to an empire that was not long ago on the verge of collapse. First driven out of Persia by the victorious Anushtiginids, the ancient dynasty of Ghurid collapsed, leaving Rajastan in control of Mameluks, who in their own turn collapsed with the coming of the Mongols. Now House Ghulam rules Rajastan, the first stable rulers since the collapse of House Ghurid, and a House that inherits at a period of great opportunity. Ruling over the vast majority of the northern subcontinent, the Ghulam dynasty is the first to be in a position to unite India and bring the message of Allah to all of its people. If they can succeed in this great undertaking, their might may be too great for even the Mongol hordes to face. A return to their homeland of Persia is not out of the question, should they succeed in taming the elephant….;Iltutmish Ghulam, Padischah von Rajastan, ist Erbe eines Reiches, das vor nicht allzu langer Zeit kurz vor dem Zusammenbruch stand. Die alte Dynastie der Ghuriden wurde zunächst von den siegreichen Anuschtiginiden aus Persien vertrieben, brach dann aber zusammen und überließ Rajastan der Kontrolle der Mameluken, die ihrerseits mit dem Einfall der Mongolen zusammenbrachen. Jetzt regiert das Haus Ghulam Rajastan, die ersten stabilen Herrscher seit dem Zusammenbruch des Hauses Ghurid, und ein Haus, das in einer Zeit großer Möglichkeiten erbt. Die Ghulam-Dynastie, die über den größten Teil des nördlichen Subkontinents herrscht, ist die erste, die in der Lage ist, Indien zu vereinen und die Botschaft Allahs allen Menschen zu bringen. Wenn ihnen dieses große Unterfangen gelingt, könnte ihre Macht selbst für die mongolischen Horden zu groß sein. Eine Rückkehr in ihre Heimat Persien ist nicht ausgeschlossen, sollte es ihnen gelingen, die Elefanten zu zähmen....;;Iltutmish Ghulam, Padishah de Rajastan, es el heredero de un imperio que no mucho tiempo atrás estuvo al borde del colapso. Rechazados de Persia por los victoriosos  Anushtiginidas, la vieja dinastía de Ghurid colapsó, dejando Rajastán en control de los Mamelucos, que a su mismo tiempo colapsaron con la llegada de los Mongoles. Ahora la Casa de Ghulam gobierna en Rajastán, los primeros gobernantes estables desde la caída de la Casa Ghurid, y se encuentran frente a un período de gran oportunidad. La dinastía Ghulam es la primera en encontrase en una posición de poder unificar India y traer el mensaje de Allah a todo su pueblo. Si pueden tener éxito en esta gran empresa, su poder puede incluso llegar a ser demasiado grande para los Mongoles. Un retorno a su región natal en Persia no sería descabellado tampoco, si se muestran capaces de domar al elefante...;;;;;;;;;x
BM_ITALY;The Italian Campaign;La campagne italienne;Der Italienische Feldzug;;La Campaña Italiana;;;;;;;;;x
BM_ITALY_DESC;The Holy Roman Empire is in decline, and Italy has finally been completely freed from its grasp. Dukes war with counts, mayors with Doges. Who will unite Italy--or will Italy be united at all?;The Holy Roman Empire is in decline, and Italy has finally been completely freed from its grasp. Dukes war with counts, mayors with Doges. Who will unite Italy--or will Italy be united at all?;Das Heilige Römische Reich ist im Niedergang begriffen, und Italien hat sich endlich vollständig aus seiner Umklammerung befreit. Herzöge kämpfen mit Grafen, Bürgermeister mit Dogen. Wer wird Italien vereinen - oder wird Italien überhaupt geeint werden?;;El Sacro Imperio Romano se encuentra en caída e Italia se ha finalmente librado de su yugo. Los Duques guerrean contra los condes, mayores contra Dogos. Quién unificará Italia?--o capaz la pregunta es, será unificada?;;;;;;;;;x
BM_JERUSALEM;Jerusalem at its Height;Jérusalem a son apogée;Jerusalem auf seinem Höhepunkt;;Jerusalén en su cenit;;;;;;;;;x
BM_JERUSALEM_DESC;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the Kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem's size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Sultanate to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds....;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the Kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem's size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Sultanate to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds....;Jerusalem steht stark und stolz da. Das Fürstentum Antiochia wurde absorbiert, und das Königreich hat sich ins Landesinnere ausgedehnt, in Richtung der Sinai-Halbinsel und Damaskus. Obwohl die Größe und Stärke Jerusalems die katholische Vorherrschaft in der Levante weithin sichert, ist noch lange nicht alles gesichert. Damaskus und Aleppo stehen immer noch als Wächter gegen das mächtige Seldschuken-Sultanat im Osten, und der Fatimiden-Kalif ist über die Verluste, die Ägypten während des Ersten Kreuzzugs erlitten hat, nicht gerade erfreut. Jerusalem hat viele Feinde, aber nur wenige Freunde. In der Ferne ertönt ein Schrei nach Dschihad....;;Jerusalén se alza fuerte y orgulloso. El Principado de Antioquía ha sido absorbido y el reino se expande tierras adentro, hacia la península de Sinaí y Damasco. Más allá del tamaño y fuerza de Jerusalén, hay un largo camino hasta asegurar el dominio Católico en el Levante. Nada se encuentra asegurado. Damasco y Aleppo se mantienen como guardias frente al masivo Sultanato Seléucida hacia el Este, y el Califato Fatimí se aprovecha de las derrotas sufridas por Egipto en la Primer Cruzada. Jerusalén tiene muchos enemigos y pocos amigos. En el horizonte, un grito por una nueva Jihad se empieza a escuchar.....;;;;;;;;;x
BM_KIEV;Kiev and Novgorod;Kiev et Novgorod;Kiew und Nowgorod;;Kiev y Novgorod;;;;;;;;;x
BM_KIEV_DESC;For a brief period,the duchies of Ryazan and Novgorod stand balanced in the frigid north of Russia. Both are powerful and both wish to unite the Rus in a more permanent union, but only one can succeed. To the south, problems in Byzantium are alleviated by the fracture of the Seljuk royal house between the seat of Persia and Rum, but this, too, is an imperfect solution--the Sultanate of Rum is still immensely powerful. Nevertheless, with the immediate pressure of the immensely powerful Seljuk Sultanate diverted from Byzantine possessions, it may be possible to take advantage of the weakened position of the Egyptian Sultan on the North African coast….;For a brief period,the duchies of Ryazan and Novgorod stand balanced in the frigid north of Russia. Both are powerful and both wish to unite the Rus in a more permanent union, but only one can succeed. To the south, problems in Byzantium are alleviated by the fracture of the Seljuk royal house between the seat of Persia and Rum, but this, too, is an imperfect solution--the Sultanate of Rum is still immensely powerful. Nevertheless, with the immediate pressure of the immensely powerful Seljuk Sultanate diverted from Byzantine possessions, it may be possible to take advantage of the weakened position of the Egyptian Sultan on the North African coast….;Für eine kurze Zeit stehen die Herzogtümer Rjasan und Nowgorod im eisigen Norden Russlands im Gleichgewicht. Beide sind mächtig und wollen die Rus in einer dauerhaften Union vereinen, aber nur eines kann erfolgreich sein. Im Süden werden die Probleme in Byzanz durch den Bruch des seldschukischen Königshauses zwischen dem Sitz Persiens und Rum gemildert, aber auch dies ist eine unvollkommene Lösung - das Sultanat von Rum ist immer noch ungeheuer mächtig. Da der unmittelbare Druck des immens mächtigen Seldschuken-Sultanats von den byzantinischen Besitzungen abgelenkt wird, könnte es möglich sein, die geschwächte Position des ägyptischen Sultans an der nordafrikanischen Küste auszunutzen....;;Por un breve período de tiempo, los ducados de Ryazan y Novgorod se mantienen en pie en el frío norte de Rusia. Ambos son poderosos y ambos desean unir el pueblo Rus en una unión permanente, pero uno solo puede tener éxito. Hacia el sur, los problemas de Bizancio son suavizados por la fractura de la casa real Seleúcida entre Persia y Rum, pero esto, también, es una solución imperfecta--El Sultanato de Rum todavía es increiblemente poderoso. Sin embargo la presión inmediata del Sultanato Seleúcida, es posible sacar ventaja de la posición debilitada del Sultanato Egipcio en la costa Norte Africana....;;;;;;;;;x
BM_KINGDOM_OF_JERUSALEM;The Kingdom of Jerusalem;Le royaume de Jérusalem;Das Königreich Jerusalem;;El Reino de Jerusalén;;;;;;;;;x
BM_KINGDOM_OF_JERUSALEM_DESC;The Kingdom of Jerusalem;Le royaume de Jérusalem;Das Königreich Jerusalem;;El Reino de Jerusalé;;;;;;;;;x
BM_KOMNENOS;Manuel Komnenos;Manuel Komnenos;Manuel Komnenos;;Manuel Komnenos;;;;;;;;;x
BM_KOMNENOS_DESC;Manuel Komenos reigns in Byzantium, and Hungary looks on in fear. Ever the opportunist, Manuel had long ago concluded a pact with the King of Hungary, István III,whereby István's brother Belá would be educated at the Imperial court in Constantinople. Manuel had as-of-yet been without legitimate male issue, and intended Belá to be married to his daughter Maria, to eventually rule alongside her as Emperor. Sensing opportunity, however, Manuel decided to move against István and press his son-in-law's claims on the duchies of Dalmatia and Croatia. With those titles secured, Belá is now a landed vassal of Manuel, and the heir to the Kingdoms of Croatia and Hungary. Although the Komnenos line looks as though it may slip from the Imperial seat unless Manuel takes immediate action, the Byzantine Empire stands to grasp the greatest prize it has had in its sights since the Komnenoi took the throne: the buffer between the Holy Roman and Eastern Roman Empires.;Manuel Komenos reigns in Byzantium, and Hungary looks on in fear. Ever the opportunist, Manuel had long ago concluded a pact with the King of Hungary, István III,whereby István's brother Belá would be educated at the Imperial court in Constantinople. Manuel had as-of-yet been without legitimate male issue, and intended Belá to be married to his daughter Maria, to eventually rule alongside her as Emperor. Sensing opportunity, however, Manuel decided to move against István and press his son-in-law's claims on the duchies of Dalmatia and Croatia. With those titles secured, Belá is now a landed vassal of Manuel, and the heir to the Kingdoms of Croatia and Hungary. Although the Komnenos line looks as though it may slip from the Imperial seat unless Manuel takes immediate action, the Byzantine Empire stands to grasp the greatest prize it has had in its sights since the Komnenoi took the throne: the buffer between the Holy Roman and Eastern Roman Empires.;Manuel Komnenos regiert in Byzanz, und Ungarn schaut ängstlich zu. Der opportunistische Manuel hatte vor langer Zeit einen Pakt mit dem ungarischen König István III. geschlossen, wonach Istvá's Bruder Belá am kaiserlichen Hof in Konstantinopel erzogen werden sollte. Manuel hatte bis dahin keine legitimen männlichen Nachkommen und beabsichtigte, Belá mit seiner Tochter Maria zu verheiraten, um schließlich an ihrer Seite als Kaiser zu herrschen. Manuel witterte jedoch seine Chance und beschloss, gegen István vorzugehen und die Ansprüche seines Schwiegersohns auf die Herzogtümer Dalmatien und Kroatien durchzusetzen. Mit diesen Titeln ist Belá nun ein Lehnsmann Manuels und der Erbe der Königreiche Kroatien und Ungarn. Obwohl es so aussieht, als ob die Komnenos-Linie vom Kaiserthron abrutschen könnte, wenn Manuel nicht sofort etwas unternimmt, steht das Byzantinische Reich kurz davor, den größten Preis zu ergattern, den es seit der Thronbesteigung der Komnenoi im Visier hatte: den Puffer zwischen dem Heiligen Römischen Reich und dem Oströmischen Reich.;;Manuel Komneno reina en Bizancio y Hungría mira con miedo. Siempre oportunista, Manuel concluyó un pacto con el Rey de Hungría, Estebán III, donde el hermano de Esteban, Belá, sería educado en la corte Imperial en Constantinopla. Manuel, todavía sin hijos varones, pretende casar a Belá con su hija María y que aquél reine como emperador a su lado. Viendo la oportunidad, sin embargo, Manuel decidió declarar la guerra a Hungría con base en los derechos que su yerno poseía en los ducados de Dalmacia y Croacia. Con dichos títulos asegurados, Belá es ahora un vasallo con tierras de Manuel y heredero al trono de los Reinos de Croacia y Hungría. Aunque la línea Komnena está al borde de perder el asiento imperial, el imperio Bizantino se encuentra saboreando el mayor precio que ha tenido a su alcance desde que los Komneno tomaron el torno: Las tierras que dividen el Sacro Imperio Romano con el Imperio Bizantino.;;;;;;;;;x
BM_LEVANT;Seljuk Conquest of the Levant;La conqueste Seldjouk du Levant;Seldschukische Eroberung der Levante;;La Conquista Seléucida del Levante;;;;;;;;;x
BM_LEVANT_DESC;Against even other Muslims the Seljuk horde does not stay its hand. Seeking access to critical Mediterranean trade and control over the holy city of Mecca, Malik I Shah of the Seljuk Sultanate has declared war upon the Fatimid Sultan al-Mustansir, a war that al-Mustansir has lost. Control of the Levant and the holy cities of Mecca and Medina have passed into Seljuk hands, smashing the balance of power in the east and making the Seljuks one of the most powerful states in Eurasia. Can the Fatimids of Egypt and the Doukas of Byzantium hold against such a vast power?;Against even other Muslims the Seljuk horde does not stay its hand. Seeking access to critical Mediterranean trade and control over the holy city of Mecca, Malik I Shah of the Seljuk Sultanate has declared war upon the Fatimid Sultan al-Mustansir, a war that al-Mustansir has lost. Control of the Levant and the holy cities of Mecca and Medina have passed into Seljuk hands, smashing the balance of power in the east and making the Seljuks one of the most powerful states in Eurasia. Can the Fatimids of Egypt and the Doukas of Byzantium hold against such a vast power?;Auch vor anderen Muslimen schreckt die seldschukische Horde nicht zurück. Auf der Suche nach Zugang zum wichtigen Mittelmeerhandel und der Kontrolle über die heilige Stadt Mekka hat Malik I. Schah vom Seldschuken-Sultanat dem Fatimiden-Sultan al-Mustansir den Krieg erklärt, den dieser verloren hat. Die Kontrolle über die Levante und die heiligen Städte Mekka und Medina ist in die Hände der Seldschuken übergegangen, wodurch das Machtgleichgewicht im Osten zerschlagen wurde und die Seldschuken zu einem der mächtigsten Staaten Eurasiens wurden. Können sich die Fatimiden in Ägypten und die Doukas in Byzanz gegen eine so große Macht behaupten?;;Incluso en contra de otros musulmanes, la horda Seléucida no detiene su avance. Buscando acceso al comercio del mediterráneo y control de la ciudad sagrada de La Mecca, Malik I Shah del Sultanato Seleúcida ha declarado la guerra al Sultanato Fatimí de al-Mustansir, una guerra que al-Mustansir perdió. El control de las ciudades sagradas de Medina y Mecca fueron transferidas a las manos del Seléucida, quebrando el balance de poder en el este y convirtiendo a los Seléucidas en uno de los mas poderosos estados de Eurasia. Podrán los Fatimies de Egipto y los Duques de Bizancio enfrentar tan grande poder?;;;;;;;;;x
BM_LION_KING;The Lion King;Le roi lion;Der König der Löwen;;El Rey León;;;;;;;;;x
BM_LION_KING_DESC;Sundiata Keita was chief of the small Mandinka tribe during the Twilight Years of the Ghana Empire that would be embroiled in conflict. Through his cunning and martial abilities, Keita would manage to subdue Ghana and the nearby realms and form the mighty Mali Empire that would dominate West Africa for the centuries to come.;;Sundiata Keita war Häuptling des kleinen Mandinka-Stammes in den Jahren der Dämmerung des ghanaischen Reiches, das in einen Konflikt verwickelt wurde. Durch seine Gerissenheit und seine kriegerischen Fähigkeiten gelang es Keita, Ghana und die benachbarten Reiche zu unterwerfen und das mächtige Mali-Reich zu gründen, das Westafrika für die nächsten Jahrhunderte beherrschen sollte.;;Sundiata Keita fue el jefe de una pequeña tribu Mandinka durante los primeros años en los que el Imperio de Ghana se veria envuelto en conflictos. Mediante sus habilidades marciales, Keita se las ingeniería para subyugar Ghana bajo su voluntad y también a los reinos cercanos así formando el poderoso Imperio de Mali que pasaría a dominar el Oeste de Africa durante siglos.;;;;;;;;;x
BM_LITHUANIA;House Gediminaitis Restored;La maison Gediminaitis restaurée;Haus Gediminaitis wiederhergestellt;;Casa Gediminaitis Restaurada;;;;;;;;;x
BM_LITHUANIA_DESC;After the brief reign of the usurper-king Treniotas, the people of Lithuania have seen fit to restore the house of King Mindaugas to the throne, establishing his first son Vaisvilkas as King. Vaisvilkas has expanded Lithuania to the east, and in so doing has inadvertantly made Lithuania one of the de facto gateguards of Europe alongside the Kings of Poland, Hungary, Bulgaria, and the Grand Duke of Novgorod. Although Vaisvilkas's realm is still relatively small, his pious Christianity buys him time and potential support from other Christian rulers. If he can gain that support and use it to hold off the Mongol horde,the ambitious young King of Lithuania might well be able to recover some of his ancestral lands lost to the Teuton knights….;After the brief reign of the usurper-king Treniotas, the people of Lithuania have seen fit to restore the house of King Mindaugas to the throne, establishing his first son Vaisvilkas as King. Vaisvilkas has expanded Lithuania to the east, and in so doing has inadvertantly made Lithuania one of the de facto gateguards of Europe alongside the Kings of Poland, Hungary, Bulgaria, and the Grand Duke of Novgorod. Although Vaisvilkas's realm is still relatively small, his pious Christianity buys him time and potential support from other Christian rulers. If he can gain that support and use it to hold off the Mongol horde,the ambitious young King of Lithuania might well be able to recover some of his ancestral lands lost to the Teuton knights….;Nach der kurzen Herrschaft des Usurpator-Königs Treniotas hat das litauische Volk es für richtig gehalten, das Haus von König Mindaugas wieder auf den Thron zu setzen und seinen ersten Sohn Vaisvilkas zum König zu ernennen. Vaisvilkas hat Litauen nach Osten ausgedehnt und damit ungewollt neben den Königen von Polen, Ungarn, Bulgarien und dem Großherzog von Nowgorod zu einem der faktischen Gateguards Europas gemacht. Obwohl Vaisvilkas' Reich noch relativ klein ist, verschafft ihm sein frommes Christentum Zeit und potenzielle Unterstützung von anderen christlichen Herrschern. Wenn es ihm gelingt, diese Unterstützung zu gewinnen und sie zu nutzen, um die mongolischen Horden aufzuhalten, könnte der ehrgeizige junge König von Litauen durchaus in der Lage sein, einige seiner an die germanischen Ritter verlorenen Ländereien zurückzugewinnen. ....;;Después del breve reinado de rey-usurpador Treniotas, el pueblo de Lituania ha decidido restaurar la casa del Rey Mindaugas al trono, estableciendo su primogénito Vaisvilkas como Rey. Vaisvilkas ha expandido Lituania hacia el este, como resultado convirtiendo a Lituania en un muro de protección de Europa junto a los Reinos de Polonia, Hungría, Bulgaria y el Gran Ducado de Novgorod. Aunque el reino de Vaisvilkas todavía es relativamente pequeño, su piedad Cristiana le otorga apoyo de otros gobernantes Cristianos. Si puede consolidar dicho apoyo y usarlo para repeler la horda Mongola, el ambicioso Rey de Lituania podría recuperar las tierras que sus ancestros perdieron frente a los Caballeos Teutónicos;;;;;;;;;x
BM_LITHUANIA_FORMED;Lithuania Unites!;La Lituanie s'unifie;Litauen vereinigt sich!;;Lithuania Unida!;;;;;;;;;x
BM_LITHUANIA_FORMED_DESC;With the Teutonic Order occupying their historic lands in the West and the Golden Horde destroying the Rurikovich to the East, the myriad tribes of Lithuania have finally seen fit to unite under one king for their better protection, by necessity. Mindaugas I is a strong ruler, but his kingdom is not. Lacking many of his historic lands, those having been usurped by the Teutonic Order, and being only a few petty duchies away from a full border with the Golden Horde, his fitness will be tested in the coming days. Not only does Lithuania have a vassalage of mixed religions, some Romuva and some Catholic, Mindaugas's own children are divided in their worship even from his own faith, with his son and heir Vaisvilkas an Orthodox Christian and his second son Daumantas a Romuvan. To secure his lands and carve a future for the Lithuanian people, Mindaugas must calm the religious tension in his realm while seeking alliances to help him in recovering his people's ancestral land. For Lietuva!;With the Teutonic Order occupying their historic lands in the West and the Golden Horde destroying the Rurikovich to the East, the myriad tribes of Lithuania have finally seen fit to unite under one king for their better protection, by necessity. Mindaugas I is a strong ruler, but his kingdom is not. Lacking many of his historic lands, those having been usurped by the Teutonic Order, and being only a few petty duchies away from a full border with the Golden Horde, his fitness will be tested in the coming days. Not only does Lithuania have a vassalage of mixed religions, some Romuva and some Catholic, Mindaugas's own children are divided in their worship even from his own faith, with his son and heir Vaisvilkas an Orthodox Christian and his second son Daumantas a Romuvan. To secure his lands and carve a future for the Lithuanian people, Mindaugas must calm the religious tension in his realm while seeking alliances to help him in recovering his people's ancestral land. For Lietuva!;Nachdem der Deutsche Orden seine historischen Ländereien im Westen besetzt und die Goldene Horde das Rurikowitsch im Osten vernichtet hat, haben die unzähligen Stämme Litauens es endlich für nötig befunden, sich zu ihrem besseren Schutz unter einem König zu vereinen. Mindaugas I. ist ein starker Herrscher, aber sein Reich ist es nicht. Da ihm viele seiner historischen Ländereien fehlen, da diese vom Deutschen Orden usurpiert wurden, und er nur noch wenige kleine Herzogtümer von einer vollständigen Grenze zur Goldenen Horde entfernt ist, wird seine Leistungsfähigkeit in den kommenden Tagen auf die Probe gestellt werden. Nicht nur, dass Litauen ein Vasallentum gemischter Religionen hat, von denen einige romuvanisch und einige katholisch sind, auch Mindaugas' eigene Kinder sind in ihrem Glauben gespalten, denn sein Sohn und Erbe Vaisvilkas ist orthodoxer Christ und sein zweiter Sohn Daumantas Romuvaner. Um seine Ländereien zu sichern und eine Zukunft für das litauische Volk zu schaffen, muss Mindaugas die religiösen Spannungen in seinem Reich besänftigen und gleichzeitig Allianzen suchen, die ihm bei der Rückgewinnung des angestammten Landes seines Volkes helfen. Für Lietuva!;;Con la orden Teutónica ocupando sus tierras y la Horda de Oro destruyendo los Rurikovichs al Este, las tribus myriaidas de Lituania finalmente se han decidido unir bajo un rey por necesidad de protección. Mindaugas I es un rey fuerte, pero su reino no. Sin gran parte de sus tierras históricas, aquellas que fueron usurpadas por la Orden Teutónica, y siendo sólo un puñado de pequeños ducados fronterizos de la Horda de Oro, su capacidad será puesta a prueba en los días por venir. No solo Lituania posee vasallos de distintas religiones, sino que sus hijos también se encuentra divididos. Para asegurar sus tierras y dar un futuro a su pueblo, Mindaugas debe calmar la tensión religiosa en su reino mientras busca alianzas que le ayuden a recuperar las tierras ancestrales de su pueblo. For Lituania!;;;;;;;;;x
BM_MALI;Mali United;Le Mali unifié;Mali vereint;;Mali Unificado;;;;;;;;;x
BM_MALI_DESC;The lands that would come to be known as the Empire of Mali have been united under its first Mansa. What this means for the future, and for the safety of the Mauretanian Sultan's southern border, remains to be seen.;The lands that would come to be known as the Empire of Mali have been united under its first Mansa. What this means for the future, and for the safety of the Mauretanian Sultan's southern border, remains to be seen.;Die Länder, die später als das Kaiserreich Mali bekannt werden sollten, wurden unter seinem ersten Mansa vereint. Was dies für die Zukunft und für die Sicherheit der Südgrenze des mauretanischen Sultans bedeutet, bleibt abzuwarten.;;Las tierras que serán conocidas como El Imperio de Mali han sido unidas bajo su primer Mansa. Lo que esto significa para el futuro y la seguridad del Sultan de Mauritania, está por verse.;;;;;;;;;x
BM_MILLENIUM;A New Millenium;Un nouveaux Millénaire;Ein neues Jahrtausend;;Un Nuevo Milenio;;;;;;;;;x
BM_MILLENIUM_DESC;Christmas Day, 1000 AD. A period of religious upheaval, as pagan rulers adopt Christianity while struggling to control their subjects, many of whom refuse to abandon the old ways. Istvan I, the King of Hungary has been crowned by the Pope and adopted Christianity, but his people still worship the Sky Father of their steppe heritage. In Scandinavia, Christian kings must balance their new faith with the Norse paganism of the masses. Even Kuchug, Khan of the vast Pecheneg horde, has converted to Christianity. Meanwhile, the Muslim caliphs of Egypt and Spain have concentrated their holdings, but the Umayyad Caliph of Cordoba is threatened by his advisors, who seeks the throne for themselves.;;Weihnachtstag, 1000 nach Christus. Eine Zeit des religiösen Umbruchs, in der heidnische Herrscher das Christentum annehmen und gleichzeitig um die Kontrolle ihrer Untertanen kämpfen, von denen sich viele weigern, die alten Bräuche aufzugeben. Istvan I., der König von Ungarn, wurde vom Papst gekrönt und nahm das Christentum an, aber sein Volk verehrt immer noch den Himmelsvater seines Steppenerbes. In Skandinavien müssen die christlichen Könige ihren neuen Glauben mit dem nordischen Heidentum des Volkes in Einklang bringen. Selbst Kuchug, der Khan der riesigen Pecheneg-Horde, ist zum Christentum übergetreten. In der Zwischenzeit haben die muslimischen Kalifen von Ägypten und Spanien ihre Besitztümer konzentriert, doch der Umayyaden-Kalif von Cordoba wird von seinen Beratern bedroht, die den Thron für sich selbst beanspruchen.;;;;;;;;;;;x
BM_MONGOL_SPLIT;The Golden Horde and Ilkhanate;La Horde d'or et l'Ilkhanat;Die Goldene Horde und das Ilkhanat;;El Ilkhanato y la Horda de Oro;;;;;;;;;x
BM_MONGOL_SPLIT_DESC;Following the death of the great Khan Ghengis, his realm has split between his heirs. His grandson Batu rules in the north as the Golden Horde, while his youngest son Tolui rules in the south as the Ilkhanate. Although the division of these realms may well make the Mongol menace weaker on the offensive, their dynastic alliance will certainly make what lands they have already claimed nigh-impenetrable….;Following the death of the great Khan Ghengis, his realm has split between his heirs. His grandson Batu rules in the north as the Golden Horde, while his youngest son Tolui rules in the south as the Ilkhanate. Although the division of these realms may well make the Mongol menace weaker on the offensive, their dynastic alliance will certainly make what lands they have already claimed nigh-impenetrable….;Nach dem Tod des Großkhans Ghengis hat sich sein Reich unter seinen Erben aufgeteilt. Sein Enkel Batu regiert im Norden als die Goldene Horde, während sein jüngster Sohn Tolui im Süden als das Ilkhanat regiert. Obwohl die Aufteilung dieser Reiche die mongolische Bedrohung in der Offensive schwächen könnte, wird ihr dynastisches Bündnis die Länder, die sie bereits beansprucht haben, mit Sicherheit nahezu uneinnehmbar machen....;;Trás la muerte del gran Genghis Khan, su reino se dividió entre sus herederos. Su nieto, Batu, reina en el norte como la Horda de Oro, mientras que su hijo más joven, Tolui, reina en el sur como el Ilkhanato. Aunque las divisiones de dichos reinos hagan la amenaza Mongola más débil en la ofensiva, las alianzas dinásticas entre ellos hacen que sus tierras sean impenetrables para los extranjeros.;;;;;;;;;x
BM_NAPLES;The Sicilian Vespers;Les vêpres siciliennes;Die sizilianische Vesper;;Las Vísperas Sicilianas;;;;;;;;;x
