#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME_FemRule_100;My Daughter is my Heir;;Meine Tochter ist mein Erbe;;;;;;;;;;;x
EVTOPTB_FemRule_243;You...you can't friend zone a woman!;;Du... du kannst eine Frau nicht in eine Freundschaftszone drängen!;;;;;;;;;;;x
EVTDESC_FemRule_245;All good things have an end, and the grand tournament is over. You got to see the jousts, the melee, the archery contest and mingle with all the lords and their ladies.;;Alle guten Dinge haben ein Ende, und das große Turnier ist vorbei. Du konntest die Tjosten, das Handgemenge und den Bogenschießwettbewerb sehen und dich unter all die Herren und ihre Damen mischen.;;;;;;;;;;;x
EVTOPTA_FemRule_245;A jolly fun time was had by all.;;Alle hatten einen Riesenspaß.;;;;;;;;;;;x
EVTDESC_FemRule_246;Unfortunately, the tournament has been canceled;;Leider wurde das Turnier abgesagt.;;;;;;;;;;;x
EVTOPTA_FemRule_246;But I was having fun!;;Aber ich hatte viel Spaß!;;;;;;;;;;;x
EVTDESC_FemRule_300;Since you have no living sons by [Root.Spouse.GetTitledFirstName], her former titles have been returned to her upon your death and will instead pass to her heirs.;;Da Ihr keine lebenden Söhne von [Root.Spouse.GetTitledFirstName] habt, wurden ihre früheren Titel nach Eurem Tod an sie zurückgegeben und gehen stattdessen auf ihre Erben über.;;;;;;;;;;;x
EVTOPTA_FemRule_300;I suppose it is only right...;;Ich nehme an, das ist nur recht und billig...;;;;;;;;;;;x
EVTDESC_FemRule_301;Since you have no living sons by [From.GetTitledFirstName], on his death your former titles have been returned to you.;;Da Ihr keine lebenden Söhne von [From.GetTitledFirstName] habt, sind nach seinem Tod Eure früheren Titel an Euch zurückgegangen.;;;;;;;;;;;x
EVTOPTA_FemRule_301;I should hope so!;;Das will ich hoffen!;;;;;;;;;;;x
EVTDESC_FemRule_302;Since [From.GetTitledFirstName] has no living sons by [From.Spouse.GetTitledFirstName], on his death the titles that he had gained through the right of Jure Uxoris have now been returned to her and shall pass to her heirs instead.;;Da [From.GetTitledFirstName] keine lebenden Söhne von [From.Spouse.GetTitledFirstName] hat, sind nach seinem Tod die Titel, die er durch das Recht des Jure Uxoris erlangt hatte, nun an sie zurückgegeben worden und sollen stattdessen auf ihre Erben übergehen.;;;;;;;;;;;x
EVTOPTA_FemRule_302;Perhaps she will marry more carefully this time;;Vielleicht wird sie dieses Mal sorgfältiger heiraten.;;;;;;;;;;;x
EVTDESC_FemRule_303;Since you have no living sons by [Root.Spouse.GetTitledFirstName], by right the titles that he once stripped from you have been returned and will fall instead to your heir rather than his.;;Da Ihr keine lebenden Söhne von [Root.Spouse.GetTitledFirstName] habt, sind die Titel, die er Euch einst entrissen hat, von Rechts wegen zurückgegeben worden und werden stattdessen an Euren Erben fallen.;;;;;;;;;;;x
EVTOPTA_FemRule_303;Thank [Root.Religion.GetRandomGodName]!;;Danken Sie [Root.Religion.GetRandomGodName]!;;;;;;;;;;;x
EVTDESC_FemRule_304;Since you have no living sons by [From.GetTitledFirstName], the titles you once stripped from her by right of Jure Uxoris will instead fall to her heir rather than yours.;;Da Ihr keine lebenden Söhne von [From.GetTitledFirstName] habt, werden die Titel, die Ihr ihr einst durch das Recht von Jure Uxoris entrissen habt, stattdessen an ihren Erben fallen und nicht an Euren.;;;;;;;;;;;x
EVTDESC_FemRule_305;Since [From.GetTitledFirstName] has no living sons by [Spouse.GetTitledFirstName], the titles he stripped from her by right of Jure Uxoris fall to her heir rather than his.;;Da [From.GetTitledFirstName] keine lebenden Söhne von [Spouse.GetTitledFirstName] hat, fallen die Titel, die er ihr durch das Recht des Jure Uxoris entrissen hat, an ihren Erben und nicht an seinen.;;;;;;;;;;;x
EVTOPTA_FemRule_305;It seems only fair, doesn't it?;;Das scheint nur fair zu sein, nicht wahr?;;;;;;;;;;;x
EVTDESC_FemRule_310;The titles you stripped from [From.GetTitledFirstName] through the right of Jure Uxoris were yours only as part of her dowry. As a result of your divorce, those titles are thus legally returned to her.;;Die Titel, die Ihr [From.GetTitledFirstName] durch das Recht von Jure Uxoris entrissen habt, gehörten Euch nur als Teil ihrer Mitgift. Als Ergebnis Eurer Scheidung gehen diese Titel somit rechtmäßig an sie zurück.;;;;;;;;;;;x
EVTOPTA_FemRule_310;Damnable woman!;;Verfluchtes Weib!;;;;;;;;;;;x
EVTDESC_FemRule_311;As a result of the divorce between [From.GetTitledFirstName] and [FromFrom.GetTitledFirstName], she now legally regains the titles stripped from her by right of Jure Uxoris.;;Infolge der Scheidung zwischen  [From.GetTitledFirstName] und [FromFrom.GetTitledFirstName] erhält sie nun rechtlich die Titel zurück, die ihr durch das Recht des Jure Uxoris entzogen wurden.;;;;;;;;;;;x
EVTDESC_FemRule_312;My dear husband,\nPerhaps you thought I would not notice if you handed my titles off to someone else? Considering your claim to them is by right of our marriage, with the express intention that it would pass to a child of our union, anything else means they return to me. They are part of my dowry after all, yes?\n\nSigned,\n[From.GetFirstName];;Mein lieber Ehemann, vielleicht hast du gedacht, ich würde es nicht bemerken, wenn du meine Titel an jemand anderen weitergibst? Wenn man bedenkt, dass du sie aufgrund unserer Ehe beanspruchst, mit der ausdrücklichen Absicht, dass sie an ein Kind aus unserer Verbindung übergehen, bedeutet alles andere, dass sie an mich zurückfallen. Sie sind schließlich Teil meiner Mitgift, nicht wahr?\n\nGezeichnet,\n[From.GetFirstName];;;;;;;;;;;x
EVTDESC_FemRule_360;My overbearing husband, [From.GetFirstName], has been constantly interfering in the rulership of [Root.PrimaryTitle.GetName], and has of late grown beyond the merely opinionated. The garrison in [Root.Capital.GetName] has already begun to defer to his word before mine. Sadly, [Root.PrimaryTitle.GetName]'s laws support him, and he could usurp my rule if I am not careful. What shall I do? Who can I turn to?;;Mein überheblicher Ehemann, [From.GetFirstName], hat sich ständig in die Herrschaft von [Root.PrimaryTitle.GetName] eingemischt und ist in letzter Zeit über die bloße Rechthaberei hinausgewachsen. Die Garnison in [Root.Capital.GetName] hat bereits begonnen, sein Wort über das meine zu stellen. Leider unterstützen ihn die Gesetze von [Root.PrimaryTitle.GetName], und er könnte meine Herrschaft an sich reißen, wenn ich nicht vorsichtig bin. Was soll ich tun? An wen kann ich mich wenden?;;;;;;;;;;;x
EVTOPTA_FemRule_360;I will turn to my lover;;Ich werde mich an meinen Liebhaber wenden;;;;;;;;;;;x
EVTOPTB_FemRule_360;I will turn to my family;;Ich werde mich an meine Familie wenden;;;;;;;;;;;x
EVTOPTC_FemRule_360;One of my faithful councillors can help me;;Einer meiner treuen Räte kann mir helfen;;;;;;;;;;;x
EVTOPTD_FemRule_360;Perhaps my good friend?;;Vielleicht mein guter Freund?;;;;;;;;;;;x
EVTOPTE_FemRule_360;[From.GetFirstName] has enemies, does he not?;;[From.GetFirstName] hat Feinde, nicht wahr?;;;;;;;;;;;x
EVTOPTF_FemRule_360;There is nothing I can do, and no-one to turn to...;;Es gibt nichts, was ich tun kann, und niemanden, an den ich mich wenden kann...;;;;;;;;;;;x
EVTDESC_FemRule_361;My beloved [From.GetFirstName] informs me that her domineering husband, [FromFrom.GetTitledFirstName], is attempting to usurp her rights in [From.PrimaryTitle.GetName]. She does not know what to do, and has turned to me for help.;;Meine geliebte [From.GetFirstName] teilt mir mit, dass ihr herrschsüchtiger Ehemann, [FromFrom.GetTitledFirstName], versucht, ihre Rechte in [From.PrimaryTitle.GetName] an sich zu reißen. Sie weiß nicht, was sie tun soll, und hat sich mit der Bitte um Hilfe an mich gewandt.;;;;;;;;;;;x
EVTOPTA_FemRule_361;I will go to her at once;;Ich werde sofort zu ihr gehen.;;;;;;;;;;;x
EVTOPTB_FemRule_361;I shall deal with the cur myself!;;Ich werde mich selbst um den Köter kümmern!;;;;;;;;;;;x
EVTOPTC_FemRule_361;Alas, I cannot help her;;Ach, ich kann ihr nicht helfen;;;;;;;;;;;x
EVTDESC_FemRule_362;Oh no! My hot-headed lover has decided to take matters into his own hands! He intends to ambush [FromFromFrom.GetTitledFirstName] and kill him, no matter who sees it or the damage to our reputation! Alas, it is too late to send him a message...all I can do is wait and hope for the best.;;Oh nein! Mein hitzköpfiger Liebhaber hat beschlossen, die Sache selbst in die Hand zu nehmen! Er hat vor, [FromFromFrom.GetTitledFirstName] in einen Hinterhalt zu locken und ihn zu töten, ohne Rücksicht darauf, wer es sieht und ohne Rücksicht auf den Schaden für unseren Ruf! Leider ist es zu spät, ihm eine Nachricht zu schicken ... Ich kann nur warten und das Beste hoffen.;;;;;;;;;;;x
EVTOPTA_FemRule_362;What if something happens to him?;;Was ist, wenn ihm etwas zustößt?;;;;;;;;;;;x
EVTDESC_FemRule_363;You are out hunting with a few trusted companions, when - suddenly - the forest is filled with the lethal twanging of crossbows firing from hidden locations. You try to spur your horse to safety, but too late, a bolt slams into your ribcage and knocks you from the saddle. The last thing you see is [From.GetTitledFirstName] gazing down upon with grim satisfaction...;;Ihr seid mit ein paar vertrauten Gefährten auf der Jagd, als plötzlich das tödliche Klirren von Armbrüsten aus versteckten Winkeln den Wald erfüllt. Du versuchst, dein Pferd in Sicherheit zu bringen, aber zu spät, ein Bolzen schlägt in deinen Brustkorb und wirft dich aus dem Sattel. Das Letzte, was du siehst, ist [From.GetTitledFirstName], der mit grimmiger Zufriedenheit auf dich herabblickt...;;;;;;;;;;;x
EVTDESC_FemRule_364;You are out hunting with a few trusted companions, when - suddenly - the forest is filled with the lethal twanging of crossbows firing from hidden locations. Thankfully you avoid harm, and when [From.GetTitledFirstName] rushes out at you with sword drawn, you match his blows. After a brief fight, you wound him and he is forced to flee. A close call indeed.;;Ihr seid mit ein paar vertrauten Gefährten auf der Jagd, als plötzlich der Wald vom tödlichen Klirren der Armbrüste erfüllt ist, die aus versteckten Positionen abgefeuert werden. Glücklicherweise entgeht ihr einem Angriff, und als [From.GetTitledFirstName] mit gezücktem Schwert auf euch zustürmt, wehrt ihr seine Schläge ab. Nach einem kurzen Kampf verwundet Ihr ihn und er ist gezwungen zu fliehen. In der Tat eine knappe Sache.;;;;;;;;;;;x
EVTOPTA_FemRule_364;[FromFrom.GetFirstName]'s doing, no doubt...;;[From.GetFirstName] hat das getan, kein Zweifel...;;;;;;;;;;;x
EVTDESC_FemRule_365;You ambushed [From.GetTitledFirstName] while he was out riding with only a few trusted companions - all scythed down like wheat by hidden crossbowmen. You could not help but feel a grim satisfaction as you stood over the dying [From.GetFirstName] and watched him breathe his last, knowing he would never threaten your beloved [FromFromFrom.GetFirstName] again.;;Ihr habt [From.GetTitledFirstName] in einen Hinterhalt gelockt, als er nur mit ein paar vertrauten Gefährten ausritt - alle wurden von versteckten Armbrustschützen wie Weizen gemäht. Ihr konntet nicht anders, als eine grimmige Genugtuung zu empfinden, als Ihr über dem sterbenden [From.GetFirstName] standet und zusaht, wie er seinen letzten Atemzug tat, wissend, dass er Euren geliebten [FromFromFrom.GetFirstName] nie wieder bedrohen würde.;;;;;;;;;;;x
EVTOPTA_FemRule_365;Serves him right!;;Geschieht ihm recht!;;;;;;;;;;;x
EVTDESC_FemRule_366;It's over. [FromFrom.GetFirstName] ambushed and killed [From.GetTitledFirstName], just as he said he would. While the threat of usurpation is over, everyone knows what [FromFrom.GetFirstName] did...and they all believe that you were behind it.;;Es ist vorbei. [FromFrom.GetFirstName] hat [From.GetTitledFirstName] in einen Hinterhalt gelockt und getötet, genau wie er es versprochen hat. Die Gefahr der Usurpation ist zwar vorbei, aber jeder weiß, was [FromFrom.GetFirstName] getan hat ... und alle glauben, dass Ihr dahinter steckt.;;;;;;;;;;;x
EVTOPTA_FemRule_366;Oh, you foolish, foolish man...;;Oh, Ihr törichter, törichter Mann...;;;;;;;;;;;x
EVTDESC_FemRule_367;Everything did not go according to plan. [From.GetTitledFirstName] not only survived the ambush, he also bested you in a swordfight, injuring you in the process. You fled, cursing his name, and he set his men after you. Whatever happens, you will not tell him of [FromFromFrom.GetFirstName]'s involvement.;;Es ist nicht alles nach Plan verlaufen. [From.GetTitledFirstName] überlebte nicht nur den Hinterhalt, sondern besiegte Euch auch in einem Schwertkampf und verletzte Euch dabei. Ihr seid geflohen und habt seinen Namen verflucht, und er hat seine Männer auf Euch gehetzt. Was auch immer geschieht, Ihr werdet ihm nichts von [FromFromFrom.GetFirstName]'s Beteiligung erzählen.;;;;;;;;;;;x
EVTDESC_FemRule_368;[FromFrom.GetFirstName] ambushed [From.GetTitledFirstName], just as he said he would, but it was no use. [FromFrom.GetFirstName] was wounded and fled, and now [From.GetTitledFirstName] has the sympathy of your vassals as well as a strong suspicion regarding who was behind it all. You are left with no recourse.;;[FromFrom.GetFirstName] hat [From.GetTitledFirstName] in einen Hinterhalt gelockt, wie er es angekündigt hatte, aber es hat nichts genützt. [FromFrom.GetFirstName] wurde verwundet und floh, und jetzt hat [From.GetTitledFirstName] die Sympathie Eurer Vasallen sowie einen starken Verdacht, wer hinter all dem steckt. Ihr habt keine andere Wahl.;;;;;;;;;;;x
EVTDESC_FemRule_369;Your liege, [From.GetTitledFirstName], has approached you with an urgent problem: her boorish husband, [FromFrom.GetTitledFirstName] has begun to enforce his will in her domain. Indeed, the right of Jure Uxoris means he may very well usurp her titles out from under her unless something is quickly done.;;Eure Lehnsherrin, [From.GetTitledFirstName], hat sich mit einem dringenden Problem an Euch gewandt: Ihr rüpelhafter Ehemann, [From.GetTitledFirstName], hat begonnen, seinen Willen in ihrer Domäne durchzusetzen. Das Recht des Jure Uxoris bedeutet in der Tat, dass er ihr ihre Titel entreißen könnte, wenn nicht schnell etwas unternommen wird.;;;;;;;;;;;x
EVTOPTA_FemRule_369;I shall go to her at once;;Ich werde sofort zu ihr gehen.;;;;;;;;;;;x
EVTOPTB_FemRule_369;She is on her own in this matter;;Sie ist in dieser Angelegenheit auf sich allein gestellt.;;;;;;;;;;;x
EVTDESC_FemRule_370;My dear [GetFromRelation], [From.GetTitledFirstName], has sent me an urgent letter. It speaks of her boorish husband, [FromFrom.GetTitledFirstName], and how he is enforcing his will in her domain. Indeed, unless something is quickly done, he may very well usurp her titles through the right of Jure Uxoris.;;Meine liebe [GetFromRelation], [From.GetTitledFirstName], hat mir einen dringenden Brief geschickt. Darin geht es um ihren rüpelhaften Ehemann, [From.GetTitledFirstName], und wie er seinen Willen in ihrem Anwesen durchsetzt. Wenn nicht schnell etwas unternommen wird, könnte er tatsächlich ihre Titel durch das Recht des Jure Uxoris an sich reißen.;;;;;;;;;;;x
EVTOPTA_FemRule_370;I will go to [From.Capital.GetName] with a large retinue to protect her;;Ich werde mit einem großen Gefolge nach [From.Capital.GetName] reisen, um sie zu schützen.;;;;;;;;;;;x
EVTOPTB_FemRule_370;I will go to her personally;;Ich werde persönlich zu ihr gehen.;;;;;;;;;;;x
EVTOPTC_FemRule_370;She is on her own in this matter;;Sie ist in dieser Angelegenheit auf sich allein gestellt.;;;;;;;;;;;x
EVTDESC_FemRule_371;I received a letter from my friend, [From.GetTitledFirstName], with unfortunate news: her husband is preparing to usurp her domain, and the laws of [From.PrimaryTitle.GetName] appear to support him. She begs me for help, or all is lost.;;Ich habe einen Brief von meiner Freundin [From.GetTitledFirstName] erhalten, mit bedauerlichen Neuigkeiten: Ihr Ehemann bereitet sich darauf vor, ihre Herrschaft an sich zu reißen, und die Gesetze von [From.PrimaryTitle.GetName] scheinen ihn zu unterstützen. Sie bittet mich um Hilfe, sonst ist alles verloren.;;;;;;;;;;;x
EVTDESC_FemRule_372;Here's an interesting thing: [From.GetTitledName] has contacted me, saying that her husband is preparing to usurp her domain through the right of Jure Uxoris. Knowing of my long-standing rivalry with [FromFrom.GetTitledFirstName], she begs for my intervention to stop him.;;Jetzt kommt etwas Interessantes: [From.GetTitledName] hat mich kontaktiert und mir mitgeteilt, dass ihr Ehemann sich anschickt, ihre Domäne durch das Recht des Jure Uxoris an sich zu reißen. Da sie von meiner langjährigen Rivalität mit [From.GetTitledFirstName] weiß, bittet sie mich um mein Eingreifen, um ihn aufzuhalten.;;;;;;;;;;;x
EVTDESC_FemRule_373;You receive the worst news. Your [GetFromRelation], [From.GetTitledFirstName], writes to tell you that there is nothing [From.GetSheHe] can do to stop your husband. You are on your own.;;Ihr erhaltet die schlimmste Nachricht. Ihr [GetFromRelation], [From.GetTitledFirstName], schreibt Ihnen, dass es nichts gibt, was [From.GetSheHe] tun kann, um Ihren Mann aufzuhalten. Sie sind auf sich allein gestellt.;;;;;;;;;;;x
EVTOPTA_FemRule_373;I really thought [From.GetSheHe] might help...;;Ich dachte wirklich, [From.GetSheHe] könnte helfen...;;;;;;;;;;;x
EVTDESC_FemRule_374;Good news! Your [GetFromRelation], [From.GetTitledFirstName], not only came to [Root.Capital.GetName], [From.GetSheHe] brought a number of soldiers and advisors to help you. [From.GetSheHe] says [From.GetSheHe] cannot stay long, but these men should help keep [FromFromFrom.GetTitledFirstName] in line.;;Gute Nachrichten! Euer [GetFromRelation], [From.GetTitledFirstName], ist nicht nur nach [Root.Capital.GetName] gekommen, [From.GetSheHe] hat eine Reihe von Soldaten und Beratern mitgebracht, um Euch zu helfen. [From.GetSheHe] sagt, dass [From.GetSheHe] nicht lange bleiben kann, aber diese Männer sollen helfen, [FromFromFrom.GetTitledFirstName] bei der Stange zu halten.;;;;;;;;;;;x
EVTOPTA_FemRule_374;Oh, happy day!;;Oh, ein glücklicher Tag!;;;;;;;;;;;x
EVTDESC_FemRule_375;I only stayed in [From.Capital.GetName] for a little while. However, I left a behind a few advisors and hardened retainers to keep an eye on [From.Spouse.GetTitledFirstName] in my absence. My [GetFromRelation], [From.GetFirstName], said she feels much more secure and thanked me profusely. Hopefully this will be enough to prevent further trouble.;;Ich blieb nur für eine kurze Zeit in [From.Capital.GetName]. Ich habe jedoch einige Berater und hartgesottene Gefolgsleute zurückgelassen, die in meiner Abwesenheit ein Auge auf [From.Spouse.GetTitledFirstName] haben. Meine [GetFromRelation], [From.GetFirstName], sagte, sie fühle sich jetzt viel sicherer und dankte mir herzlich. Hoffentlich reicht das aus, um weiteren Ärger zu vermeiden.;;;;;;;;;;;x
EVTOPTA_FemRule_375;We shall see...;;Wir werden sehen...;;;;;;;;;;;x
EVTDESC_FemRule_376;An obstacle to my plans has arisen: [FromFrom.GetTitledName] recently visited [From.GetFirstName], leaving behind a group of faithful retainers and advisors—all more capable than [From.GetFirstName], and clearly instructed to stymy my efforts. Unless I deal with them, I will not be able to take [From.GetFirstName]'s titles.;;Ein Hindernis für meine Pläne ist aufgetaucht: [From.GetTitledName] hat kürzlich [From.GetFirstName] besucht und eine Gruppe treuer Gefolgsleute und Berater zurückgelassen, die alle fähiger sind als [From.GetFirstName] und eindeutig den Auftrag haben, meine Bemühungen zu vereiteln. Wenn ich mich nicht mit ihnen auseinandersetze, werde ich nicht in der Lage sein, die Titel von [From.GetFirstName] zu übernehmen.;;;;;;;;;;;x
EVTOPTA_FemRule_376;There is nothing I can do...;;Es gibt nichts, was ich tun kann...;;;;;;;;;;;x
EVTOPTB_FemRule_376;I will kill them all, if I must;;Ich werde sie alle töten, wenn ich muss.;;;;;;;;;;;x
EVTOPTC_FemRule_376;Clever subversion is called for;;Kluger Umsturz ist angesagt;;;;;;;;;;;x
EVTOPTD_FemRule_376;I will win them over with my charm;;Ich werde sie mit meinem Charme für mich gewinnen;;;;;;;;;;;x
EVTDESC_FemRule_377;It has been a week since [FromFromFrom.GetTitledFirstName]'s retainers came to [Root.Capital.GetName], and since then I have seen little of [From.GetFirstName]. He sulks, frustrated, but there is little he can do. It seems my rule is safe, at least for the moment.;;Es ist eine Woche her, seit [FromFromFrom.GetTitledFirstName]'s Gefolgsleute nach [Root.Capital.GetName] kamen, und seitdem habe ich wenig von [From.GetFirstName] gesehen. Er schmollt, ist frustriert, aber es gibt wenig, was er tun kann. Es scheint, dass meine Herrschaft sicher ist, zumindest für den Moment.;;;;;;;;;;;x
EVTOPTA_FemRule_377;This is a great relief;;Das ist eine große Erleichterung;;;;;;;;;;;x
EVTDESC_FemRule_378;You endured the swaggering and arrogance of your wife's new allies for a few days. Then, one day while they were out hunting, you tracked them down with a dozen of your most vicious hired swords. The fighting was murderously brutal, yet surprise was complete, and the victor was never in doubt. Now nothing can stop you.;;Sie haben die Angeberei und Arroganz der neuen Verbündeten Ihrer Frau ein paar Tage lang ertragen. Dann, eines Tages, als sie auf der Jagd waren, hast du sie mit einem Dutzend deiner bösartigsten angeheuerten Schwerter aufgespürt. Der Kampf war mörderisch brutal, doch die Überraschung war perfekt, und der Sieger stand nie in Frage. Jetzt kann dich nichts mehr aufhalten.;;;;;;;;;;;x
EVTDESC_FemRule_379;You endured the swaggering and arrogance of your wife's new allies for a few days. Then, one day while they were out hunting, you tracked them down with a dozen hired swords. Unfortunately, they had somehow learned of your intentions, and were ready and waiting. The fighting was murderous, but never truly in doubt. Thankfully, you escaped with your life. Another attempt will not be possible.;;Du hast die Angeberei und Arroganz der neuen Verbündeten deiner Frau ein paar Tage lang ertragen. Dann, eines Tages, als sie auf der Jagd waren, hast du sie mit einem Dutzend angeheuerter Schwerter aufgespürt. Unglücklicherweise hatten sie irgendwie von deinen Absichten erfahren und waren bereit. Die Kämpfe waren mörderisch, aber nie wirklich aussichtslos. Zum Glück bist du mit dem Leben davongekommen. Ein weiterer Versuch wird nicht möglich sein.;;;;;;;;;;;x
EVTDESC_FemRule_380;Your wife's new allies have no true loyalty to her, that much is obvious. Clever as they are, they are still subject to the weaknesses of most men. A few bribes, some well-timed blackmail, and some subtle threats from your hirelings is all it takes to make them bend to your will. Now there is nothing to stop you.;;Die neuen Verbündeten Eurer Frau sind ihr gegenüber nicht wirklich loyal, so viel ist klar. So schlau sie auch sind, so unterliegen sie doch den Schwächen der meisten Männer. Ein paar Bestechungsgelder, eine gut getimte Erpressung und ein paar subtile Drohungen Eurer Handlanger genügen, um sie dazu zu bringen, sich Eurem Willen zu beugen. Jetzt gibt es nichts mehr, was Sie aufhalten könnte.;;;;;;;;;;;x
EVTDESC_FemRule_381;Try as you might, you just can't seem to find a weakness among your wife's new allies. The few you can bribe are quickly dismissed, and the others catch onto your scheme far faster than you would like. Before long, any interaction with you becomes hostile. There will be no getting around them, now. Your plan is done.;;So sehr Sie sich auch anstrengen, Sie können bei den neuen Verbündeten Ihrer Frau einfach keine Schwachstelle finden. Die wenigen, die Sie bestechen können, werden schnell entlassen, und die anderen durchschauen Ihren Plan viel schneller, als Ihnen lieb ist. Es dauert nicht lange, bis jede Interaktion mit Ihnen feindselig wird. Jetzt gibt es keinen Weg mehr, sie zu umgehen. Ihr Plan ist gescheitert.;;;;;;;;;;;x
EVTDESC_FemRule_382;Although your wife's new allies were initially suspicious towards you, your charm and chivalrous nature won them over. Before long, you were laughing and drinking with them in the [FromFrom.Capital.GetName] brothel, and they were openly questioning the purpose of their mission. Perhaps [FromFrom.GetTitledFirstName] would be better off with you in charge? Now there is nothing to stop you.;;Obwohl die neuen Verbündeten Ihrer Frau Ihnen gegenüber zunächst misstrauisch waren, haben Ihr Charme und Ihre ritterliche Art sie für sich gewonnen. Schon bald lachten und tranken Sie mit ihnen im [FromFrom.Capital.GetName]-Bordell, und sie stellten den Zweck ihrer Mission offen in Frage. Vielleicht wäre [FromFrom.GetTitledFirstName] mit Euch als Anführer besser dran? Jetzt kann Sie nichts mehr aufhalten.;;;;;;;;;;;x
EVTDESC_FemRule_383;You were determined to show [FromFromFrom.GetTitledFirstName]'s retainers that you were a superior ruler, in whose hands your wife's dominions would truly be best served. Unfortunately, what you assumed to be a lordly bearing came across to them as laughably arrogant. Soon, they were sniggering behind your back and swaggering about in ridiculing imitation. Your plan is done.;;Ihr wart entschlossen, den Gefolgsleuten von [FromFrom.GetTitledFirstName] zu zeigen, dass Ihr ein überlegener Herrscher seid, in dessen Händen die Herrschaft Eurer Frau wirklich am besten aufgehoben wäre. Leider kam das, was Ihr für ein herrschaftliches Auftreten haltet, bei ihnen als lächerlich arrogant an. Schon bald kicherten sie hinter deinem Rücken und stolzierten in spöttischer Nachahmung herum. Ihr Plan ist aufgegangen.;;;;;;;;;;;x
EVTDESC_FemRule_384;I don't know how he did it, but somehow [From.GetFirstName] has managed to circumvent the new retainers. They are nowhere to be seen, and he is swaggering around my castle in [Root.Capital.GetName] as if he already owns it. Perhaps I should resign myself to the fact that he does.;;Ich weiß nicht, wie er es angestellt hat, aber irgendwie hat es [From.GetFirstName] geschafft, die neuen Gefolgsleute zu umgehen. Sie sind nirgends zu sehen, und er stolziert in [Root.Capital.GetName] durch mein Schloss, als ob es ihm bereits gehören würde. Vielleicht sollte ich mich mit der Tatsache abfinden, dass er sie besitzt.;;;;;;;;;;;x
EVTOPTA_FemRule_384;That sneaky bastard!;;Dieser hinterhältige Bastard!;;;;;;;;;;;x
EVTDESC_FemRule_385;[From.GetTitledFirstName] responded to your letter quickly, arriving at [Root.Capital.GetName] alone and listening intently to your tale of woe. [From.GetSheHeCap] frowned at your mention of [FromFromFrom.GetTitledFirstName]'s behavior, and came up with a plan to...;;[From.GetTitledFirstName] reagierte schnell auf Euren Brief, traf allein bei [Root.Capital.GetName] ein und hörte sich aufmerksam Eure Leidensgeschichte an. [From.GetSheHeCap] runzelte die Stirn bei Eurer Erwähnung des Verhaltens von [FromFromFrom.GetTitledFirstName] und schmiedete einen Plan, um...;;;;;;;;;;;x
EVTOPTA_FemRule_385;...find and intimidate anyone supporting him;;...jeden zu finden und einzuschüchtern, der ihn unterstützt;;;;;;;;;;;x
EVTOPTB_FemRule_385;...use bribery to eliminate his supporters;;...seine Unterstützer durch Bestechung zu eliminieren;;;;;;;;;;;x
EVTOPTC_FemRule_385;...drum up popular support among your vassals;;...die Unterstützung der Bevölkerung unter Euren Vasallen zu gewinnen;;;;;;;;;;;x
EVTDESC_FemRule_386;[FromFrom.GetTitledFirstName] recently visited [From.GetFirstName], and [FromFrom.GetSheHe] is clearly the one responsible for the campaign of intimidation that is making your supporters drop like flies. [From.GetFirstName] would never have the gumption to do this. Regardless, the tactic is successful...and very soon your plans are in tatters.;;[From.GetTitledFirstName] hat kürzlich [From.GetFirstName] besucht, und [From.GetSheHe] ist eindeutig derjenige, der für die Einschüchterungskampagne verantwortlich ist, die Ihre Unterstützer wie die Fliegen fallen lässt. [From.GetFirstName] hätte nie den Mumm, so etwas zu tun. Wie dem auch sei, die Taktik ist erfolgreich ... und schon bald liegen Ihre Pläne in Trümmern.;;;;;;;;;;;x
EVTDESC_FemRule_387;[FromFrom.GetTitledFirstName] recently visited [From.GetFirstName], and [FromFrom.GetSheHe] is clearly the one responsible for the campaign of intimidation against your supporters. As clever as the tactic might be, it's not enough. The outrage actually gains you MORE supporters, and before long they have to abandon their plan completely.;;[From.GetTitledFirstName] hat kürzlich [From.GetFirstName] besucht, und [From.GetSheHe] ist eindeutig derjenige, der für die Einschüchterungskampagne gegen Ihre Unterstützer verantwortlich ist. So clever diese Taktik auch sein mag, sie ist nicht genug. Durch die Empörung gewinnen Sie tatsächlich MEHR Anhänger, und schon bald müssen sie ihren Plan ganz aufgeben.;;;;;;;;;;;x
EVTDESC_FemRule_388;[FromFrom.GetTitledFirstName] recently visited [From.GetFirstName], and not long after your supporters began to waver. Too late you learn that [FromFrom.GetTitledFirstName] is bribing and blackmailing many of them, causing others to run for the hills. You try to salvage the situation, but it's no use. [From.GetFirstName] has won.;;[FromFrom.GetTitledFirstName] besuchte kürzlich [From.GetFirstName], und nicht lange danach begannen Ihre Unterstützer zu wanken. Zu spät erfahren Sie, dass [FromFrom.GetTitledFirstName] viele von ihnen besticht und erpresst, was andere dazu veranlasst, die Flucht zu ergreifen. Sie versuchen, die Situation zu retten, aber es ist sinnlos. [From.GetFirstName] hat gewonnen.;;;;;;;;;;;x
