#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
## Landed titles
c_faereyar_adj;Faroese;Féroé;Färöer;;Feroés;x
bon_pagan_DESC;Gnyan'po Cho'ga, or 'Sacred Rites', are the Tibetan pre-Buddhist shamanist beliefs. Tibetan shamanism believes in a three-levelled cosmos. The top level, home of benevolent gods, the middle level that is home to the sibda or 'lords of the soil' as well as the spirits of the dead and mortals and finally the lower level, the home of the snake gods.\nSymbolically a ladder or rope connects the middle and top levels of this cosmos together. The kings of these realms were considered divine and when their mortal body would die a complex burial ritual was completed to allow their soul to ascend the upper levels via this rope.\nOver time many of the traditions of this pagan belief system would become incorporated into the Tibetan variant of Buddhism, Bön.;;Gnyan'po Cho'ga, oder "Heilige Riten", sind der tibetische vorbuddhistische schamanistische Glaube. Der tibetische Schamanismus glaubt an einen dreistufigen Kosmos. Die oberste Ebene ist die Heimat der wohlwollenden Götter, die mittlere Ebene beherbergt die Sibda oder 'Herren des Bodens' sowie die Geister der Toten und der Sterblichen und schließlich die untere Ebene, die Heimat der Schlangengötter.\nSymbolisch verbindet eine Leiter oder ein Seil die mittlere und die oberste Ebene dieses Kosmos miteinander. Die Könige dieser Reiche galten als göttlich, und wenn ihr sterblicher Körper starb, wurde ein komplexes Bestattungsritual durchgeführt, damit ihre Seele über dieses Seil in die oberen Ebenen aufsteigen konnte.\nMit der Zeit wurden viele der Traditionen dieses heidnischen Glaubenssystems in die tibetische Variante des Buddhismus, den Bön, übernommen.;;;x
bon_pagan_FEATURES;§Y*§! Rulers may select a lesser deity to honor\n§Y*§! Inferior at conversion\n;;§Y*§! Herrscher können eine niedere Gottheit zu Ehren wählen\n§Y*§! Unterlegene bei Bekehrung\n;;;x
bon_pagan_reformed;Bön;;;;;x
bon_pagan_reformed_DESC;Bön is the Tibetan religion that arose from the amalgamation of ancient Tibetan beliefs and Indian Buddhism that had been sponsored in the 7th century in Tibet. While very similar in many ways to Buddhism this complex history allowed it to retain many of its ancient shamanistic beliefs and traditions that make it distinct to Indian Buddhism.;;Bön ist die tibetische Religion, die aus der Verschmelzung alter tibetischer Glaubensvorstellungen mit dem indischen Buddhismus entstanden ist, der im 7. Obwohl sie dem Buddhismus in vielerlei Hinsicht sehr ähnlich ist, konnte sie aufgrund ihrer komplexen Geschichte viele ihrer alten schamanistischen Glaubensvorstellungen und Traditionen beibehalten, die sie vom indischen Buddhismus unterscheiden.;;;x
finnish_pagan;Finnic;Finnois;Finnisch;;Finico;x
finnish_pagan_reformed;Suomenusko;;Suomenuskisch;;;x
baltic_pagan;Baltic;Balte;Baltisch;;;x
baltic_pagan_reformed;Romuva;;Romuvanisch;;;x
baltic_pagan_DESC;Baltic paganism is polytheistic, with a pantheon of gods led by Dievas, god of the sky. Other main gods include Perkunas, god of thunder and lightning, very similar to the Germanic god Thor and the Slavic Perun. Other important deities include Saule, goddess of the sun and fertility, Daugava and Meness.;Le paganisme baltique est polythéiste. Dievas, dieu du ciel, domine le panthéon des dieux. Un autre des principaux dieux est Perkunas, dieu du tonnerre et de l'éclair, très similaire au dieu germanique Thor ou au dieu slave Péroun. D'autres déités importantes sont Saule, déesse du soleil et de la fertilité Daugava et Meness.;Das baltische Heidentum ist polytheistisch, mit einem Pantheon von Göttern, angeführt von Dievas, dem Gott des Himmels. Weitere Hauptgötter sind Perkunas, der Gott des Donners und des Blitzes, der dem germanischen Gott Thor und dem slawischen Perun sehr ähnlich ist. Weitere wichtige Gottheiten sind Saule, die Göttin der Sonne und der Fruchtbarkeit, Daugava und Meness.;;El paganismo Báltico es politeísta, con un panteón de dioses encabezados por Dievas, dios del cielo. Otros dioses importantes son Perkunas, dios del trueno y del relámpago, muy similar al dios germánico Thor y al eslavo Perún. Otras deidades importantes son Saule, diosa del sol y la fertilidad, Daugava y Meness.;x
baltic_pagan_reformed_DESC;The reformed Baltic faith has a Holy Book with a creation myth, chapters on the gods and a book of prophesies. The church also has a standardized liturgy and a formal church hierarchy led by the High Priest of Dievas, who can be vassalized by secular rulers.;La foi baltique réformée possède un livre sacré qui comprend un mythe sur la création, des chapitres sur les dieux et un livre des prophéties. Son église comporte une liturgie standardisée et une hiérarchie religieuse symbolique avec sa tête le Grand prêtre de Dievas, qui peut être vassalisé par des chefs séculiers.;Der reformierte baltische Glaube verfügt über ein Heiliges Buch mit einem Schöpfungsmythos, Kapiteln über die Götter und einem Buch der Prophezeiungen. Die Kirche verfügt außerdem über eine standardisierte Liturgie und eine formelle Kirchenhierarchie unter der Leitung des Hohepriesters von Dievas, der von weltlichen Herrschern vasalliert werden kann.;;La reformada fe Báltica tiene un Libro Sagrado con un mito de la creación, capítulos sobre los dioses y un libro de profecú}s. La iglesia también tiene una liturgia estandarizada y una jerarquú} formal dirigida por el Sumo Sacerdote de Dievas, que puede ser vasallizado por gobernantes seculares.;x
hellenic_pagan;Hellenic;Hellénique;Hellenisch;;Helénico;x
hellenic_pagan_DESC;The Hellenic religion is polytheistic, with a pantheon of twelve major gods including Zeus, Ares, Hermes, Aphrodite, Athena and Hera. It originated in ancient Greece and with the conquests of Alexander the Great and the Roman Empire, it would go on to become the dominant religion in the Mediterranean world until the rise of Christendom.;;Die hellenische Religion ist polytheistisch, mit einem Pantheon von zwölf Hauptgöttern, darunter Zeus, Ares, Hermes, Aphrodite, Athene und Hera. Sie entstand im antiken Griechenland und wurde mit den Eroberungen Alexanders des Großen und des Römischen Reiches zur vorherrschenden Religion in der mediterranen Welt bis zur Entstehung des Christentums.;;;x
norse_pagan;Nordic;Nordique;Nordisch;Nórdico;;x
norse_pagan_reformed;Forn Siðr;;;;;x
norse_pagan_reformed_DESC;The reformed Norse Pagan faith has a Holy Book written in runes with chapters on Creation, the gods, Ragnarok, and secret spells - 'galdrs'. The church has a standardized liturgy and a formal church hierarchy led by the Fylkir, who - much like an Islamic Caliph - is both a secular ruler and the religious leader of the faithful.;La foi du paganisme nordique réformée a un livre sacré écrit en runes, incluant des chapitres sur la Création, les dieux, le Ragnarök, et les incantations secrètes ('galdrs'). L'église possède une liturgie standardisée et une hiérarchie symbolique dirigée par le 'Fylkir' qui, un peu comme le calife islamique, est la fois dirigeant laïc et chef spirituel.;"Das reformierte nordische Heidentum hat ein in Runen geschriebenes Heiliges Buch mit Kapiteln über die Schöpfung, die Götter, Ragnarök und geheime Zaubersprüche - "galdrs". Die Kirche hat eine standardisierte Liturgie und eine formale Kirchenhierarchie, die vom Fylkir angeführt wird, der - ähnlich wie ein islamischer Kalif - sowohl ein weltlicher Herrscher als auch das religiöse Oberhaupt der Gläubigen ist.;;La reformada fe Pagana Nórdica tiene un Libro Sagrado escrito en runas con capítulos dedicados a la Creación, los dioses, Ragnarok, y los hechizos secretos, §Ygaldrs§!. La iglesia tiene una liturgia estandarizada y una jerarquía formal dirigida por el Fylkir, que, al igual que un Califa Islámico, es a la vez un gobernante secular y el líder religioso de los fieles.;x
slavic_pagan_reformed;Rodnovery;;;;;x
west_african_pagan;Sahelian;Sahélien;Sahelisch;;Saheliano;x
west_african_pagan_DESC;Sahelian religion is a blanket term for the diverse pagan beliefs of the people of Sahelian Africa. Ancestor worship, animism and totemistic shamanism dominate, but there are also various pantheons of gods.;La religion sahélienne est un terme qui recouvre les diverses croyances païennes des tribus de l'Afrique Occidentale sub-saharienne. Le culte des ancestres, l'animisme et le chamanisme totémique y dominent, mais on y trouve aussi divers panthéons.;Sahel-Religion ist ein Sammelbegriff für die vielfältigen heidnischen Glaubensvorstellungen der Menschen im sahelischen Afrika. Ahnenkult, Animismus und totemistischer Schamanismus dominieren, aber es gibt auch verschiedene Götterpantheons.;;La Religión Africana Occidental es un término general para las diversas creencias paganas de las tribus de África Subsahariana Occidental. El culto a los antepasados, el animismo y el chamanismo totémico dominan, pero también diversos panteones de dioses.;x
west_african_pagan_reformed;Reformed Sahelian;Sahélien réformé;Reformierte Sahelzone;;Saheliano Reformado;x
west_african_pagan_reformed_DESC;The reformed Sahelian religion is a fusion of many popular beliefs, with a single Holy Book including a creation myth, chapters on the spirits, totem animal fables and gods. The church also has a standardized liturgy and a formal church hierarchy led by a High Priest (or Priestess), who can be vassalized by secular rulers.;La religion sahélienne réformée est une fusion de plusieurs croyances, dotée d'un livre saint unique qui comprend un mythe sur la création, des chapitres sur les esprits, des fables sur les animaulx totems et les dieulx. L'église possède aussi une liturgie standardisée et une hiérarchie ecclésiastique symbolique avec sa teste un grand prestre (ou une grande prestresse), qui peut estre vassalisé(e) par des dirigeants laïcs.;Die reformierte sahelische Religion ist eine Verschmelzung vieler volkstümlicher Glaubensrichtungen mit einem einzigen Heiligen Buch, das einen Schöpfungsmythos, Kapitel über die Geister, Totemtierfabeln und Götter enthält. Die Kirche hat auch eine standardisierte Liturgie und eine formale Kirchenhierarchie, die von einem Hohepriester (oder einer Priesterin) geleitet wird, der von weltlichen Herrschern vasallisiert werden kann.;;La reformada religión Africana Occidental es una fusión de muchas creencias populares, con un único Libro Sagrado con un mito de la creación, capítulos sobre los espíritus, fábulas de animales totémicos y dioses. La iglesia también tiene una liturgia estandarizada y una jerarquía formal dirigida por un Sumo Sacerdote (o Sacerdotisa), que puede ser vasallizado por gobernantes seculares.;x
cathar_DESC;The Cathar, or Albigensian, heresy rejects confession and the holiness of the clergy and of the Pope. They only have a single sacrament - the Consolamentum - to remove sin and turn the believer into a Cathar 'Perfect'.;;Die katharische oder albigensische Häresie lehnt die Beichte und die Heiligkeit des Klerus und des Papstes ab. Sie haben nur ein einziges Sakrament - das Consolamentum - um die Sünde zu beseitigen und den Gläubigen in einen "perfekten" Katharer zu verwandeln.;;;x
cathar_FEATURES;§Y*§! The Consolamentum decision, granting Perfecti status\n§Y*§! Cathars can not choose the Family, Hunting, or Seduction Focus \n§Y*§! Cathars can not hold grant hunts \n§Y*§! Celibate Cathars and Perfectum can adopt children \n§Y*§! Cathars cannot declare a Holy War until any Cathar ruler is first attacked by a Catholic via Holy War or Crusade \n§Y*§! Cathars can create a Papacy;;§Y*§! Die Consolamentum-Entscheidung, die den Perfecti-Status verleiht\n§Y*§! Katharer können nicht die Schwerpunkte Familie, Jagd oder Verführung wählen \n§Y*§! Katharer können keine Jagdgewährung durchführen \n§Y*§! Zölibatäre Katharer und Perfectum können Kinder adoptieren \n§Y*§! Katharer können keinen Heiligen Krieg erklären, bis ein Katharerherrscher von einem Katholiken im Heiligen Krieg oder Kreuzzug angegriffen wird \n§Y*§! Katharer können ein Papsttum errichten;;;x
fraticelli_DESC;The Fraticelli, or 'Little Brethren', is a Catholic heresy that originated in the Fransiscan Order of monks. It is devoted to poverty and asceticism - especially for men of the cloth. Fraticelli heretics are violently opposed to Church wealth and displays of opulence. Features:\n§Y*§! A special law determining the role of the Fraticelli priesthood;;Die Fraticelli oder "Kleinen Brüder" sind eine katholische Häresie, die ihren Ursprung im Orden der Fransiskaner-Mönche hat. Sie ist der Armut und der Askese gewidmet - insbesondere für Männer der Geistlichkeit. Die Fraticelli-Häretiker lehnen den Reichtum der Kirche und die Zurschaustellung von Opulenz vehement ab. Merkmale:\n§Y*§! Ein besonderes Gesetz, das die Rolle der Fraticelli-Priesterschaft bestimmt;;;x
iconoclast_DESC;The Iconoclast heresy plagued the Byzantine Empire in multiple waves. Iconoclasts believe that religious images - icons and depictions of holy figures in particular - are a form of idolatry and must not be allowed. In their heyday, iconoclasts destroyed innumerable such decorations and icons, sometimes even urged on by Iconoclast Emperors.;;Die Ketzerei der Ikonoklasten hat das Byzantinische Reich in mehreren Wellen heimgesucht. Ikonoklasten sind der Meinung, dass religiöse Bilder - insbesondere Ikonen und Darstellungen von Heiligenfiguren - eine Form des Götzendienstes sind und nicht erlaubt werden dürfen. In ihrer Blütezeit zerstörten die Ikonoklasten unzählige solcher Dekorationen und Ikonen, manchmal sogar auf Drängen der Ikonoklasten-Kaiser.;;;x
iconoclast_FEATURES;§Y*§! Can create the Iconoclast Patriarch if Constantinople is controlled\n§Y*§! Iconoclasts can destroy icons after sieging temples;;§Y*§! Kann den Ikonoklasten-Patriarchen erschaffen, wenn Konstantinopel kontrolliert wird\n§Y*§! Ikonoklasten können nach der Belagerung von Tempeln Ikonen zerstören;;;x
kharijite_DESC;The Kharijites are a branch of Islam that was marginalized and repressed early in the 7th century. They believe that any unrepentant sinner is a Kafir, and also reject the notion that the Caliphs are infallible.;;Die Kharijiten sind ein Zweig des Islam, der im frühen 7. Jahrhundert an den Rand gedrängt und unterdrückt wurde. Sie glauben, dass jeder reuelose Sünder ein Kafir ist, und lehnen auch die Vorstellung ab, dass die Kalifen unfehlbar sind.;;;x
kharijite_FEATURES;§Y*§! Kharijites have no 5-year cooldown on holy wars (it always costs 100 Piety)\n§Y*§! Sinful Kharijites can be declared Kafir, and must purge themselves of sin before they can clear their name\n§Y*§! Kharijites can expend piety to raise an army of zealots\n§Y*§! Kharijites can publicly execute non-Kharijite (or kafir) prisoners for prestige and piety;;§Y*§! Kharijiten haben keine 5-jährige Abklingzeit für heilige Kriege (es kostet immer 100 Frömmigkeit)\n§Y*§! Sündige Kharijiten können zum Kafir erklärt werden und müssen sich von der Sünde reinigen, bevor sie ihren Namen reinwaschen können\n§Y*§! Kharijiten können Frömmigkeit aufwenden, um eine Armee von Eiferern aufzustellen\n§Y*§! Kharijiten können Gefangene, die keine Kharijiten (oder Kafiren) sind, aus Prestige- und Frömmigkeitsgründen öffentlich hinrichten;;;x
lollard_DESC;Lollard heretics are opposed to corruption within the Catholic Church. Like many Catholic heresies, they loathe the wealth and ostentation of the clergy and advocate a return to a more original form of Christianity, one without the dedication to idols and earthly power amongst the clergy. This heresy has no formal head.;;Lollardische Ketzer sind gegen die Korruption innerhalb der katholischen Kirche. Wie viele andere katholische Ketzer verabscheuen sie den Reichtum und den Prunk des Klerus und treten für eine Rückkehr zu einer ursprünglicheren Form des Christentums ein, die ohne die Götzenverehrung und die irdische Macht des Klerus auskommt. Diese Häresie hat kein formelles Oberhaupt.;;;x
lollard_FEATURES;§Y*§! Lollard rulers may make anyone their Lord Spiritual \n§Y*§! Lollards can gain the Icon-Breaker trait by sacking Christian temples \n§Y*§! High-tier Lollard rulers who either take the scholarship or theology focus can translate the Bible into the vernacular \n§Y*§! May freely revoke vows of celibacy \n§Y*§! All titles may be revoked from non-Lollard or wicked bishops \n§Y*§! May gain a strong claim to Lollard bishop titles of Duke tier or higher;;§Y*§! Lollardische Herrscher können jeden zu ihrem geistlichen Herrn machen \n§Y*§! Lollards können die Eigenschaft "Ikonenbrecher" erlangen, indem sie christliche Tempel plündern \n§Y*§! Hochrangige Lollard-Herrscher, die entweder den Schwerpunkt Gelehrsamkeit oder Theologie wählen, können die Bibel in die Volkssprache übersetzen \n§Y*§! Kann das Zölibatsgelübde frei widerrufen \n§Y*§! Kann nicht-lollardischen oder gottlosen Bischöfen alle Titel entziehen \n§Y*§! Kann einen starken Anspruch auf lollardische Bischofstitel der Stufe Herzog oder höher erheben;;;x
waldensian_DESC;Originally a reform movement within the Catholic church, Waldensian heretics are anti-clerical and advocate a return to vows of poverty. They are opposed to capital punishment and believe that laymen can also administer the sacraments, and thus have no religious head.;;Ursprünglich eine Reformbewegung innerhalb der katholischen Kirche, sind die Waldenser-Ketzer antiklerikal und befürworten eine Rückkehr zu den Armutsgelübden. Sie lehnen die Todesstrafe ab und glauben, dass auch Laien die Sakramente spenden können und somit kein religiöses Oberhaupt haben.;;;x
waldensian_FEATURES;§Y*§! A Stewardship and garrison bonus \n§Y*§! Historical Spread Events and new Holy Sites\n§Y*§! Donations to the poor are enforced via special laws \n§Y*§! The ability to choose a Waldensian path upon adulthood \n§Y*§! Waldensian priests can both marry and inherit\n§Y*§! Waldensian priests may not be Chancellors or Lord Treasurers \n§Y*§! Waldensians refuse to go on pilgrimage, and can sack Catholic Pilgrimage sites;;§Y*§! Ein Verwaltungs- und Garnisonsbonus \n§Y*§! Historische Ausbreitungsereignisse und neue Heilige Stätten\n§Y*§! Spenden an die Armen werden durch besondere Gesetze erzwungen \n§Y*§! Die Möglichkeit, im Erwachsenenalter einen waldensischen Weg zu wählen \n§Y*§! Waldenserpriester können sowohl heiraten als auch erben \n§Y*§! Waldenserpriester dürfen nicht Kanzler oder Schatzmeister sein \n§Y*§! Waldenser weigern sich, auf Pilgerfahrt zu gehen, und können katholische Pilgerstätten plündern;;;x
miaphysite;Coptic;Copte;Koptisch;;Copto;x
miaphysite_DESC;Copts are Miaphysite, stressing that Christ had but a single nature, but of both human and divine character. This stance split them off from the main branch of Christianity after the council of Chalcedon in 451. Though not viewed as outright heretics by Orthodox and Catholic Christians, it is a fine distinction. The nominal head of the Coptic Church is the Pope of Alexandria.;;Die Kopten sind Miaphysiten und betonen, dass Christus nur ein einziges Wesen hatte, aber sowohl menschlichen als auch göttlichen Charakter. Diese Haltung spaltete sie nach dem Konzil von Chalcedon im Jahr 451 vom Hauptzweig des Christentums ab. Obwohl sie von orthodoxen und katholischen Christen nicht als Ketzer angesehen werden, ist dies eine feine Unterscheidung. Das nominelle Oberhaupt der koptischen Kirche ist der Papst von Alexandrien.;;;x
miaphysite_FEATURES;\n§Y*§! Copts only recognize the three Petrine Sees\n§Y*§! Copts may opt to become Desert Fathers and Desert Mothers instead of monks and nuns\n§Y*§! Copts may choose between the Alexandrite and Antiochian schools of theology;;§Y*§! Kopten erkennen nur die drei Petrusämter an. Kopten können sich dafür entscheiden, Wüstenväter und Wüstenmütter statt Mönche und Nonnen zu werden\n§Y*§! Kopten können zwischen der alexandritischen und der antiochenischen Schule der Theologie wählen;;;x
monophysite_DESC;Monophysitism is an early Christian heresy which states that Christ had but a single nature. This is the opposite of the Nestorian position where Christ has two separate natures - one divine and one human. The nominal head of the Monophysite Church is the Monophysite Pope of Alexandria.;;Der Monophysitismus ist eine frühchristliche Irrlehre, die besagt, dass Christus nur eine einzige Natur hatte. Dies ist das Gegenteil der nestorianischen Position, nach der Christus zwei getrennte Naturen hat - eine göttliche und eine menschliche. Das nominelle Oberhaupt der monophysitischen Kirche ist der monophysitische Papst von Alexandrien.;;;x
monophysite_FEATURES;§Y*§! Monophysites only recognize the three Petrine Sees\n§Y*§! Monophysites may opt to become Desert Fathers and Desert Mothers instead of monks and nuns\n§Y*§! Monophysites may choose between the Alexandrite and Antiochian schools of theology;;§Y*§! Monophysiten erkennen nur die drei Petrusämter an\n§Y*§! Monophysiten können sich dafür entscheiden, Wüstenväter und Wüstenmütter statt Mönche und Nonnen zu werden\n§Y*§! Monophysiten können zwischen der alexandritischen und der antiochenischen Schule der Theologie wählen;;;x
paulician_DESC;Paulicianism is Christian Gnostic heresy influenced by Manichaeism, originating in Armenia, and known for its militarist attitude and emphasis on only accepting the New Testament as legitimate.;;Der Paulizianismus ist eine christliche gnostische Häresie, die vom Manichäismus beeinflusst ist, ihren Ursprung in Armenien hat und für ihre militaristische Haltung und die Betonung der ausschließlichen Anerkennung des Neuen Testaments als legitim bekannt ist.;;;x
paulician_FEATURES;§Y*§! May declare Holy War or Crusade on anyone of a different religion, even other Christians\n§Y*§! May gain the Icon-Breaker trait after sieging a Christian temple\n§Y*§! May expend Piety to raise units of zealots during a war\n§Y*§! Paulicians only recognize the three Petrine Sees\n§Y*§! Paulicians may choose between the Alexandrite and Antiochian schools of theology;;§Y*§! Kann jedem, der einer anderen Religion angehört, sogar anderen Christen, den Heiligen Krieg oder einen Kreuzzug erklären\n§Y*§! Kann nach der Belagerung eines christlichen Tempels die Eigenschaft "Ikonenbrecher" erhalten. Darf Frömmigkeit ausgeben, um während eines Krieges Einheiten von Eiferern aufzustellen\n§Y*§! Paulizianer erkennen nur die drei Petrusämter an\n§Y*§! Paulizianer können zwischen der alexandritischen und der antiochenischen Schule der Theologie wählen;;;x
nestorian_DESC;Nestorianism is an early Christian branch which states that Christ has two separate natures - one divine and one human. This is the opposite of the Monophysite position where Christ has but a single nature. The nominal head of the Nestorian Church is the Patriarch of the East.;;Der Nestorianismus ist ein frühchristlicher Zweig, der behauptet, Christus habe zwei getrennte Naturen - eine göttliche und eine menschliche. Dies ist das Gegenteil der monophysitischen Position, der zufolge Christus nur eine einzige Natur hat. Das nominelle Oberhaupt der nestorianischen Kirche ist der Patriarch des Ostens.;;;x
nestorian_FEATURES;§Y*§! Nestorians only recognize the three Petrine Sees\n§Y*§! Nestorians may choose between the Alexandrite and Antiochian schools of theology;;§Y*§! Nestorianer erkennen nur die drei Petrusämter an\n§Y*§! Nestorianer können zwischen der alexandritischen und der antiochenischen Schule der Theologie wählen;;;x
messalian_DESC;The Messalians, or Euchites ('Those who Pray'), are a heretical Christian sect that originated in Mesopotamia, influenced by dualistic faiths like Zoroastrianism. Messalians believe that God can be perceived by the carnal senses, and that this perception is necessary to reach perfection. Each person is born with an inner demon, and only intense prayer can drive it out. They also believe that Lucifer is the elder son of God and a force for good, and that incest is sacred since it was practiced by the children of Adam and Eve. They have no formal rites and no strict church hierarchy.;;Die Messalianer oder Euchiten ('Diejenigen, die beten') sind eine häretische christliche Sekte, die ihren Ursprung in Mesopotamien hat und von dualistischen Glaubensrichtungen wie dem Zoroastrismus beeinflusst wurde. Die Messalianer glauben, dass Gott mit den fleischlichen Sinnen wahrgenommen werden kann und dass diese Wahrnehmung notwendig ist, um Vollkommenheit zu erreichen. Jeder Mensch wird mit einem inneren Dämon geboren, und nur intensives Gebet kann ihn austreiben. Sie glauben auch, dass Luzifer der ältere Sohn Gottes und eine Kraft des Guten ist und dass Inzest heilig ist, da er von den Kindern von Adam und Eva praktiziert wurde. Sie haben keine formellen Rituale und keine strenge Kirchenhierarchie.;;;x
messalian_FEATURES;Features:\n§Y*§! Messalians must pray to expel their personal demons\n§Y*§! Once the demons are driven out, they can achieve the status of Perfection\n§Y*§! Messalians may choose a patron saint to worship\n§Y*§! Messalians can create their own Holy Order, the Army of Lucifer\n§Y*§! The Patriarch of Antioch will automatically become the new religion head\n§Y*§! Messalians only recognize the Petrine Sees;;§Y*§! Messalianer müssen beten, um ihre persönlichen Dämonen zu vertreiben\n§Y*§! Sobald die Dämonen vertrieben sind, können sie den Status der Vollkommenheit erreichen\n§Y*§! Messalier können einen Schutzpatron wählen, den sie verehren können\n§Y*§! Messalier können ihren eigenen Heiligen Orden gründen, die Armee Luzifers\n§Y*§! Der Patriarch von Antiochien wird automatisch das neue Religionsoberhaupt\n§Y*§! Die Messalianer erkennen nur die Petrusämter an;;es;x
druze_DESC;The Druze religion originated in the Ismaili sect of Shi'a Islam, but has many features of Gnosticism, Neoplatonism in addition to the Abrahamic religions.;;Die drusische Religion hat ihren Ursprung in der Ismaili-Sekte des schiitischen Islams, weist aber neben den abrahamitischen Religionen auch viele Merkmale des Gnostizismus und des Neuplatonismus auf.;;;x
druze_FEATURES;§Y*§! May use 'Study Esoteric Knowledge' ambition to ascend to Uqqal (Initiate) status\n§Y*§! Pious Uqqal may ascend to Ajawid status\n§Y*§! Pious or charismatic Druze may invade fellow Muslims with the same criteria as the Prepared Invasion CB\n§Y*§! A pious Ajawid may become the Druze Shaykh religion head\n§Y*§! If the Druze acquire a religion head, it will no longer be a heresy\n§Y*§! Believe in reincarnation\n§Y*§! May not go on Hajj;;§Y*§! Kann die Ambition 'Studium des esoterischen Wissens' nutzen, um zum Uqqal (Eingeweihten) aufzusteigen\n§Y*§! Fromme Uqqal können zum Ajawid-Status aufsteigen\n§Y*§! Fromme oder charismatische Drusen können in andere Muslime eindringen, mit den gleichen Kriterien wie bei der vorbereiteten Invasion CB\n§Y*§! Ein frommer Ajawid kann der drusische Shaykh-Religionsleiter werden\n§Y*§! Wenn die Drusen ein Religionsoberhaupt bekommen, ist es keine Ketzerei mehr\n§Y*§! Glaube an die Reinkarnation\n§Y*§! Dürfen nicht auf Hadsch gehen;;;x
hurufi_DESC;The Hurufi faith is a mystical, kabbalistic, Sufi sect within Islam, regarded as a heresy.;;Der Hurufi-Glaube ist eine mystische, kabbalistische Sufi-Sekte innerhalb des Islam, die als Ketzerei gilt.;;;x
hurufi_FEATURES;§Y*§! Hurufi characters can create great works of Islamic poetry\n§Y*§! Hurufi scholars may study the Qur'an to unlock its secrets and gain considerable benefits;;§Y*§! Hurufi-Charaktere können große Werke islamischer Poesie schaffen.\n§Y*§! Hurufi-Gelehrte können den Koran studieren, um seine Geheimnisse zu entschlüsseln und erhebliche Vorteile zu erlangen.;;;x
qarmatian;Qarmatian;Qarmatian;Karmataner;;Qarmatian;x
qarmatian_DESC;The Qarmatians are a splinter sect of Ismaili Islam, rooted in the Persian Gulf that mixes Islamic teachings with traditional Persian mysticism. They believed that there were seven ages of man, each with a new religion and prophet, and the final age was approaching.;;Die Karmaten sind eine im Persischen Golf verwurzelte Abspaltung des ismailischen Islam, die islamische Lehren mit traditioneller persischer Mystik vermischt. Sie glauben, dass es sieben Zeitalter der Menschheit gibt, jedes mit einer neuen Religion und einem neuen Propheten, und dass sich das letzte Zeitalter nähert.;;The ;x
manichaean_DESC;Manichaeism is a Gnostic religion founded by the alleged prophet Mani who was put to death by the Sassanid Shahanshah Bahram I in 277. His 'Religion of Light' incorporated elements of Christianity, Zoroastrianism, Buddhism and Gnosticism. At one point, Manichaeism spread far and wide, and was the biggest competitor with Christianity for replacing classical Paganism until it began to fade in the 6th century.;;Der Manichäismus ist eine gnostische Religion, die von dem angeblichen Propheten Mani gegründet wurde, der 277 von dem sassanidischen Schahansha Bahram I. hingerichtet wurde. Seine "Religion des Lichts" enthielt Elemente des Christentums, des Zoroastrismus, des Buddhismus und des Gnostizismus. Irgendwann verbreitete sich der Manichäismus weit und breit und war der größte Konkurrent des Christentums bei der Ablösung des klassischen Heidentums, bis er im 6.;;;x
manichaean_FEATURES;§Y*§! The Manichaean Archegos exists in the Old Gods and Charlemagne bookmarks, and may be restored later\n§Y*§! Manichaeans have their own holy festival, the Bema Feast\n§Y*§! Manichaeans may elect to dedicate themselves to a Shekhinah upon adulthood\n§Y*§! A new holy order that may be founded, called the Army of Light;; Merkmale:\n§Y*§! Der manichäische Archegos existiert in den Lesezeichen Alte Götter und Karl der Große und kann später wiederhergestellt werden\n§Y*§! Manichäer haben ihr eigenes heiliges Fest, das Bema-Fest\n§Y*§! Manichäer können sich bei Erreichen der Volljährigkeit einer Shekhinah weihen\n§Y*§! Ein neuer heiliger Orden kann gegründet werden, genannt die Armee des Lichts";;;x
mazdaki_DESC;Mazdak was a Zoroastrian priest who claimed to be a prophet of Ahura Mazda. He attempted to reform the religion with Gnostic elements, and advocated communal possessions and welfare programs. His teachings fell out of favor with the Shahanshah Kavadh I in 524, but pockets of the heresy survived in remote areas.;;Mazdak war ein zoroastrischer Priester, der behauptete, ein Prophet von Ahura Mazda zu sein. Er versuchte, die Religion mit gnostischen Elementen zu reformieren, und befürwortete gemeinschaftlichen Besitz und Wohlfahrtsprogramme. Seine Lehren fielen 524 beim Schahanshah Kavadh I. in Ungnade, aber in abgelegenen Gegenden überlebten einige Anhänger der Ketzerei.;;;x
mazdaki_FEATURES; Defining features in-game:\n§Y*§! Mazdakis may dedicate themselves to a Power upon adulthood\n§Y*§! Mazdakis are expected to share the wealth of the state with the people\n§Y*§! A religion head can be created with a decision;;§Y*§! Mazdakis können sich mit dem Erreichen des Erwachsenenalters einer Macht widmen\n§Y*§! Von Mazdakis wird erwartet, dass sie den Reichtum des Staates mit dem Volk teilen\n§Y*§! Ein Religionsoberhaupt kann mit einer Entscheidung geschaffen werden;;;x
