#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTNAME_Plus_2100;Acheiropoieta;;Acheiropoieta;;;x
EVTDESC_Plus_2135;Construction has begun in Tyrnovo on the planned Church of St. Bogomil, a structure to rival St. Peter's Basilica or the Hagia Sophia. It will surely be a marvel of construction, and a bastion of faith for all Bogomilists across the world!;;In Tyrnovo haben die Bauarbeiten an der geplanten Kirche St. Bogomil begonnen, einem Bauwerk, das mit dem Petersdom oder der Hagia Sophia konkurrieren kann. Sie wird sicherlich ein Wunderwerk der Baukunst und ein Bollwerk des Glaubens für alle Bogomilisten in der ganzen Welt sein!;;;x
EVTOPTA_Plus_2135;Let us hope I live to see it finished;;Hoffen wir, dass ich ihre Fertigstellung noch erlebe.;;;x
EVTNAME_Plus_2137;The Church of St. Bogomil;;Die Kirche des Heiligen Bogomil;;;x
EVTDESC_Plus_2137;As evidence of just how far the Bogomilist faith has come, the Church of St. Bogomil has completed construction in the city of Tyrnovo. A majestic structure to rival even the most potent Christian cathedrals, the church has become a bastion of faith for all Bogomilists across [Root.PrimaryTitle.GetName] and beyond.;;Als Beweis dafür, wie weit der bogomilistische Glaube gekommen ist, wurde der Bau der Kirche des Heiligen Bogomil in der Stadt Tyrnovo abgeschlossen. Als majestätisches Bauwerk, das selbst mit den mächtigsten christlichen Kathedralen mithalten kann, ist die Kirche zu einem Bollwerk des Glaubens für alle Bogomilisten in [Root.PrimaryTitle.GetName] und darüber hinaus geworden.;;;x
EVTOPTA_Plus_2137;St. Bogomil himself would be pleased;;Der heilige Bogomil selbst würde sich freuen;;;x
BOGO_BEGIN_FORMALIZATION;Begin the formalization process of the Bogomilist faith. Note that this may take up to decades, though seeing it through to the end will ensure that formalization does not also come with massive upheaval amongst the faithful.\n;;Beginnt den Formalisierungsprozess des bogomilistischen Glaubens. Beachtet, dass dies Jahrzehnte dauern kann, aber es bis zum Ende durchzuziehen wird sicherstellen, dass die Formalisierung nicht auch mit massiven Umwälzungen unter den Gläubigen einhergeht.;;;x
BOGO_FORMALIZATION0;Bogomilism is still nowhere near ready for formalization, and is further away from that goal than when the process began.\n;;Der Bogomilismus ist noch lange nicht reif für eine Formalisierung und von diesem Ziel weiter entfernt als zu Beginn des Prozesses.\n;;;x
BOGO_FORMALIZATION1;Bogomilism is now a long way from being ready for peaceful formalization.\n;;Der Bogomilismus ist noch weit davon entfernt, für eine friedliche Formalisierung bereit zu sein.\n;;;x
BOGO_FORMALIZATION2;Bogomilism is now about half-way to being ready for peaceful formalization.\n;;Der Bogomilismus ist jetzt etwa auf halbem Weg, um für eine friedliche Formalisierung bereit zu sein.\n;;;x
BOGO_FORMALIZATION3;Bogomilism is now close to being ready for peaceful formalization.\n;;Der Bogomilismus steht nun kurz davor, für eine friedliche Formalisierung bereit zu sein.\n;;;x
BOGO_FORMALIZATION4;Bogomilism is now ready to be peacefully formalized.\n;;Der Bogomilismus ist jetzt bereit, friedlich formalisiert zu werden.\n;;;x
BOGO_ORGANIZED_TEN_YEARS;Bogomilism has been organized for at least ten years\n;;Der Bogomilismus ist seit mindestens zehn Jahren organisiert\n;;;x
BOGO_READY_TO_FORMALIZE;Bogomilism is ready to formalize without resistance\n;;Der Bogomilismus ist bereit, sich ohne Widerstand zu formalisieren\n;;;x
