#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
abandon_adventure;Abandon Adventure;;Abenteuer aufgeben;;;x
create_provincia_armenia;Create Provincia Armenia;;Gründung der Provincia Armenia;;;x
create_provincia_armenia_desc;In order to better administer our extensive holdings, we must organize the empire much as the Ancient Romans did and bring back the ancient provinces.;;Um unsere umfangreichen Besitztümer besser verwalten zu können, müssen wir das Reich nach dem Vorbild der alten Römer organisieren und die alten Provinzen wieder einführen.;;;x
create_iconoclast_patriarch;Create Iconoclast Patriarch;;Ikonoklastischen Patriarchen erschaffen;;;x
create_iconoclast_patriarch_desc;It is time for a patriarch to rise who is a leader to all who truly renounce idolatry!;;Es ist an der Zeit, dass sich ein Patriarch erhebt, der ein Führer für alle ist, die dem Götzendienst wirklich abschwören!;;;x
create_kingdomofalbania;Create the Kingdom of Albania;;Erschaffe das Königreich Albanien;;;x
create_kingdomofalbania_desc;Create the Kingdom of Albania;;Erschaffe das Königreich Albanien;;;x
chalcedonian_patriarch_rome;Anoint a Latin Patriarch Supreme;;Salbt einen lateinischen Patriarchen zum Obersten;;;x
chalcedonian_patriarch_rome_desc;The rift between the Latin and Greek sides of Christianity has widened, and only a leader given primacy over the other Pentarchs can possibly prevent it from developing into a true schism. With sufficient piety and prestige, the Bishop of Rome could be just the leader Christianity requires.;;Die Kluft zwischen der lateinischen und der griechischen Seite des Christentums hat sich vertieft, und nur ein Anführer, dem der Vorrang vor den anderen Pentarchen eingeräumt wird, kann möglicherweise verhindern, dass sie sich zu einem echten Schisma entwickelt. Mit genügend Frömmigkeit und Prestige könnte der Bischof von Rom genau der Anführer sein, den die Christenheit braucht.;;;x
chalcedonian_patriarch_constantinople;Anoint a Greek Patriarch Supreme;;Einen griechischen Patriarchen zum Obersten salben;;;x
chalcedonian_patriarch_constantinople_desc;The rift between the Latin and Greek sides of Christianity has widened, and only a leader given primacy over the other Pentarchs can possibly prevent it from developing into a true schism. With sufficient piety and prestige, the Ecumenical Patriarch could be just the leader Christianity requires.;;Die Kluft zwischen der lateinischen und der griechischen Seite des Christentums hat sich vertieft, und nur ein Oberhaupt, dem der Vorrang vor den anderen Pentarchen eingeräumt wird, kann möglicherweise verhindern, dass sie sich zu einem echten Schisma entwickelt. Mit genügend Frömmigkeit und Ansehen könnte der Ökumenische Patriarch genau der Führer sein, den die Christenheit braucht.;;;x
decision_spy_on_desc;Keep an eye on §Y[This.GetTitledName]§! in the hopes of uncovering [This.GetPossPronoun] darkest secrets. Might allow you to blackmail, discover plots, slander, enflame rivalries, or even assist in plots against [This.GetObjectPronoun]. Requires the §YIntrigue Focus§!.;;Behalten Sie §Y[This.GetTitledName]§! im Auge, in der Hoffnung, die dunkelsten Geheimnisse von [This.GetPossPronoun] aufzudecken. Damit kannst du erpressen, Verschwörungen aufdecken, verleumden, Rivalitäten entfachen oder sogar bei Verschwörungen gegen [This.GetObjectPronoun] helfen. Erfordert den §YIntrigen-Fokus§!;;;x
declare_as_kafir;Declare Kafir;;Kafir deklarieren;;;x
declare_as_kafir_desc;Declare §Y[Root.GetBestName]§! to be §Ykafir§!, an apostate in violation of Allah's laws.;;Erkläre §Y[Root.GetBestName]§! zum §YKafir§!, einem Abtrünnigen, der gegen Allahs Gesetze verstößt.;;;x
demand_conversion_courtier;Attempt Religious Conversion;;Versuch der religiösen Bekehrung;;;x
demand_conversion_courtier_desc;Attempt to convert §Y[Root.GetBestName]§! to the [From.GetFaithRites], either through diplomacy, religious debate (if Learning is 8+) or the threat of imprisonment (if Crown Authority or Tribal Organization is Medium or higher).;;Versuche, §Y[Root.GetBestName]§! zu den [From.GetFaithRites] zu bekehren, entweder durch Diplomatie, religiöse Debatten (wenn Bildung 8+ ist) oder durch die Androhung von Gefängnis (wenn Kronautorität oder Stammesorganisation Mittel oder höher ist).;;;x
demand_conversion_vassal;Attempt Religious Conversion;;Versuch der religiösen Bekehrung;;;x
demand_conversion_vassal_desc;Attempt to convert §Y[Root.GetBestName]§! to the [From.GetFaithRites], either through diplomacy, religious debate (if Learning is 8+) or the threat of imprisonment (if Crown Authority or Tribal Organization is Medium or higher).;;Versucht, §Y[Root.GetBestName]§! zu den [From.GetFaithRites] zu bekehren, entweder durch Diplomatie, religiöse Debatte (wenn Bildung 8+ ist) oder die Androhung von Gefängnis (wenn Kronautorität oder Stammesorganisation mittel oder höher sind).;;;x
disinherit_child;Disinherit;;Enteignen;;;x
disinherit_child_desc;Declare that §Y[This.GetTitledFirstName]§! will not inherit your titles. It is only your great prestige that allows this, but there will almost certainly be repercussions.;;Erkläre, dass §Y[This.GetTitledFirstName]§! deine Titel nicht erben wird. Dies ist nur aufgrund deines hohen Ansehens möglich, wird aber mit Sicherheit ein Nachspiel haben.;;;x
dismantle_spy_network;Dismantle Spy Network;;Spionagenetz abbauen;;;x
dismantle_spy_network_desc;[From.GetBestName] is rumored to have a network of spies and informants that is of considerable size, and one which will protect [From.GetHerHim] from plots. You could, however, use your own network to find and root out [From.GetHerHis] agents, though that does run the risk of exposing your intentions.;;Es wird gemunkelt, dass [From.GetBestName] über ein Netzwerk von Spionen und Informanten von beträchtlicher Größe verfügt, das [From.GetHerHim] vor Intrigen schützen soll. Ihr könntet jedoch Euer eigenes Netzwerk nutzen, um [From.GetHerHis]-Agenten ausfindig zu machen und aufzuspüren, obwohl Ihr damit das Risiko eingeht, Eure Absichten zu verraten.;;;x
donate_money_to_army_of_light;Donate money to the Army of Light;;Geld an die Armee des Lichts spenden;;;x
donate_money_to_army_of_light_desc;I can donate money to the Army of Light in exchange for Piety and lifelong respect from the Manichaean Church.;;Ich kann der Armee des Lichts Geld spenden und erhalte dafür Frömmigkeit und lebenslangen Respekt von der manichäischen Kirche.;;;x
donate_money_to_army_of_lucifer;Donate money to the Army of Lucifer;;Geld an die Armee Luzifers spenden;;;x
donate_money_to_army_of_lucifer_desc;I can donate money to the Army of Lucifer in exchange for Piety and lifelong respect from the Messalian faithful.;;Ich kann der Armee Luzifers Geld spenden und erhalte dafür von den messalischen Gläubigen Frömmigkeit und lebenslangen Respekt.;;;x
donate_money_to_braedralag;Donate money to the Bræðralag;;Geld an den Bræðralag spenden;;;x
donate_money_to_braedralag_desc;I can donate money to the Bræðralag in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church;;Ich kann Geld an die Bræðralag spenden und erhalte dafür Frömmigkeit und lebenslangen Respekt von der [Root.Religion.GetName] Kirche;;;x
donate_money_to_tirnanog;Donate money to the Keepers of Tír na nÓg;;Geld an die Wächter von Tír na nÓg spenden;;;x
donate_money_to_tirnanog_desc;I can donate money to the Keepers of Tír na nÓg in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church;;Ich kann Geld an die Wächter von Tír na nÓg spenden und erhalte dafür Frömmigkeit und lebenslangen Respekt von der [Root.Religion.GetName]-Kirche;;;x
donate_money_to_gwydion;Donate money to the Sons of Gwydion;;Geld an die Söhne Gwydions spenden;Donate money to the Sons of Gwydion;;x
donate_money_to_gwydion_desc;I can donate money to the Sons of Gwydion in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church;;Ich kann den Söhnen von Gwydion Geld spenden und erhalte dafür Frömmigkeit und lebenslangen Respekt von der [Root.Religion.GetName]-Kirche;I can donate money to the Sons of Gwydion in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church;;x
donate_money_to_harii;Donate money to the Harii;;Geld an die Harii spenden;;;x
donate_money_to_harii_desc;I can donate money to the Harii in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church;;Ich kann Geld an die Harii spenden und erhalte dafür Frömmigkeit und lebenslangen Respekt von der [Root.Religion.GetName]-Kirche;;;x
donate_money_to_knights_of_saint_mark;Donate money to the Knights of Saint Mark;;Geld an die Ritter von Saint Mark spenden;;;x
donate_money_to_knights_of_saint_mark_desc;I can donate money to the Knights of Saint Mark in exchange for Piety and lifelong respect from the Coptic Church.;;Ich kann den Rittern des Heiligen Markus Geld spenden und erhalte dafür Frömmigkeit und lebenslangen Respekt von der koptischen Kirche.;;;x
donate_money_to_red_dragons;Donate money to the Red Dragon Knights;;Geld an die Ritter des Roten Drachen spenden;Donate money to the Red Dragon Knights;;x
donate_money_to_red_dragons_desc;I can donate money to the Red Dragon Knights in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church;;Ich kann den Rittern des Roten Drachen Geld spenden und erhalte dafür Frömmigkeit und lebenslangen Respekt von der [Root.Religion.GetName] Kirche;I can donate money to the Red Dragon Knights in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church;;x
donate_money_to_order_of_saint_blaise;Donate money to the Order of St. Blaise;;Geld an den Orden des Heiligen Blasius spenden;;;x
donate_money_to_order_of_saint_blaise_desc;I can donate money to the Order of St. Blaise in exchange for Piety and lifelong respect from the Apostolic Church.;;Ich kann dem Orden des heiligen Blasius Geld spenden und erhalte dafür Frömmigkeit und lebenslangen Respekt von der Apostolischen Kirche.;;;x
druze_pact_of_time;The Pact of Time;;Der Pakt der Zeit;;;x
druze_pact_of_time_desc;The coming of age ceremony for all Druze adults, in it the Druze signs the Charter known as the Mithaq Walley El-Zaman -- the 'Pact of Time Custodian'. The Charter embodies all human souls after death, allowing for their reincarnation in the next life.;;Die Volljährigkeitszeremonie für alle drusischen Erwachsenen, bei der die Drusen die Charta unterzeichnen, die als Mithaq Walley El-Zaman bekannt ist - der "Pakt der Zeitwächter". Die Charta verkörpert alle menschlichen Seelen nach dem Tod und ermöglicht ihre Reinkarnation im nächsten Leben.;;;x
employ_court_jester;Hire a Court Jester;Engager un Bouffon la cour;Einen Hofnarren anheuern;;;x
employ_court_jester_desc;Hire a promising fool to keep my court entertained.;Engager un bouffon prometteur pour amuser ma cour.;Stellt einen vielversprechenden Narren ein, um meinen Hofstaat zu unterhalten.;;;x
enforce_chalcedon;Enforce Chalcedon;;Chalkedon durchsetzen;;;x
enforce_chalcedon_desc;The Council of Chalcedon in 451 AD repudiated the Eutychian doctrine of monophytism, a practice that has continued under the leadership of both the Coptic and Apostolic church. With the Great Schism ended, perhaps it is time to bring these heretics back under the fold of the [Root.Religion.GetName] faith once and for all.;;Auf dem Konzil von Chalkedon im Jahr 451 n. Chr. wurde die eutychianische Lehre des Monophytismus verworfen, eine Praxis, die sowohl unter der Führung der koptischen als auch der apostolischen Kirche fortgesetzt wurde. Nach dem Ende des Großen Schismas ist es vielleicht an der Zeit, diese Häretiker ein für alle Mal in den Schoß des [Root.Religion.GetName]-Glaubens zurückzubringen.;;;x
enforce_ephesus;Enforce Ephesus;;Ephesus durchsetzen;;;x
enforce_ephesus_desc;The Council of Ephesus in 431 AD repudiated Nestorianism, leading to the split of the so-called 'Church of the East' from Christianity proper. With the Great Schism ended, perhaps it is time to bring these heretics back under the fold of the [Root.Religion.GetName] faith once and for all.;;Das Konzil von Ephesus im Jahr 431 n. Chr. verwarf den Nestorianismus und führte zur Abspaltung der so genannten "Kirche des Ostens" vom eigentlichen Christentum. Nach dem Ende des Großen Schismas ist es vielleicht an der Zeit, diese Ketzer ein für alle Mal in den Schoß des [Root.Religion.GetName]-Glaubens zurückzubringen.;;;x
establish_castle;Establish Castle;;Burg errichten;;;x
establish_castle_desc;The nomads have left little civilization to speak of in [Root.Location.GetName], but now that it is under our control it would be worthwhile to construct some fortifications in order to protect the area should they return.;;Die Nomaden haben in [Root.Location.GetName] kaum nennenswerte Zivilisation hinterlassen, aber jetzt, wo es unter unserer Kontrolle ist, wäre es sinnvoll, einige Befestigungen zu errichten, um das Gebiet zu schützen, falls sie zurückkehren sollten.;;;x
establish_tribe;Establish Tribe;;Stamm gründen;;;x
establish_tribe_desc;The nomads have left little civilization to speak of in [Root.Location.GetName], but now that it is under our control it would be worthwhile to move some [From.Culture.GetName] tribesmen into the province to establish a presence.;;Die Nomaden haben in [Root.Location.GetName] kaum nennenswerte Zivilisation hinterlassen, aber jetzt, wo sie unter unserer Kontrolle ist, wäre es sinnvoll, einige [From.Culture.GetName] Stammesangehörige in die Provinz zu bringen, um eine Präsenz zu etablieren.;;;x
expelled_bektashi;Expelled the Ansar;Confrérie des Bektachis expulsée;Die Ansar vertrieben;;;x
expelled_d_harii;Expelled the Harii;Expelled the Harii;Die Harii vertrieben;;;x
expel_the_ansar;Expel the Ansar;Expulser la Confrérie des Ansârs;Vertreibe die Ansar;;;x
expel_the_ansar_desc;I can drive the Ansar from my realm and seize their castles. However, it is a very impious thing to do...;Je puis expulser la Confrérie des Ansârs de mon territoire et prendre possession de leurs castels. Ce seroit par contre un acte très impie...;Ich kann die Ansar aus meinem Reich vertreiben und ihre Burgen beschlagnahmen. Allerdings ist das eine sehr pietätlose Sache...;;;x
expel_army_of_light;Expel the Army of Light;;Vertreibe die Armee des Lichts;;;x
expel_army_of_light_desc;I can drive the Army of Light from my realm and seize their castles. However, it is a very impious thing to do...;;Ich kann die Armee des Lichts aus meinem Reich vertreiben und ihre Burgen einnehmen. Doch das ist eine sehr pietätlose Sache...;;;x
expel_army_of_lucifer;Expel the Army of Lucifer;;Vertreibe die Armee Luzifers;;;x
expel_army_of_lucifer_desc;I can drive the Army of Lucifer from my realm and seize their castles. However, it is a very impious thing to do...;;Ich kann die Armee Luzifers aus meinem Reich vertreiben und ihre Schlösser einnehmen. Doch das ist eine sehr pietätlose Sache...;;;x
expel_tirnanog;Expel the Keepers of Tír na nÓg;;Vertreibe die Wächter von Tír na nÓg;;;x
expel_tirnanog_desc;I can drive the Keepers of Tír na nÓg from my realm and seize their castles. However, it is a very impious thing to do...;;Ich kann die Wächter von Tír na nÓga aus meinem Reich vertreiben und ihre Burgen einnehmen. Doch das ist eine sehr pietätlose Sache...;;;x
expel_gwydion;Expel the Gwydion;;Vertreibe die Gwydion;;;x
expel_gwydion_desc;I can drive the Gwydion from my realm and seize their castles. However, it is a very impious thing to do...;;Ich kann die Gwydion aus meinem Reich vertreiben und ihre Burgen beschlagnahmen. Doch das ist eine sehr pietätlose Sache...;;;x
expel_knights_of_saint_mark;Expel the Knights of Saint Mark;;Vertreibe die Ritter von Saint Mark;;;x
expel_knights_of_saint_mark_desc;I can drive the Knights of Saint Mark from my realm and seize their castles. However, it is a very impious thing to do...;;Ich kann die Ritter der Heiligen Mark aus meinem Reich vertreiben und ihre Burgen beschlagnahmen. Doch das ist eine sehr pietätlose Sache...;;;x
expel_order_of_saint_blaise;Expel the Order of St. Blaise;;Vertreibe den Orden des heiligen Blasius;;;x
expel_order_of_saint_blaise_desc;I can drive the Order of St. Blaise from my realm and seize their castles. However, it is a very impious thing to do...;;Ich kann den Orden des heiligen Blasius aus meinem Reich vertreiben und seine Burgen beschlagnahmen. Das ist jedoch eine sehr pietätlose Tat...;;;x
expel_red_dragons;Expel the Red Dragon Knights;;Vertreibe die Ritter des Roten Drachen;;;x
expel_red_dragons_desc;I can drive the Red Dragon Knights from my realm and seize their castles. However, it is a very impious thing to do...;;Ich kann die Ritter des Roten Drachen aus meinem Reich vertreiben und ihre Burgen beschlagnahmen. Aber das ist eine sehr pietätlose Sache...;;;x
expel_the_braedralag;Expel the Bræðralag;;Vertreibe die Bræðralag;;;x
expel_the_braedralag_desc;I can drive the Bræðralag from my realm and seize their castles. However, it is a very impious thing to do...;;Ich kann die Bræðralag aus meinem Reich vertreiben und ihre Burgen einnehmen. Es ist jedoch eine sehr pietätlose Sache, das zu tun...;;;x
expel_the_harii;Expel the Harii;;Vertreibe die Harii;;;x
expel_the_harii_desc;I can drive the Harii from my realm and seize their castles. However, it is a very impious thing to do...;;Ich kann die Harii aus meinem Reich vertreiben und ihre Burgen einnehmen. Allerdings ist das eine sehr pietätlose Sache...;;;x
extend_finland;Claim Kola for Finland;;Kola für Finnland beanspruchen;;;x
extend_finland_desc;The tribal lands of Kola are rightfully part of Finland's de jure territory.;;Die Stammesgebiete von Kola sind rechtmäßig Teil des finnischen Staatsgebiets.;;;x
feast_0;Plan a Feast;Organiser un banquet;Großes Fest planen;;;x
feast_0_desc;A great feast shall be held in winter (October or later), provided you are not at war or otherwise engaged.;;Im Winter (Oktober oder später) soll ein großes Fest stattfinden, sofern ihr euch nicht im Krieg befindet oder anderweitig beschäftigt seid.;;;x
feast_1;Plan a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;x
feast_1_desc;In winter we shall hold the biggest feast ever seen in the Kingdom!;Organisez le plus grand banquet du royaume !;Veranstaltet das größte Gelage, das das Königreich je gesehen hat!;;¡Celebra el banquete más grande jamás visto en el reino!;x
feast_2;Plan a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;x
feast_2_desc;In winter we shall hold the biggest feast ever seen in the Kingdom!;Organisez le plus grand banquet du royaume !;Im Winter werden wir das größte Fest veranstalten, das es je im Königreich gegeben hat!;;¡Celebra el banquete más grande jamás visto en el reino!;x
tirnanog_organized;The Keepers of Tír na nÓg are formed.;Les Gardiens du Tír na nÓg sont créés.;Die Wächter von Tír na nÓg wirden gegründet.;;;x
first_coronation;Create the Holy Roman Empire;;Das Heilige Römische Reich gründen;;;x
first_coronation_desc;While the Carolingian Empire cannot truly be restored, it might be possible to build a new empire out of the old-provided the pope agrees to coronate you as the Holy Roman Emperor.;;Das Karolingische Reich kann zwar nicht wirklich wiederhergestellt werden, aber es könnte möglich sein, ein neues Reich aus dem alten zu errichten - vorausgesetzt, der Papst stimmt zu, Sie zum Heiligen Römischen Kaiser zu krönen.;;;x
force_formalize_bogomilist_church;Force Bogomilist Formalization;;Bogomilistische Formalisierung erzwingen;;;x
force_formalize_bogomilist_church_desc;A leader of enough piety and standing could force a formalization of the Bogomilist faith far more quickly than would otherwise be possible. This will mean any repercussions from the faithful will happen immediately, but so will the reforms.;;Ein Anführer von ausreichender Frömmigkeit und Ansehen könnte eine Formalisierung des bogomilistischen Glaubens viel schneller erzwingen, als es sonst möglich wäre. Dies würde bedeuten, dass etwaige Reaktionen der Gläubigen sofort erfolgen, aber auch die Reformen.;;;x
form_brandenburg;Form the Margraviate of Brandenburg;;Bildung der Markgrafschaft Brandenburg;;;x
form_brandenburg_desc;The frontiers of the empire must be protected, and the locals pacified from their former heathen ways. This requires the formation of a special March on the eastern edge of the empire.;;Die Grenzen des Reiches müssen geschützt und die Einheimischen von ihrem früheren heidnischen Verhalten abgebracht werden. Dies erfordert die Bildung einer besonderen Mark am östlichen Rand des Reiches.;;;x
form_carolingian_empire;Form the Carolingian Empire;;Das Karolingische Reich bilden;;;x
form_carolingian_empire_desc;With the entirety of the Frankish realm under our control, we could approach the Pope and ask for permission to create a new holy empire--one that will bear the Karling name and restore order to Europe in a manner not seen since the days of the Romans!;;Wenn wir das gesamte fränkische Reich unter unserer Kontrolle haben, können wir den Papst um die Erlaubnis bitten, ein neues heiliges Reich zu gründen - eines, das den Namen Karling tragen und die Ordnung in Europa in einer Weise wiederherstellen wird, wie es sie seit den Tagen der Römer nicht mehr gab!;;;x
form_the_hre_early_desc;Is it not every [Root.GetTitle]'s dream to be recognized as the true successor to the Caesars? I can invoke the translatio imperii and have the Pope crown me as ruler of a new Roman Empire in the west!;;Ist es nicht der Traum eines jeden [Root.GetTitle], als wahrer Nachfolger der Cäsaren anerkannt zu werden? Ich kann mich auf die translatio imperii berufen und mich vom Papst zum Herrscher über ein neues Römisches Reich im Westen krönen lassen!;;;x
formalize_bogomilist_church;Formalize the Bogomilist Faith;;Formalisierung des bogomilistischen Glaubens;;;x
formalize_bogomilist_church_desc;Enough work has been done to organize the Bogomilist faith for it to now be considered to have a structure of its own. Note that this will mean that feudal lords will no longer be able to hold temples, and that temple holders will be considered Bogomilist bishops as elsewhere in Christendom.;;Es wurde genug Arbeit geleistet, um den bogomilistischen Glauben zu organisieren, so dass er nun als eine eigene Struktur betrachtet werden kann. Dies bedeutet, dass Feudalherren nicht mehr in der Lage sein werden, Tempel zu besitzen, und dass die Inhaber von Tempeln wie anderswo in der Christenheit als bogomilistische Bischöfe gelten werden.;;;x
fourth_crusade;Begin the Fourth Crusade;;Beginn des Vierten Kreuzzuges;;;x
fourth_crusade_desc;Begin the Fourth Crusade;;Beginn des Vierten Kreuzzuges;;;x
get_rid_of_settlement;Destroy Holding;;Holding zerstören;;;x
get_rid_of_settlement_desc;Have too many holding of this type in the province? This will remove the holding entirely -- but note: there is no benefit to doing so. The holding and any improvements it's built are lost forever.;;Haben Sie zu viele Holdings dieser Art in der Provinz? Damit wird die Holding vollständig entfernt - aber Achtung: Es gibt keinen Vorteil, dies zu tun. Die Holding und alle Verbesserungen, die sie gebaut hat, sind für immer verloren.;;;x
gwydion_organized;The Gwydion is formed.;Le Gwydion est formé.;Das Gwydion wird gegründet.;;;x
give_to_charity;Give to Charity;Donner la charité;Spende für wohltätige Zwecke;;;x
give_to_charity_desc;Give a voluntary donation to [Root.Religion.GetName] charities.;Faites un don volontaire aulx oeuvres de charité de [Root.Religion.GetName].;Geben Sie eine freiwillige Spende an [Root.Religion.GetName] Wohltätigkeitsorganisationen.;;;x
gone_pagan;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_zoroastrian;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_celtic_norse;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_baltic_finnic;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_tengri;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_aztec;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_slavic;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_african;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_egyptian;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_judaic;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_hellenic;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_zun;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_taoist;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_tibetan;Adopt the Old Ways;Adopter la Religion du pays;Nehmt die alten Wege an;;;x
gone_pagan_ctt;One of the following must be true:\n- The §YMoral Authority§! of your religion must be below §R10§!\n- There must be a pagan province in your demesne that is relevant to your culture, in addition to the §YMoral Authority§! of your religion being below §R20§!\n- You must be a lunatic and the §YMoral Authority§! of your religion must be below §R40§!;Une des conditions suivantes doit estre remplie :\n- L'§YAutorité Morale§! de votre religion doit estre inférieure §R10§!\n- Il doit y avoir une province païenne dans votre domaine qui est proche de votre culture, en plus d'avoir l'§YAutorité Morale§! de votre religion en-dessous de §R20§!\n- vous devez estre dément et l'§YAutorité Morale§! de votre religion doit estre inférieure §R40§!;Einer der folgenden Punkte muss zutreffen:\n- Die §YMoralische Autorität§! deiner Religion muss unter §R10§! liegen\n- Es muss eine heidnische Provinz in deinem Herrschaftsgebiet geben, die für deine Kultur relevant ist, zusätzlich dazu, dass die §YMoralische Autorität§! deiner Religion unter §R20§! liegt\n- Du musst ein Verrückter sein und die §YMoralische Autorität§! deiner Religion muss unter §R40§! liegen;;;x
gone_pagan_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nimm die einheimische Religion deiner Kultur an.;;;x
gone_pagan_zoroastrian_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nimm die einheimische Religion deiner Kultur an.;;;x
gone_pagan_celtic_norse_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nimm die einheimische Religion deiner Kultur an.;;;x
gone_pagan_baltic_finnic_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nimm die einheimische Religion deiner Kultur an.;;;x
gone_pagan_tengri_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nimm die einheimische Religion deiner Kultur an.;;;x
gone_pagan_aztec_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nehmen Sie die einheimische Religion Ihrer Kultur an.;;;x
gone_pagan_slavic_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nehmen Sie die einheimische Religion Ihrer Kultur an.;;;x
gone_pagan_african_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nehmen Sie die einheimische Religion Ihrer Kultur an.;;;x
gone_pagan_egyptian_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nehmen Sie die einheimische Religion Ihrer Kultur an.;;;x
gone_pagan_judaic_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nehmen Sie die einheimische Religion Ihrer Kultur an.;;;x
gone_pagan_hellenic_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nehmen Sie die einheimische Religion Ihrer Kultur an.;;;x
gone_pagan_zun_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nehmen Sie die einheimische Religion Ihrer Kultur an.;;;x
gone_pagan_taoist_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nehmen Sie die einheimische Religion Ihrer Kultur an.;;;x
gone_pagan_tibetan_desc;Adopt your culture's native religion.;Adopter la religion d'origine et votre culture.;Nimm die einheimische Religion deiner Kultur an.;;;x
go_on_hajj_1;Go on Hajj to Mecca;Partir en pèlerinage La Mecque;Die Hadsch nach Mekka machen;;Ir al Hajj a La Meca;x
go_on_hajj_1_desc;Going on a pilgrimage to Mecca is one of the pillars of Islam, and this is something every able-bodied Muslim is expected to do once in his life.;Réaliser un pèlerinage La Mecque fait partie des cinq piliers de l'Islam. C'est une chose que tout musulman valide se doit de faire au moins une fois dans sa vie.;Die Pilgerfahrt nach Mekka ist eine der Säulen des Islams, und es wird von jedem gesunden Muslim erwartet, dass er sie einmal in seinem Leben macht.;;Ir de peregrinación hacia La Meca es uno de los pilares del islam, y es algo que todo musulmán que esté en condiciones físicas de hacerlo debe hacer una vez en su vida.;x
go_on_hajj_2;Go on Hajj to Mecca;Partir en pèlerinage La Mecque;Hadsch nach Mekka;;Ir al Hajj a La Meca;x
go_on_hajj_2_desc;Going on a pilgrimage to Mecca is one of the pillars of Islam, and this is something every able-bodied Muslim is expected to do once in his life.;Réaliser un pèlerinage La Mecque fait partie des cinq piliers de l'Islam. C'est une chose que tout musulman valide se doit de faire au moins une fois dans sa vie.;Die Pilgerfahrt nach Mekka ist eine der Säulen des Islams, und es wird von jedem mündigen Muslim erwartet, dass er dies einmal im Leben tut.;;Ir de peregrinación hacia La Meca es uno de los pilares del islam, y es algo que todo musulmán que esté en condiciones físicas de hacerlo debe hacer una vez en su vida.;x
grant_estate;Grant Estates;Octroyer des domaines;Landgüter gewähren;;;x
grant_estate_desc;Grant landed estates to this character. This will give them a monthly revenue and make them more loyal to you.;Octroyer des domaines terriens aulx personnages. Cela leur garantit des revenus mensuels et les rend plus loyaulx envers vous.;Gewähren Sie dieser Figur Ländereien. Dies verschafft ihnen ein monatliches Einkommen und macht sie Ihnen gegenüber loyaler.;;;x
grant_independence;Grant Independence;Octroyer l'indépendance.;Unabhängigkeit gewähren;;;x
grant_independence_desc;Break our vassal contract with this character. This will cost us some prestige and greatly damage our mutual relations.;Briser le serment vassalique avec cette personne. Cela vous coustera du prestige et déteriorera grandement vos relations mutuelles.;Breche unseren Vasallenvertrag mit diesem Charakter. Dies wird uns einiges an Prestige kosten und unsere gegenseitigen Beziehungen stark beeinträchtigen.;;;x
