#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
greek_rites_desc;This priest is versed in the Greek Rites of orthodoxy, and thus subscribes to the Greek versions of Christian dogma -- which vary substantially from the Latin.;This priest is versed in the Greek Rites of orthodoxy, and thus subscribes to the Greek versions of Christian dogma -- which vary substantially from the Latin.;This priest is versed in the Greek Rites of orthodoxy, and thus subscribes to the Greek versions of Christian dogma -- which vary substantially from the Latin.;;This priest is versed in the Greek Rites of orthodoxy, and thus subscribes to the Greek versions of Christian dogma -- which vary substantially from the Latin.;;;;;;;;;x
guelf;Guelf;Guelphe;Guelf;;Güelfo;;;;;;;;;x
guelf_desc;This character is supporting the true Pope against his liege's claimant to St. Peter's throne.;;;;;;;;;x
HAS_LANDED_TITLE;Holds the title of $TITLE$;Est $RULERTITLE$ de $TITLE$;Ist $RULERTITLE$ von $TITLE$;;Es $RULERTITLE$ de $TITLE$;;;;;;;;;x
head1;First Blood;Premier Sang;First Blood;;First Blood;;;;;;;;;x
head1_desc;This character has defeated a valiant foe and taken his head as a trophy.;Ce personnage a défait un vaillant ennemi et pris sa teste comme trophée.;This character has defeated a valiant foe and taken his head as a trophy.;;This character has defeated a valiant foe and taken his head as a trophy.;;;;;;;;;x
head2;Headhunter;Chasseur de Testes;Headhunter;;Headhunter;;;;;;;;;x
head2_desc;This character has a chest containing the heads of his most valiant foes.;Ce personnage a un coffre contenant les testes de ses ennemis les plus vaillants.;This character has a chest containing the heads of his most valiant foes.;;This character has a chest containing the heads of his most valiant foes.;;;;;;;;;x
head3;Veteran Headhunter;Chasseur de Testes Vétéran;Veteran Headhunter;;Veteran Headhunter;;;;;;;;;x
head3_desc;The walls of this character are lined with severed heads, trophies of his most glorious fights.;Les murs de ce personnage sont couverts de testes tranchées, trophées de ses combats les plus glorieux.;The walls of this character are lined with severed heads, trophies of his most glorious fights.;;The walls of this character are lined with severed heads, trophies of his most glorious fights.;;;;;;;;;x
head4;Heroic Headhunter;Chasseur de Testes Héroïque;Heroic Headhunter;;Heroic Headhunter;;;;;;;;;x
head4_desc;The heads of heroes and generals are bloody tokens of this character's valiance in combat.;Les testes de héros et de généraulx sont des marques sanglantes de la vaillance au combat de ce personnage.;The heads of heroes and generals are bloody tokens of this character's valiance in combat.;;The heads of heroes and generals are bloody tokens of this character's valiance in combat.;;;;;;;;;x
head5;Living Legend;Légende Vivante;Living Legend;;Living Legend;;;;;;;;;x
head5_desc;The life of this warrior is legendary, his exploits match those of the legendary warriors of old.;La vie de ce guerrier est légendaire, ses exploits égalent ceulx des légendaires guerriers d'antan.;The life of this warrior is legendary, his exploits match those of the legendary warriors of old.;;The life of this warrior is legendary, his exploits match those of the legendary warriors of old.;;;;;;;;;x
held_divination_modifier;Sacrificed to the Gods;Offert en sacrifice aulx dieux;Den Göttern geopfert;;Sacrificado a los Dioses;;;;;;;;;x
hellenic_county_liberation_desc;Hellenic pagan rulers can liberate Italian and Greek provinces from the tyrannical rule of the monotheistic religions.;Les dirigeants païens helléniques peuvent libérer les provinces italiennes et grecques du règne tyrannique des religions monothéistes.;Hellenic pagan rulers can liberate Italian and Greek provinces from the tyrannical rule of the monotheistic religions.;;Hellenic pagan rulers can liberate Italian and Greek provinces from the tyrannical rule of the monotheistic religions.;;;;;;;;;;;
herbalist;Herbalist;;;;;;;;;;;;;x
herbalist_desc;This character is well-versed in local herbs, plants, fungi, minerals, and more, and has the knowledge - handed down from generation to generation - on how best to combine these to produce powerful concoctions.;;;;;;;;;;;;;x
HERO_RELIGION;Heroic Religion;Religion Héroïque;Heroische Religion;;Heroic Religion;;;;;;;;;x
HERO_RELIGION_HOME_TERRITORY;Heroic Religion in Home Territory;Religion héroïque dans le territoire d'accueil;Heroic Religion in Haushalt Territory;;Heroic Religion in Home Territory;;;;;;;;;x
hero_to_peasants;Hero to Peasants;Heros pour les Paysants;Hero to Peasants;;Hero to Peasants;;;;;;;;;x
high_legalism;High Legalism;High Legalism;High Legalism;;High Legalism;;;;;;;;;x
highway_robber_band;Highway Robber Band;Bande de voleurs de grands chemins;Wegelagererbande;;Grupo de bandidos;;;;;;;;;x
highway_robber_band_desc;Bands of robbers are prowling the countryside of this province.;À cause des piètres compétences martiales du comte, des voleurs rosdent dans les campagnes. Une grande part des troupes locales est chargée de les neutraliser.;Aufgrund der geringen Kriegskunstfähigkeit des Grafen durchstreifen Wegelagerer die Lande. Ein Großteil der hiesigen Wehrpflichtigen ist damit beschäftigt, sie in Schach zu halten.;;Debido a la baja habilidad Marcial del conde, grupos de bandidos rondan por el campo. Una gran parte de la leva local está ocupada tratando de eliminarlos.;;;;;;;;;x
holding_epic_tournament;Hosting an Epic Tournament;Organiser un tournoi épique;Veranstalte einen epischen Turnier;;Hosting an Epic Tournament;;;;;;;;;x
holding_grand_banquet;Holding a Grand Banquet;Tenir un Grand Banquet;Holding a Grand Banquet;;Holding a Grand Banquet;;;;;;;;;;;
holding_grand_banquet_desc;This character is hosting a Grand Banquet;Ce personnage est l'hoste d'un Grand Banquet;This character is hosting a Grand Banquet;;This character is hosting a Grand Banquet;;;;;;;;;;;
holding_grand_hunt;Hosting a Grand Hunt;Accueillir une Grande Chasse;Eine große Jagd veranstalten;;Hosting a Grand Hunt;;;;;;;;x
holding_large_feast;Holding a Large Feast;Organiser un grand festin;Ein großes Fest geben;;Celebrando un gran banquete;;;;;;;;;x
holding_passover_mod;Holding Passover;Fester Pasque;Holding Passover;;Holding Passover;;;;;;;;;;;
holding_passover_mod_desc;This ruler is either planning, or hosting a Passover celebration.;Ce personnage fait les préparatifs ou héberge une célébration de Pasque.;This ruler is either planning, or hosting a Passover celebration.;;This ruler is either planning, or hosting a Passover celebration.;;;;;;;;;;;
holy_crusader;Holy Warrior;Holy Warrior;Holy Warrior;;Holy Warrior;;;;;;;;;x
holy_crusader_desc;This character is a veteran of the holy wars.;This character is a veteran of the holy wars.;This character is a veteran of the holy wars.;;This character is a veteran of the holy wars.;;;;;;;;;x
holy_war_sanction;Received Sanction for Holy War;Received Sanction for Holy War;Received Sanction for Holy War;;Received Sanction for Holy War;;;;;;;;;x
hostile_family;Hostile Family Member;Hostile Family Member;Hostile Family Member;;Hostile Family Member;;;;;;;;;x
hurufi_diwan;Diwan Poet;Diwan Poet;Diwan Poet;;Diwan Poet;;;;;;;;;x
hurufi_diwan_desc;This man is famous for the collection of Islamic poetry he has written.;This man is famous for the collection of Islamic poetry he has written.;This man is famous for the collection of Islamic poetry he has written.;;This man is famous for the collection of Islamic poetry he has written.;;;;;;;;;x
hurufi_mystic_a;Hurufi Initiate;Hurufi Initiate;Hurufi Initiate;;Hurufi Initiate;;;;;;;;;x
hurufi_mystic_a_desc;This man has begun to pierce the veil of hidden knowledge.;This man has begun to pierce the veil of hidden knowledge.;This man has begun to pierce the veil of hidden knowledge.;;This man has begun to pierce the veil of hidden knowledge.;;;;;;;;;x
hurufi_mystic_b;Hurufi Adept;Hurufi Adept;Hurufi Adept;;Hurufi Adept;;;;;;;;;x
hurufi_mystic_b_desc;This man has discovered the hidden knowledge written in the Qur'an.;This man has discovered the hidden knowledge written in the Qur'an.;This man has discovered the hidden knowledge written in the Qur'an.;;This man has discovered the hidden knowledge written in the Qur'an.;;;;;;;;;x
hurufi_mystic_c;Hurufi Master;Hurufi Master;Hurufi Master;;Hurufi Master;;;;;;;;;x
hurufi_mystic_c_desc;This man is a master of the hidden Truth behind all things.;This man is a master of the hidden Truth behind all things.;This man is a master of the hidden Truth behind all things.;;This man is a master of the hidden Truth behind all things.;;;;;;;;;x
hurufi_prediction;Studied the Omens;Studied the Omens;Studied the Omens;;Studied the Omens;;;;;;;;;x
hurufi_prediction_desc;This character has recently studied the Holy Qur'an to search for omens of the future.;This character has recently studied the Holy Qur'an to search for omens of the future.;This character has recently studied the Holy Qur'an to search for omens of the future.;;This character has recently studied the Holy Qur'an to search for omens of the future.;;;;;;;;;x
hurufi_studying;Studying Hidden Secrets;Studying Hidden Secrets;Studying Hidden Secrets;;Studying Hidden Secrets;;;;;;;;;x
hurufi_studying_desc;Being locked away studying secrets does not endear one to his vassals.;Being locked away studying secrets does not endear one to his vassals.;Being locked away studying secrets does not endear one to his vassals.;;Being locked away studying secrets does not endear one to his vassals.;;;;;;;;;x
husband_usurped_me;Usurped My Titles;Usurped My Titles;Usurped My Titles;;Usurped My Titles;;;;;;;;;x
iberian_trade;Iberian Trade;Iberian Trade;Iberian Trade;;Iberian Trade;;;;;;;;;x
iconoclast_blowback;Orthodox Rage;Orthodox Rage;Orthodox Rage;;Orthodox Rage;;;;;;;;;x
iconoclast_blowback_desc;The Orthodox people of this province are upset about the destruction of their sacred icons.;The Orthodox people of this province are upset about the destruction of their sacred icons.;The Orthodox people of this province are upset about the destruction of their sacred icons.;;The Orthodox people of this province are upset about the destruction of their sacred icons.;;;;;;;;;x
iconoclast_DESC;The Iconoclast heresy plagued the Byzantine Empire in multiple waves. Iconoclasts believe that religious images - icons and depictions of holy figures in particular - are a form of idolatry and must not be allowed. In their heyday, iconoclasts destroyed innumerable such decorations and icons, sometimes even urged on by Iconoclast Emperors. Features:\n§Y*§! Can create the Iconoclast Patriarch if Constantinople is controlled\n§Y*§! Iconoclasts can destroy icons after sieging temples;The Iconoclast heresy plagued the Byzantine Empire in multiple waves. Iconoclasts believe that religious images - icons and depictions of holy figures in particular - are a form of idolatry and must not be allowed. In their heyday, iconoclasts destroyed innumerable such decorations and icons, sometimes even urged on by Iconoclast Emperors. Defining features in-game:\n§Y*§! Can create the Iconoclast Patriarch if Constantinople is controlled\n§Y*§! Multiple Patriarchs - the five Pentarchs and Autocephalous Patriarchs under Kings\n§Y*§! Patriarchs can grant divorces\n§Y*§! The Iconoclast Patriarch can grant the Invasion Casus Belli\n§Y*§! Patriarchs can Excommunicate Orthodox characters\n§Y*§! Iconoclasts can destroy icons after sieging temples\n§Y*§! Iconoclast armies receive a morale bonus;The Iconoclast heresy plagued the Byzantine Empire in multiple waves. Iconoclasts believe that religious images - icons and depictions of holy figures in particular - are a form of idolatry and must not be allowed. In their heyday, iconoclasts destroyed innumerable such decorations and icons, sometimes even urged on by Iconoclast Emperors. Defining features in-game:\n§Y*§! Can create the Iconoclast Patriarch if Constantinople is controlled\n§Y*§! Multiple Patriarchs - the five Pentarchs and Autocephalous Patriarchs under Kings\n§Y*§! Patriarchs can grant divorces\n§Y*§! The Iconoclast Patriarch can grant the Invasion Casus Belli\n§Y*§! Patriarchs can Excommunicate Orthodox characters\n§Y*§! Iconoclasts can destroy icons after sieging temples\n§Y*§! Iconoclast armies receive a morale bonus;;The Iconoclast heresy plagued the Byzantine Empire in multiple waves. Iconoclasts believe that religious images - icons and depictions of holy figures in particular - are a form of idolatry and must not be allowed. In their heyday, iconoclasts destroyed innumerable such decorations and icons, sometimes even urged on by Iconoclast Emperors. Defining features in-game:\n§Y*§! Can create the Iconoclast Patriarch if Constantinople is controlled\n§Y*§! Multiple Patriarchs - the five Pentarchs and Autocephalous Patriarchs under Kings\n§Y*§! Patriarchs can grant divorces\n§Y*§! The Iconoclast Patriarch can grant the Invasion Casus Belli\n§Y*§! Patriarchs can Excommunicate Orthodox characters\n§Y*§! Iconoclasts can destroy icons after sieging temples\n§Y*§! Iconoclast armies receive a morale bonus;;;;;;;;;x
iconoclast_trait;Icon-Breaker;Icon-Breaker;Icon-Breaker;;Icon-Breaker;;;;;;;;;x
iconoclast_trait_desc;This character has a reputation for destroying the holy icons of the Christian faith.;This character has a reputation for destroying the holy icons of the Christian faith.;This character has a reputation for destroying the holy icons of the Christian faith.;;This character has a reputation for destroying the holy icons of the Christian faith.;;;;;;;;;x
immortal;Immortal;Immortel;Unsterblich;;Immortal;;;;;;;;;x
immortal_desc;This character appears to be immune to age and disease.;Ce personnage semble immunisé contre l'age et la maladie.;Dieser Charakter ist gegen Alterung und Krankheit immun.;;This character appears to be immune to age and disease.;;;;;;;;;x
immortal2;Immortal;Immortel;Unsterblich;;Immortal;;;;;;;;;x
immortal2_desc;This character appears to be immune to age and disease.;Ce personnage semble immunisé contre l'age et la maladie.;Dieser Charakter ist gegen Alterung und Krankheit immun.;;This character appears to be immune to age and disease.;;;;;;;;;x
imperial_bodyguards;Imperial Bodyguards;Imperial Bodyguards;Imperial Bodyguards;;Imperial Bodyguards;;;;;;;;;x
imperial_bodyguards_desc;This character has a group of elite and exceptionally-trained bodyguards to keep them safe.;This character has a group of elite and exceptionally-trained bodyguards to keep them safe.;This character has a group of elite and exceptionally-trained bodyguards to keep them safe.;;This character has a group of elite and exceptionally-trained bodyguards to keep them safe.;;;;;;;;;x
imperial_bureaucrat;Imperial Bureaucrat;Imperial Bureaucrat;Imperial Bureaucrat;;Imperial Bureaucrat;;;;;;;;;x
imperial_bureaucrat_desc;This character served for a time within the imperial bureaucracy, and is very proficient at numbers and the art of government.;This character served for a time within the imperial bureaucracy, and is very proficient at numbers and the art of government.;This character served for a time within the imperial bureaucracy, and is very proficient at numbers and the art of government.;;This character served for a time within the imperial bureaucracy, and is very proficient at numbers and the art of government.;;;;;;;;;x
imperial_courtier;Imperial Courtier;Imperial Courtier;Imperial Courtier;;Imperial Courtier;;;;;;;;;x
imperial_courtier_desc;This character has spent a great deal of time within the imperial court, and is proficient in navigating its many intrigues and shifting alliances.;This character has spent a great deal of time within the imperial court, and is proficient in navigating its many intrigues and shifting alliances.;This character has spent a great deal of time within the imperial court, and is proficient in navigating its many intrigues and shifting alliances.;;This character has spent a great deal of time within the imperial court, and is proficient in navigating its many intrigues and shifting alliances.;;;;;;;;;x
imperial_decadence_1;Imperial Decadence (10-20);Imperial Decadence (10-20);Imperial Decadence (10-20);;Imperial Decadence (10-20);;;;;;;;;x
imperial_decadence_1_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;x
imperial_decadence_2;Imperial Decadence (20-30);Imperial Decadence (21-30);Imperial Decadence (21-30);;Imperial Decadence (21-30);;;;;;;;;x
imperial_decadence_2_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;x
imperial_decadence_3;Imperial Decadence (31-40);Imperial Decadence (31-40);Imperial Decadence (31-40);;Imperial Decadence (31-40);;;;;;;;;x
imperial_decadence_3_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;x
imperial_decadence_4;Imperial Decadence (41-50);Imperial Decadence (41-50);Imperial Decadence (41-50);;Imperial Decadence (41-50);;;;;;;;;x
imperial_decadence_4_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;x
imperial_decadence_5;Imperial Decadence (51-60);Imperial Decadence (51-60);Imperial Decadence (51-60);;Imperial Decadence (51-60);;;;;;;;;x
