#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTNAME_Plus_1900;Anarchy at [Root.Capital.GetName];;Anarchie in [Root.Capital.GetName];;;x
EVTDESC_Plus_1917_pirate;The bruised and blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [From.GetTitledFirstNameNoRegnal] walks up to [Root.GetHerHim]: 'You are a mighty fighter, [Root.GetManWoman] of the pale North, but there is no strength greater than that of Allah.' With those words, [Root.GetTitledFirstNameNoRegnal]'s fate is sealed.;;Der geprellte und mit verbundenen Augen ausgestattete [Root.GetTitledName] wird vor einer schreienden Menge aus dem Kerker auf den zentralen Platz von [From.Capital.GetName] geschleppt. [From.GetTitledFirstNameNoRegnal] geht auf [Root.GetHerHim] zu: ""Du bist eine mächtiger Kämpfer, [Root.GetManWoman] aus dem blassen Norden, aber es gibt keine größere Kraft als die von Allah. Mit diesen Worten ist das Schicksal von [Root.GetTitledFirstNameNoRegnal] besiegelt.;;;x
EVTOPTA_Plus_1917_pirate;Let judgement be done!;;Möge das Urteil gesprochen werden!;;;x
EVTDESC_Plus_1917_genius;The bruised and blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [From.GetTitledFirstNameNoRegnal] walks up to [Root.GetHerHim] with a wry grin: 'They say you are a very clever [Root.GetManWoman]...but have you thought of a way to save yourself?' [Root.GetTitledFirstNameNoRegnal] says nothing, and thus [Root.GetHerHis] fate is sealed.;;Der geprellte und mit verbundenen Augen ausgestattete [Root.GetTitledName] wird vor einer schreienden Menge aus dem Kerker auf den zentralen Platz von [From.GetTitledName] geschleppt. [From.GetTitledFirstNameNoRegnal] geht mit einem schiefen Grinsen auf [Root.GetHerHim] zu: Man sagt, Sie seien ein sehr kluger [Root.GetManWoman] ... aber haben Sie schon an eine Möglichkeit gedacht, sich zu retten? [Root.GetTitledFirstNameNoRegnal] sagt nichts, und so ist [Root.GetHerHis] Schicksal besiegelt.;;;x
EVTOPTA_Plus_1917_genius;Not clever enough, it seems;;Nicht clever genug, wie es scheint;;;x
EVTDESC_Plus_1917_imbecile;The bruised and blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. As [From.GetTitledFirstNameNoRegnal] walks up to [Root.GetHerHim], [From.GetSheHe] realizes a certain amount of the jeers are directed at [From.GetHerHim]. Perhaps slaying a drooling moron isn't the most dignified way to honor Allah, or impress the people. Even so, it must be done.;;Der geprellte und mit verbundenen Augen ausgestattete [Root.GetTitledName] wird vor einer schreienden Menge aus dem Kerker auf den zentralen Platz von [From.Capital.GetName] geschleift. Als [Root.GetTitledFirstNameNoRegnal] auf [Root.GetHerHim] zugeht, bemerkt [From.GetSheHe], dass ein gewisser Teil des Gejohle auf [From.GetHerHim] gerichtet ist. Vielleicht ist die Ermordung eines sabbernden Idioten nicht die würdigste Art, Allah zu ehren oder das Volk zu beeindrucken. Trotzdem muss es getan werden.;;;x
EVTOPTA_Plus_1917_imbecile;[Root.GetSheHeCap] barely understood what was happening...;;[Root.GetSheHeCap] verstand kaum, was geschah...;;;x
EVTDESC_Plus_1917_count;The dazed and blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. As [From.GetTitledFirstNameNoRegnal] watches, the court imam makes a declaration: 'This sinner has grievously offended Allah, and persisted in their error even when confronted with the truth. For such a sinner, there is nothing but death.' With those words, [Root.GetTitledFirstNameNoRegnal]'s fate is sealed.;;Der betäubte und mit verbundenen Augen ausgestattete [Root.GetTitledName] wird vor einer schreienden Menge aus dem Kerker auf den zentralen Platz von [From.Capital.GetName] gezerrt. Während [From.GetTitledFirstNameNoRegnal] zusieht, gibt der Hofimam eine Erklärung ab: ""Dieser Sünder hat Allah schwer beleidigt und beharrt auf seinem Irrtum, selbst wenn er mit der Wahrheit konfrontiert wird. Für einen solchen Sünder gibt es nichts anderes als den Tod.' Mit diesen Worten ist das Schicksal von [Root.GetTitledFirstNameNoRegnal] besiegelt.;;;x
EVTOPTA_Plus_1917_count;Allah may show you mercy, but I shall not;;Allah mag dir Gnade erweisen, aber ich werde es nicht tun.;;;x
EVTDESC_Plus_1917_generic;The dazed and blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [From.GetTitledFirstNameNoRegnal] is not even present to witness the execution, but [From.GetHerHis] court imam makes a declaration: 'This sinner has grievously offended Allah, and persisted in their error even when confronted with the truth. For such a sinner, there is nothing but death.' With those words, [Root.GetTitledFirstNameNoRegnal]'s fate is sealed.;;Der betäubte und mit verbundenen Augen ausgestattete [Root.GetTitledName] wird aus dem Kerker auf den zentralen Platz von [From.GetTitledName] geschleppt, wo eine schreiende Menge wartet. [From.GetTitledFirstNameNoRegnal] ist nicht einmal anwesend, um der Hinrichtung beizuwohnen, aber [From.GetHerHis] Hofimam gibt eine Erklärung ab: ""Dieser Sünder hat Allah schwer beleidigt und beharrt auf seinem Irrtum, selbst wenn er mit der Wahrheit konfrontiert wird. Für einen solchen Sünder gibt es nichts anderes als den Tod.' Mit diesen Worten ist das Schicksal von [Root.GetTitledFirstNameNoRegnal] besiegelt.;;;x
EVTOPTA_Plus_1917_generic;Allah may show you mercy, but I shall not;;Allah mag dir Gnade erweisen, aber ich werde es nicht tun.;;;x
EVTOPTB_Plus_1917;A terrible way to die!;;Eine schreckliche Art zu sterben!;;;x
EVTOPTC_Plus_1917;Alas, poor [Root.GetTitledFirstNameNoRegnal]!;;Ach, armer [Root.GetTitledFirstNameNoRegnal]!;;;x
EVTOPTD_Plus_1917;Such is as Allah commands;;Dies ist, was Allah befiehlt;;;x
EVTDESC_Plus_1920;To prove you are free from the sin of gluttony, you have decided you shall publicly fast for ten days in repentance, while praying for the intercession of Allah.;;Um zu beweisen, dass du frei von der Sünde der Völlerei bist, hast du beschlossen, zehn Tage lang öffentlich zu fasten, um Buße zu tun, und dabei um die Fürsprache Allahs zu beten.;;;x
EVTOPTA_Plus_1920;Hunger is a demon to be defeated;;Der Hunger ist ein Dämon, der besiegt werden muss;;;x
EVTDESC_Plus_1921;It is done. Your fast is over, and while it has left you weak, you have demonstrated your piety and a new appreciation for temperance.;;Es ist vollbracht. Dein Fasten ist vorbei, und obwohl es dich geschwächt hat, hast du deine Frömmigkeit bewiesen und ein neues Verständnis für Mäßigung entwickelt.;;;x
EVTOPTA_Plus_1921;Everything in moderation;;Alles in Maßen;;;x
EVTDESC_Plus_1922;Charity is one of the most important virtues of Islam. To prove your charitable nature, you go among the poor and distribute a great deal of your wealth, and then pray with the lowest of the low.;;Die Nächstenliebe ist eine der wichtigsten Tugenden des Islam. Um Ihre Barmherzigkeit unter Beweis zu stellen, gehen Sie zu den Armen und verteilen einen großen Teil Ihres Reichtums, um dann mit den Ärmsten der Armen zu beten.;;;x
EVTOPTA_Plus_1922;Wealth is a curse;;Reichtum ist ein Fluch;;;x
EVTDESC_Plus_1923;It is the responsibility of every Kharijite to spread the faith with determination and ardor. To prove your dedication, you will spend your days memorizing the Holy Qur'an until you can repeat it for the imams, no matter how stressful it might be.;;Es liegt in der Verantwortung eines jeden Kharijiten, den Glauben mit Entschlossenheit und Eifer zu verbreiten. Um deine Hingabe zu beweisen, wirst du deine Tage damit verbringen, den Heiligen Koran auswendig zu lernen, bis du ihn vor den Imamen wiederholen kannst, egal wie anstrengend es auch sein mag.;;;x
EVTOPTA_Plus_1923;It was difficult, but I did it;;Es war schwierig, aber ich habe es geschafft.;;;x
EVTDESC_Plus_1924;A Kharijite must strictly obey Sharia law as written in the Holy Qur'an, and not deviate from it. To prove your dedication, you place the decisions of your court in the hands of the Grand Muffi, and listen intently as his pronouncements are made.;;Ein Kharijite muss die Scharia, wie sie im Heiligen Koran geschrieben steht, strikt befolgen und darf nicht davon abweichen. Um deine Hingabe zu beweisen, legst du die Entscheidungen deines Gerichts in die Hände des Großmuffis und hörst aufmerksam zu, wenn er sie verkündet.;;;x
EVTOPTA_Plus_1924;It was a burden, anyway;;Es war eine Bürde, trotzdem;;;x
EVTDESC_Plus_1925;Every Muslim must put his full faith in the Holy Qur'an, and never doubt or question it. Thus you redouble your efforts to publicly prove your faith, attending services at the mosques with renewed ardor.;;Jeder Muslim muss sein volles Vertrauen in den Heiligen Koran setzen und darf ihn niemals anzweifeln oder in Frage stellen. So verdoppeln Sie Ihre Bemühungen, Ihren Glauben öffentlich zu beweisen, und besuchen die Gottesdienste in den Moscheen mit neuem Eifer.;;;x
EVTOPTA_Plus_1925;But do I truly believe the words I speak?;;Aber glaube ich wirklich an die Worte, die ich spreche?;;;x
EVTOPTB_Plus_1925;I will repeat the words, but I do not truly believe them;;Ich werde die Worte wiederholen, aber ich glaube sie nicht wirklich;;;x
EVTDESC_Plus_1926;Your addiction to drink is a curse, and to overcome it your redouble your efforts in every other facet of your life until you think of it no more. You publicly debase yourself before Allah and commit public penance, to prove that you are no longer the [Root.GetManWoman] they believe you to be.;;Deine Trunksucht ist ein Fluch, und um sie zu überwinden, verdoppelst du deine Anstrengungen in jedem anderen Bereich deines Lebens, bis du nicht mehr daran denkst. Du entwürdigst dich öffentlich vor Allah und tust öffentlich Buße, um zu beweisen, dass du nicht mehr der [Root.GetManWoman] bist, für den man dich hält.;;;x
EVTOPTA_Plus_1926;Forgive me!;;Vergebt mir!;;;x
EVTDESC_Plus_1927;Your immoral lifestyle flies in the face of the Prophet's commandments, and so you eschew all personal desires and instead rededicate yourself to every other facet of your life. You publicly debase yourself before Allah and commit public penance, to prove that you are no longer the [Root.GetManWoman] they believe you to be.;;Dein unmoralischer Lebensstil steht im Widerspruch zu den Geboten des Propheten, und so verzichtest du auf alle persönlichen Wünsche und widmest dich stattdessen allen anderen Aspekten deines Lebens neu. Du erniedrigst dich öffentlich vor Allah und tust öffentlich Buße, um zu beweisen, dass du nicht mehr der [Root.GetManWoman] bist, für den man dich hält.;;;x
EVTDESC_Plus_1928;Decadence is the bane of a Muslim's existence, and you have allowed yourself to wallow in your personal worth for too long. Now you rededicate yourself to every other facet of your life, publicly debasing yourself before Allah and committing public penance, to prove you are no longer the [Root.GetManWoman] they believe you to be.;;Dekadenz ist der Fluch der Existenz eines Muslims, und du hast dir zu lange erlaubt, dich in deinem persönlichen Wert zu suhlen. Jetzt widmest du dich jeder anderen Facette deines Lebens, indem du dich öffentlich vor Allah erniedrigst und öffentliche Buße tust, um zu beweisen, dass du nicht mehr die [Root.GetManWoman] bist, für die sie dich halten.;;;x
EVTDESC_Plus_1929;Though once considered kafir, an apostate in the eyes of Allah due to [Root.GetHerHis] sinful nature, [Root.GetBestName] has committed public penance and divested [Root.GetHerselfHimself] of all immoral desires. Thus [Root.GetSheHe] is ready to be accepted back into the fold as a true Kharijite, deemed worthy by the imams.;;Obwohl [Root.GetHerHis] wegen seiner sündigen Natur in den Augen Allahs einst als Kafir, als Abtrünniger, galt, hat [Root.GetBestName] öffentliche Buße getan und sich von allen unmoralischen Begierden befreit [Root.GetHerselfHimself]. So ist [Root.GetSheHe] bereit, als wahrer Kharijite wieder in die Gemeinschaft aufgenommen zu werden, die von den Imamen als würdig erachtet wird.;;;x
EVTOPTA_Plus_1929;Praise Allah!;;Gelobt sei Allah!;;;x
EVTOPTB_Plus_1929;Well done!;;Gut gemacht!;;;x
EVTDESC_Plus_1930;Your latest collection of Islamic poetry has made quite the stir at court, and your courtiers can't stop talking about them. Your fame as a poet is spreading rapidly.;;Eure jüngste Sammlung islamischer Gedichte hat bei Hofe großes Aufsehen erregt, und Eure Höflinge können nicht aufhören, darüber zu sprechen. Euer Ruhm als Dichter breitet sich rasch aus.;;;x
EVTDESC_Plus_1932_incapable;The work on your epic poetry has, unfortunately, come to an end. You no longer have the mental capacity to pursue it, and the body of work you have created up to this point will, undoubtedly, have to serve as your lasting legacy.;;Die Arbeit an deinem Epos ist leider zu Ende gegangen. Du hast nicht mehr die geistige Kapazität, sie fortzusetzen, und das Werk, das du bis jetzt geschaffen hast, wird zweifellos als dein bleibendes Vermächtnis dienen müssen.;;;x
EVTDESC_Plus_1932_prisoner;Sadly, the work on your epic poem has come to an end now that you are imprisoned. You're not even certain you'll be able to pick up where you were once you get out...if you do.;;Leider ist die Arbeit an Ihrem Epos jetzt, da Sie inhaftiert sind, zu Ende. Sie sind sich nicht einmal sicher, ob Sie nach Ihrer Entlassung wieder dort anknüpfen können, wo Sie waren ... falls Sie es tun.;;;x
EVTDESC_Plus_1932_war;The work on your epic poem is unfortunately delayed due to the outbreak of the war. All is not lost, however! You will pick up the quill once more once all this war business is done.;;Die Arbeit an deinem epischen Gedicht verzögert sich leider durch den Ausbruch des Krieges. Aber es ist noch nicht alles verloren! Du wirst die Feder wieder in die Hand nehmen, sobald der Krieg vorbei ist.;;;x
EVTDESC_Plus_1932_depressed;Your dark mood has removed all desire to work on your epic poem for the time being. Indeed, the despair lingers such that you're uncertain you'll ever pick it up again. What effect does poetry have on the world, after all? Anything?;;Deine düstere Stimmung hat dir die Lust an der Arbeit an deinem Epos vorerst genommen. In der Tat ist die Verzweiflung so groß, dass du nicht sicher bist, ob du es jemals wieder in die Hand nehmen wirst. Welchen Einfluss hat die Poesie auf die Welt, nach all dem? Irgendetwas?;;;x
EVTDESC_Plus_1932_stressed;You have found yourself so stressed over the last year that you just can't see yourself continuing work on your epic poem for the time being...perhaps ever. You shall have to see.;;Sie haben sich im letzten Jahr so gestresst gefühlt, dass Sie sich einfach nicht vorstellen können, die Arbeit an Ihrem epischen Gedicht fortzusetzen... vielleicht sogar nie. Du wirst es sehen müssen.;;;x
EVTDESC_Plus_1932_sick;The malady from which you suffer has made it impossible to progress on your epic poem. Perhaps once you are feeling better, the writing will resume. But for now? Getting over your illness is all you can truly think about.;;Die Krankheit, an der du leidest, hat es unmöglich gemacht, an deinem Epos weiterzuarbeiten. Wenn es dir wieder besser geht, wirst du vielleicht weiterschreiben. Aber im Moment? Die Überwindung deiner Krankheit ist alles, woran du wirklich denken kannst.;;;x
EVTDESC_Plus_1933;Work continues on your epic poem, but as of late your find it...lacking a certain something. You need some inspiration, something to shake up your creative juices. Where will you look for that inspiration?;;Die Arbeit an deinem epischen Gedicht geht weiter, aber in letzter Zeit fehlt dir ... das gewisse Etwas. Du brauchst eine Inspiration, etwas, das deine kreative Ader anregt. Wo wirst du nach dieser Inspiration suchen?;;;x
EVTOPTA_Plus_1933_women;With women, and plenty of them!;;Mit Frauen, und zwar jede Menge davon!;;;x
EVTOPTA_Plus_1933_men;With handsome men, and plenty of them!;;Mit hübschen Männern, und zwar reichlich!;;;x
EVTOPTB_Plus_1933;With a great deal of wine!;;Mit viel Wein!;;;x
EVTOPTC_Plus_1933;With song, merriment, and trouble!;;Mit Gesang, Fröhlichkeit und Ärger!;;;x
EVTOPTD_Plus_1933;Why must I limit myself to just one thing?;;Warum soll ich mich nur auf eine Sache beschränken?;;;x
EVTDESC_Plus_1934;Work continues on your epic poem, but you have run into a problem: to firmly set it in the correct zeitgeist, you need to properly set the scene...and that requires you to look for sources of information outside of your everyday experience.  Where should you start your investigation?;;Die Arbeit an deinem Epos geht weiter, aber du bist auf ein Problem gestoßen: Um es im richtigen Zeitgeist zu verankern, musst du den Schauplatz richtig einrichten ... und das erfordert, dass du nach Informationsquellen außerhalb deiner Alltagserfahrung suchst.  Wo sollten Sie Ihre Nachforschungen beginnen?;;;x
EVTOPTA_Plus_1934;Observe the fashions and intrigues of court;;Beobachten Sie die Moden und Intrigen am Hof;;;x
EVTOPTB_Plus_1934;Spend time with your soldiers, and talk of war;;Verbringen Sie Zeit mit Ihren Soldaten, und sprechen Sie über den Krieg;;;x
EVTOPTC_Plus_1934;Study the tales of history in the library;;Studiere die Geschichten der Geschichte in der Bibliothek;;;x
EVTDESC_Plus_1935_female;Work continues on your epic poem, and lately you have found that a certain young and beautiful woman at court has served marvelously as your muse. Sadly, her heart is spoken for...but, even so, your thoughts are consumed with thoughts of her, to the exclusion of your work.;;Du arbeitest weiter an deinem epischen Gedicht, und in letzter Zeit hast du festgestellt, dass eine bestimmte junge und schöne Frau am Hof dir wunderbar als Muse dient. Leider ist ihr Herz schon vergeben... aber trotzdem verzehren sich Eure Gedanken um sie, so dass Ihr Eure Arbeit vernachlässigt.;;;x
EVTDESC_Plus_1935_male;Work continues on your epic poem, and lately you have found that a certain handsome young man at court has served marvelously as your muse. Sadly, his heart is spoken for...but, even so, your thoughts are consumed with thoughts of him, to the exclusion of your work.;;Die Arbeit an deinem Epos geht weiter, und in letzter Zeit hast du festgestellt, dass ein gewisser gutaussehender junger Mann am Hof dir wunderbar als Muse gedient hat. Leider ist sein Herz schon vergeben... aber trotzdem sind deine Gedanken bei ihm und nicht bei deiner Arbeit.;;;x
EVTOPTA_Plus_1935;Satisfy your carnal desires elsewhere;;Befriedige deine fleischlichen Gelüste woanders;;;x
EVTOPTB_Plus_1935;Is not unrequited love a source of inspiration as well?;;Ist unerwiderte Liebe nicht auch eine Quelle der Inspiration?;;;x
EVTOPTC_Plus_1935_female;I will have her, no matter what!;;Ich will sie haben, egal was passiert!;;;x
EVTOPTC_Plus_1935_male;I will have him, no matter what!;;Ich will ihn haben, egal, was passiert!;;;x
EVTDESC_Plus_1936;You have tried to progress on your epic poem, but as of late you find yourself suffering from severe writer's block. You spend all day staring at an empty parchment, unable to put down anything of note in words.;;Sie haben versucht, an Ihrem epischen Gedicht weiterzuarbeiten, aber in letzter Zeit leiden Sie unter einer schweren Schreibblockade. Du verbringst den ganzen Tag damit, auf ein leeres Pergament zu starren, unfähig, irgendetwas von Bedeutung in Worte zu fassen.;;;x
EVTOPTA_Plus_1936;Shake things up with a party!;;Bringen Sie Abwechslung in die Sache mit einer Feier!;;;x
EVTOPTB_Plus_1936;Lock yourself in a minaret until you write something;;Schließen Sie sich in einem Minarett ein, bis Sie etwas schreiben.;;;x
EVTDESC_Plus_1937;You have tried to progress on your epic poem, but you find yourself giving more and more into despair. Nothing you write seems to have any worth to you, and the words simply never flow. Perhaps you are not the poet everyone thinks you are?;;Sie haben versucht, an Ihrem epischen Gedicht weiterzuarbeiten, aber Sie geben sich immer mehr der Verzweiflung hin. Nichts, was Sie schreiben, scheint Ihnen etwas wert zu sein, und die Worte fließen einfach nicht. Vielleicht bist du nicht der Dichter, für den dich alle halten?;;;x
EVTOPTA_Plus_1937;I should put this aside before I embarrass myself;;Ich sollte das beiseite legen, bevor ich mich blamiere.;;;x
EVTOPTB_Plus_1937;No! I will keep trying, no matter what!;;Nein! Ich werde es weiter versuchen, egal was passiert!;;;x
EVTDESC_Plus_1938;You pause to realize that you have barely worked on your epic poem in the last year. Things keep coming up at court, one distraction after another, and they are always so important!;;Sie halten inne und stellen fest, dass Sie im letzten Jahr kaum an Ihrem epischen Gedicht gearbeitet haben. Am Hof kommen ständig neue Dinge auf, eine Ablenkung nach der anderen, und sie sind immer so wichtig!;;;x
EVTOPTA_Plus_1938;I'll get around to it eventually;;Irgendwann komme ich schon noch dazu.;;;x
EVTDESC_Plus_1939;Work on your epic poem has progressed quickly as of late. You've experienced a significant breakthrough, and the words flow from your pen like...things flowing from a something that flows...;;Die Arbeit an deinem epischen Gedicht ist in letzter Zeit schnell vorangekommen. Ihr habt einen bedeutenden Durchbruch erlebt, und die Worte fließen aus Eurer Feder wie... Dinge, die aus etwas fließen, das fließt...;;;x
EVTOPTA_Plus_1939;I'm pretty good at this!;;Darin bin ich ziemlich gut!;;;x
EVTDESC_Plus_1940;Finally, after much work and toil, you've finally completed your epic poem. The beauty of it is sublime, the imagery innovative and story is inspiring.  You can't wait to recite it before the court.;;Endlich, nach viel Arbeit und Mühe, hast du dein episches Gedicht vollendet. Es ist wunderschön, die Bilder sind innovativ und die Geschichte ist inspirierend.  Du kannst es kaum erwarten, es vor dem Gericht vorzutragen.;;;x
EVTOPTA_Plus_1940;Finally!;;Endlich!;;;x
EVTDESC_Plus_1941;The renowned poet, [Root.GetTitledName], has evidently completed another masterpiece of Islamic literature. It is said that he stood and read it before the court...and the reaction was mixed and unenthusiastic. There are some who say this work will be remembered in time for its greatness, but for now [Root.GetTitledFirstName] appears to mostly be embarrassed.;;Der bekannte Dichter [Root.GetTitledName] hat offenbar ein weiteres Meisterwerk der islamischen Literatur vollendet. Es heißt, er habe es vor dem Gericht vorgetragen ... und die Reaktion war gemischt und wenig enthusiastisch. Es gibt einige, die sagen, dass dieses Werk mit der Zeit für seine Größe in Erinnerung bleiben wird, aber im Moment scheint [Root.GetTitledFirstName] vor allem verlegen zu sein.;;;x
EVTOPTA_Plus_1941;Aargh! All that work, and for what?;;Igitt! So viel Arbeit, und wofür?;;;x
EVTDESC_Plus_1942;The renowned poet, [Root.GetTitledName], has evidently completed another masterpiece of Islamic literature. It is said that he stood and read it before the court...and the reaction was astounding. Men wept tears of joy and women swooned. The work has immediately gained popularity throughout Muslim lands.;;Der berühmte Dichter [Root.GetTitledName] hat offenbar ein weiteres Meisterwerk der islamischen Literatur vollendet. Es heißt, er habe sich hingestellt und es vor dem Gericht vorgetragen ... und die Reaktion war verblüffend. Männer weinten Freudentränen und Frauen fielen in Ohnmacht. Das Werk hat sofort in allen muslimischen Ländern an Popularität gewonnen.;;;x
EVTOPTA_Plus_1942;Now I can finally rest and be content;;Jetzt kann ich endlich ausruhen und zufrieden sein.;;;x
EVTOPTB_Plus_1942;Wonderful work, [Root.GetTitledFirstNameNoRegnal]!;;Wunderbare Arbeit, [Root.GetTitledFirstNameNoRegnal]!;;;x
EVTDESC_Plus_1944;Working in these dimly lit rooms, studying the secrets hidden in the letters of the Holy Qur'an, through countless sleepless nights has taken a toll on your eyes.  You fear your sight is starting to go.;;Die Arbeit in diesen schwach beleuchteten Räumen, das Studium der Geheimnisse, die in den Buchstaben des Heiligen Korans verborgen sind, in unzähligen schlaflosen Nächten hat Ihren Augen zugesetzt.  Du befürchtest, dass deine Sehkraft nachlässt.;;;x
EVTOPTA_Plus_1944;Not my eyes! How will I read?!;;Nicht meine Augen! Wie soll ich lesen?!;;;x
EVTDESC_Plus_1945;While the true secrets hidden within the code of the Holy Qur'an remain elusive, all this constant studying has improved your overall knowledge.;;Auch wenn die wahren Geheimnisse, die sich im Kodex des Heiligen Koran verbergen, nach wie vor schwer fassbar sind, so hat doch das ständige Lernen dein Wissen insgesamt verbessert.;;;x
EVTDESC_Plus_1946;Spending so much time cooped up in a small room, studying the secrets hidden in the holy books, has take a toll on your body. Your muscles have atrophied and your reactions are much slowed. Such is the price of scholarship.;;So viel Zeit in einem kleinen Raum eingesperrt zu verbringen, um die in den heiligen Büchern verborgenen Geheimnisse zu studieren, hat deinen Körper stark in Anspruch genommen. Deine Muskeln sind verkümmert und deine Reaktionen sind deutlich verlangsamt. Das ist der Preis der Gelehrsamkeit.;;;x
EVTDESC_Plus_1947;While the true secrets hidden in the Holy Qur'an has eluded you, working at solving these puzzles has sharped your mind to a fine edge.;;Die wahren Geheimnisse, die im Heiligen Koran verborgen sind, sind dir zwar entgangen, aber die Arbeit an der Lösung dieser Rätsel hat deinen Verstand auf eine feine Kante geschärft.;;;x
EVTDESC_Plus_1948;Over your many months of studying the Holy Qur'an, you have managed to master the hidden secrets in the Persian and Arabic alphabets as well as the knowledge of numerology. You now know many mystic secrets.;;In den vielen Monaten, in denen du den Heiligen Koran studiert hast, ist es dir gelungen, die verborgenen Geheimnisse des persischen und arabischen Alphabets sowie das Wissen der Numerologie zu meistern. Du kennst jetzt viele mystische Geheimnisse.;;;x
EVTDESC_Plus_1949;All those long weeks and months spent studying the Holy Qur'an in order to grasp its secrets, and yet you feel further away from the truth now then when you started. Could all this be just a waste of time?;;All die langen Wochen und Monate, die du mit dem Studium des Heiligen Korans verbracht hast, um seine Geheimnisse zu verstehen, und doch fühlst du dich jetzt weiter von der Wahrheit entfernt als zu Beginn. Könnte all das nur Zeitverschwendung gewesen sein?;;;x
EVTDESC_Plus_1950;Your carnal desires have only served to distract you from your true calling: unlocking the secrets of the Holy Qur'an. Indeed, you've barely touched another person during these last months of study. Perhaps it would be best to avoid them altogether?;;Deine fleischlichen Begierden haben dich nur von deiner wahren Berufung abgelenkt: die Geheimnisse des Heiligen Koran zu entschlüsseln. Tatsächlich hast du in den letzten Monaten deines Studiums kaum einen anderen Menschen berührt. Vielleicht wäre es das Beste, sie ganz zu meiden?;;;x
EVTDESC_Plus_1951;As you slowly start to unlock the secrets of the Holy Qur'an after many months of study, you discover your newfound knowledge has improved your ability to seek the pattern in events around you.;;Als Sie nach vielen Monaten des Studiums langsam beginnen, die Geheimnisse des Heiligen Koran zu entschlüsseln, stellen Sie fest, dass Ihr neu erworbenes Wissen Ihre Fähigkeit verbessert hat, das Muster in den Ereignissen um Sie herum zu erkennen.;;;x
EVTDESC_Plus_1952;The knowledge you've gained through many long months of studying mystic secrets of the Holy Qur'an has sharpened your mind to such a degree that you are now truly considered one of the wisest men of your generation.;;Das Wissen, das Sie in vielen langen Monaten des Studiums der mystischen Geheimnisse des Heiligen Koran erworben haben, hat Ihren Verstand so weit geschärft, dass Sie nun wirklich als einer der weisesten Männer Ihrer Generation gelten.;;;x
EVTDESC_Plus_1953;All those late nights spent pouring over the Holy Qur'an, and it has all taken its toll on your health. You have made progress, but you have also become seriously ill as a result of your dedication.;;All die langen Nächte, in denen du über dem Heiligen Koran gebrütet hast, haben deiner Gesundheit geschadet. Du hast Fortschritte gemacht, aber du bist auch ernsthaft krank geworden, weil du dich so engagiert hast.;;;x
EVTDESC_Plus_1954;You've used your knowledge of the secrets hidden within the code of the Holy Qur'an to predict the future...yet so far all your predictions have turned out wrong, and your subjects are getting restless.;;Du hast dein Wissen um die Geheimnisse des Korans genutzt, um die Zukunft vorherzusagen ... doch bisher haben sich alle deine Vorhersagen als falsch erwiesen, und deine Untertanen werden unruhig.;;;x
EVTDESC_Plus_1955;Your knowledge of the secrets hidden within the code of the Holy Qur'an have predicted a strong and prosperous future for you and your nation.;;Euer Wissen um die Geheimnisse, die im Kodex des Heiligen Korans verborgen sind, hat euch und eurem Volk eine starke und blühende Zukunft vorausgesagt.;;;x
EVTDESC_Plus_1956;Your knowledge of the secrets hidden within the code of the Holy Qur'an have predicted a dark and troubled time for you and your nation. The news has upset the common folk.;;Euer Wissen um die Geheimnisse, die im Kodex des Heiligen Korans verborgen sind, hat euch und eurem Volk eine dunkle und unruhige Zeit vorausgesagt. Die Nachricht hat das gemeine Volk beunruhigt.;;;x
EVTDESC_Plus_1957;Your knowledge and continued study of the secrets hidden within the code in the Holy Qur'an have brought great fame and renown to yourself.;;Dein Wissen und dein fortgesetztes Studium der Geheimnisse, die im Kodex des Heiligen Qur'an verborgen sind, haben dir großen Ruhm und Ansehen eingebracht.;;;x
EVTNAME_Plus_1959;Fazlallah Astarabadi;;Fazlallah Astarabadi;;;x
