#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

########################
#
#	#Great Schism events"
#
########################

## Narrate Schism Prevented
# Title
PlusGreatSchism_003_title;The Patriarch Supreme;;Der Oberste Patriarch;;;;;;;;;;;x
PlusGreatSchism_071_text;[Root.GetTitledName] has invoked the translatio imperii, and been given the blessing of Pope [Root.RelHead.GetFirstName] as the ruler of a Roman Empire reborn. This naturally does not sit well with [e_byzantium.Holder.GetTitledName], who maintains that the Pope does not have the right to bestow such a title. Indeed, the Pope doing so could imply either that [e_byzantium.Holder.GetTitledFirstNameNoRegnal] is not the *true* Roman [e_byzantium.GetRulerTitle] or that [Root.GetTitledFirstNameNoRegnal] has some manner of authority over [e_byzantium.Holder.GetHerHis] realm. Either way, Greek bishops throughout Europe are furious, seeing this as yet more evidence of the Pope's attempts to establish primacy despite the Council of Chalcedon having clearly placed Constantinople as the seat of Christianity's highest ecclesiastical court.;;[Root.GetTitledName] hat sich auf die translatio imperii berufen und den Segen von Papst [Root.RelHead.GetFirstName] als Herrscher eines wiedergeborenen Römischen Reiches erhalten. Das passt natürlich nicht zu [e_byzantium.Holder.GetTitledName], der behauptet, der Papst habe nicht das Recht, einen solchen Titel zu verleihen. In der Tat könnte der Papst damit entweder andeuten, dass [e_byzantium.Holder.GetTitledFirstNameNoRegnal] nicht der *wahre* römische [e_byzantium.GetRulerTitle] ist oder dass [Root.GetTitledFirstNameNoRegnal] eine Art von Autorität über [e_byzantium.Holder.GetHerHis] Reich hat. So oder so sind die griechischen Bischöfe in ganz Europa wütend und sehen darin einen weiteren Beweis für die Versuche des Papstes, den Primat zu erlangen, obwohl das Konzil von Chalcedon Konstantinopel eindeutig zum Sitz des höchsten kirchlichen Gerichts der Christenheit erklärt hat.;;;;;;;;;;;x

# Options
PlusGreatSchism_071_1a;The Pope oversteps [k_papacy.Holder.GetHerHis] bounds;;Der Papst überschreitet [k_papacy.Holder.GetHerHis]-Grenzen;;;;;;;;;;;x
PlusGreatSchism_071_1b;There were two Roman Empires before -- what is the problem?;;Es gab bereits zwei Römische Reiche - wo ist das Problem?;;;;;;;;;;;x
PlusGreatSchism_071_1c;More divisions amongst righteous Christians?;;Noch mehr Spaltungen unter rechtschaffenen Christen?;;;;;;;;;;;x
PlusGreatSchism_071_1d;So the Christians bicker amongst themselves;;Also zanken sich die Christen untereinander;;;;;;;;;;;x

## Carolingian/Holy Roman Emperor fights the Byzantine Empire
# Title
PlusGreatSchism_072_title;The Erosion of Christianity;;Die Erosion des Christentums;;;;;;;;;;;x

# Text
PlusGreatSchism_072_text;With the war currently ongoing between [Root.GetTitledName] and [papal_emperor.GetTitledName], questions have begun to rise about the unity of Chalcedonian Christianity. [papal_emperor.GetTitledFirstName] was crowned by the Pope, was [papal_emperor.GetSheHe] not? Does that not make [papal_emperor.GetHerHim] the Pope's champion? Yet here [papal_emperor.GetSheHe] stands, at war with the [Root.PrimaryTitle.GetRulerTitle] who stands at the center of the eastern Christian faith. Divisions between Latin and Greek Christians have been deepening for years, but this war brings into sharp focus just how bad things have become. More and more, bishops on both sides are talking about a coming schism that could rend Christianity in two.;;Angesichts des Krieges, der derzeit zwischen [Root.GetTitledName] und [papal_emperor.GetTitledName] tobt, werden Fragen zur Einheit des chalcedonischen Christentums laut. [papal_emperor.GetTitledFirstName] wurde vom Papst gekrönt, nicht wahr? Macht das nicht [papal_emperor.GetHerHim] zum Fürsprecher des Papstes? Doch hier steht [papal_emperor.GetSheHe] im Krieg mit dem [Root.PrimaryTitle.GetRulerTitle], der im Zentrum des östlichen christlichen Glaubens steht. Die Spaltungen zwischen lateinischen und griechischen Christen haben sich seit Jahren vertieft, aber dieser Krieg macht deutlich, wie schlimm es geworden ist. Immer mehr Bischöfe auf beiden Seiten sprechen von einer bevorstehenden Spaltung, die das Christentum in zwei Teile zerreißen könnte.;;;;;;;;;;;x

# Options
PlusGreatSchism_072_1a;The [papal_emperor.PrimaryTitle.GetRulerTitle] is clearly to blame for this;;Der [papal_emperor.PrimaryTitle.GetRulerTitle] trägt eindeutig die Schuld daran;;;;;;;;;;;x
PlusGreatSchism_072_1b;The [Root.PrimaryTitle.GetRulerTitle] is clearly to blame for this;;Der [Root.PrimaryTitle.GetRulerTitle] trägt eindeutig die Schuld daran;;;;;;;;;;;x
PlusGreatSchism_072_1c;This bodes ill for us all;;Das verheißt nichts Gutes für uns alle;;;;;;;;;;;x
PlusGreatSchism_072_1d;The coming schism is clearly inevitable;;Das kommende Schisma ist eindeutig unvermeidlich;;;;;;;;;;;x

## Rome adopts Filioque
# Title
PlusGreatSchism_073_title;Adoption of the Filioque;;Annahme des Filioque;;;;;;;;;;;x

# Text
PlusGreatSchism_073_text;'And in the Holy Spirit, the Lord, the giver of life,\nwho proceeds from the Father and the Son,\nwho with the Father and the Son is adored and glorified.'\n\nThe original Nicene Creed, established at the First Council of Nicaea in 325AD, did not have the phrase 'and the Son' added to 'who proceeds from the Father'. This is referred to as the Filioque, and by the decree of Pope [Root.GetFirstName] it has been added to the creed used by Latin bishops, to underline the importance of the Son in the Trinity...and resoundingly rejected by the vast majority of Greek bishops, who are furious that the Pope did so without calling an ecumenical council. To most, this is yet another example of the growing division between Greek and Latin Christianity.;;"Und im Heiligen Geist, dem Herrn, dem Spender des Lebens, \nder vom Vater und vom Sohn ausgeht,\nder mit dem Vater und dem Sohn angebetet und verherrlicht wird.'\n\nDas ursprüngliche Glaubensbekenntnis von Nizäa, das auf dem ersten Konzil von Nicäa im Jahr 325 n. Chr. festgelegt wurde, enthielt nicht den Zusatz ""und den Sohn"" zu ""der vom Vater ausgeht"". Dies wird als Filioque bezeichnet und wurde durch das Dekret von Papst [Root.GetFirstName] dem von den lateinischen Bischöfen verwendeten Glaubensbekenntnis hinzugefügt, um die Bedeutung des Sohnes in der Dreifaltigkeit zu unterstreichen... und von der großen Mehrheit der griechischen Bischöfe entschieden abgelehnt, die wütend darüber sind, dass der Papst dies ohne Einberufung eines ökumenischen Konzils getan hat. Für die meisten ist dies ein weiteres Beispiel für die wachsende Spaltung zwischen der griechischen und der lateinischen Christenheit.";;;;;;;;;;;x

# Options
PlusGreatSchism_073_1a;The Pope oversteps [Root.GetHerHis] bounds once again!;;Der Papst überschreitet [Root.GetHerHis] wieder einmal seine Grenzen!;;;;;;;;;;;x
PlusGreatSchism_073_1b;Do they seriously reject the Son's true importance?;;Leugnen sie ernsthaft die wahre Bedeutung des Sohnes?;;;;;;;;;;;x
PlusGreatSchism_073_1c;Surely some kind of compromise can be reached?;;Kann man denn nicht irgendeinen Kompromiss finden?;;;;;;;;;;;x

## Jurisdictional dispute over the Balkans
# Title
PlusGreatSchism_074_title;Papal Jurisdiction;;Päpstliche Gerichtsbarkeit;;;;;;;;;;;x

# Text
PlusGreatSchism_074_text;A recent rare meeting between [k_papacy.Holder.GetTitledFirstName] and [b_hagiasophia.Holder.GetTitledFirstName] in Constantinople to discuss the ecclesiastical jurisdiction over [Root.PrimaryTitle.GetName] was said to end in near-chaos, with [k_papacy.Holder.GetTitledFirstNameNoRegnal] storming out of the cathedral in a fury. The Pope claims that [Root.PrimaryTitle.GetName] falls within [k_papacy.Holder.GetHerHis] rightful domain, while [b_hagiasophia.Holder.GetTitledFirstNameNoRegnal] claims [Root.PrimaryTitle.GetName] has never been part of either ecclesiastical realm, and that this is yet another example of the Pope striving to assert primacy where it is not warranted. This latest conflict over papal jurisdiction has left both patriarchs almost unwilling to communicate at all, a fact which has left many of their bishops extremely worried.;;Ein kürzlich stattgefundenes seltenes Treffen zwischen [k_papacy.Holder.GetTitledFirstName] und [b_hagiasophia.Holder.GetTitledFirstName] in Konstantinopel, bei dem es um die kirchliche Zuständigkeit für [Root.PrimaryTitle.GetName] ging, soll in einem Beinahe-Chaos geendet haben, als [k_papacy.Holder.GetTitledFirstNameNoRegnal] wütend aus der Kathedrale stürmte. Der Papst behauptet, dass [Root.PrimaryTitle.GetName] in den rechtmäßigen Zuständigkeitsbereich von [k_papacy.Holder.GetHerHis] fällt, während [b_hagiasophia.Holder.GetTitledFirstNameNoRegnal] behauptet, dass [Root.PrimaryTitle.GetName] nie zu einem der beiden kirchlichen Bereiche gehört hat und dass dies ein weiteres Beispiel dafür ist, dass der Papst versucht, eine Vorrangstellung zu beanspruchen, wo sie nicht gerechtfertigt ist. Dieser jüngste Konflikt über die päpstliche Jurisdiktion hat dazu geführt, dass beide Patriarchen kaum noch miteinander kommunizieren wollen, was viele ihrer Bischöfe sehr beunruhigt hat.;;;;;;;;;;;x

# Options
PlusGreatSchism_074_1a;[Root.PrimaryTitle.GetName] is its own domain, clearly;;[Root.PrimaryTitle.GetName] ist eindeutig ein eigener Bereich.;;;;;;;;;;;x
PlusGreatSchism_074_1b;So [Root.PrimaryTitle.GetName] should be left without a proper Patriarch?;;Also sollte [Root.PrimaryTitle.GetName] ohne einen eigenen Patriarchen bleiben?;;;;;;;;;;;x
PlusGreatSchism_074_1c;This bickering does no-one any good...;;Dieses Gezänk nützt niemandem etwas...;;;;;;;;;;;x

## Conflict over the Eucharist
# Title
PlusGreatSchism_075_title;Conflict Over the Eucharist;;Konflikt um die Eucharistie;;;;;;;;;;;x

# Text
PlusGreatSchism_075_text_greek;A dispute between [Root.GetTitledName] and a number of [Root.GetHerHis] Latin priests has quickly spread to the highest reaches of Christian rule. [Root.GetTitledFirstNameNoRegnal], [Root.GetHerHim]self a follower of the Greek rites, took to task a number of priests in [Root.GetHerHis] realm who were using unleavened bread while administering the Eucharist, calling them 'azymites' and ultimately ordering their arrest. The priests complained, outraged, and their anger spread to other Latin realms, resulting in a series of sweeping edicts against several Greek practices. Greek bishops have responded in kind, and while leaders have allowed the matter to blow over, the simmering anger between both sides remains sharp and clear.;;"Ein Streit zwischen [Root.GetTitledName] und einer Reihe von [Root.GetHerHis] lateinischen Priestern hat sich schnell auf die höchsten Ebenen der christlichen Herrschaft ausgebreitet. [Root.GetTitledFirstNameNoRegnal], [Root.GetHerHim]selbst ein Anhänger des griechischen Ritus, nahm eine Reihe von Priestern im Reich von [Root.GetHerHis] aufs Korn, die ungesäuertes Brot bei der Verabreichung der Eucharistie verwendeten, nannte sie ""Azymiten"" und ordnete schließlich ihre Verhaftung an. Die Priester beschwerten sich empört, und ihr Zorn breitete sich auf andere lateinische Reiche aus, was zu einer Reihe von umfassenden Erlassen gegen verschiedene griechische Praktiken führte. Die griechischen Bischöfe haben in gleicher Weise reagiert, und obwohl die Verantwortlichen die Angelegenheit auf sich beruhen lassen, bleibt die schwelende Wut zwischen beiden Seiten scharf und deutlich.";;;;;;;;;;;x
PlusGreatSchism_075_text_latin;A dispute between [Root.GetTitledName] and a number of [Root.GetHerHis] Greek priests has quickly spread to the highest reaches of Christian rule. [Root.GetTitledFirstNameNoRegnal], [Root.GetHerHim]self a follower of the Latin rites, took to task a number of priests in [Root.GetHerHis] realm who were using leavened bread while administering the Eucharist, calling them 'prozymites' and ultimately ordering their arrest. The priests complained, outraged, and their anger spread to other Greek realms, resulting in a series of sweeping edicts against several Latin practices. Latin bishops have responded in kind, and while leaders have allowed the matter to blow over, the simmering anger between both sides remains sharp and clear.;;"Ein Streit zwischen [Root.GetTitledName] und einer Reihe von [Root.GetHerHis] griechischen Priestern hat sich schnell auf die höchsten Ebenen der christlichen Herrschaft ausgebreitet. [Root.GetTitledFirstNameNoRegnal], [Root.GetHerHim]selbst ein Anhänger des lateinischen Ritus, nahm eine Reihe von Priestern im Reich von [Root.GetHerHis] aufs Korn, die gesäuertes Brot bei der Spendung der Eucharistie verwendeten, nannte sie ""Prozymiten"" und ordnete schließlich ihre Verhaftung an. Die Priester beschwerten sich empört, und ihr Zorn breitete sich auf andere griechische Reiche aus, was zu einer Reihe von umfassenden Erlassen gegen verschiedene lateinische Praktiken führte. Die lateinischen Bischöfe haben in gleicher Weise reagiert, und obwohl die Verantwortlichen die Angelegenheit auf sich beruhen ließen, bleibt der schwelende Zorn zwischen beiden Seiten scharf und deutlich.";;;;;;;;;;;x

# Options
PlusGreatSchism_075_1a;The Eucharist uses leavened bread -- only!;;Bei der Eucharistie wird gesäuertes Brot verwendet - nur!;;;;;;;;;;;x
PlusGreatSchism_075_1b;The Eucharist uses unleavened bread -- only!;;In der Eucharistie wird ungesäuertes Brot verwendet - nur!;;;;;;;;;;;x
PlusGreatSchism_075_1c;All this over bread? Seriously?;;All das wegen Brot? Ernsthaft?;;;;;;;;;;;x

## Wicked Pope or Patriarch
# Title
PlusGreatSchism_076_title;The Wicked [Root.PrimaryTitle.GetRulerTitle];;Der böse [Root.PrimaryTitle.GetRulerTitle];;;;;;;;;;;x

# Text
PlusGreatSchism_076_text;The depredations of [Root.GetTitledName] are renowned throughout the Christian world, [Root.GetHerHis] wickedness having reached such infamy that [other_patriarch.GetTitledFirstName] has called for [Root.GetHerHis] removal from holy office. [Root.GetTitledFirstNameNoRegnal] is said to have laughed at this, shocking [Root.GetHerHis] advisors by launching into a tirade over the [other_patriarch.PrimaryTitle.GetRulerTitle] within earshot of the [other_patriarch.PrimaryTitle.GetRulerTitle]'s envoys. The resulting chill between the Greek and Latin leaders has deepened the already-wide division in Christianity, once again raising the specter of a possible schism within the faith.;;Die Verwüstungen von [Root.GetTitledName] sind in der ganzen christlichen Welt bekannt, und [Root.GetHerHis] Schlechtigkeit hat eine solche Schande erreicht, dass [other_patriarch.GetTitledFirstName] die Absetzung von [Root.GetHerHis] von seinem heiligen Amt gefordert hat. Es heißt, dass [Root.GetTitledFirstNameNoRegnal] darüber gelacht und [Root.GetHerHis]-Berater schockiert hat, indem er in Hörweite der Gesandten des [other_patriarch.PrimaryTitle.GetRulerTitle] eine Tirade über den [other_patriarch.PrimaryTitle.GetRulerTitle] losgelassen hat. Die daraus resultierende Schockstarre zwischen den griechischen und lateinischen Führern hat die bereits bestehende Spaltung des Christentums vertieft und erneut das Gespenst einer möglichen Spaltung des Glaubens aufkommen lassen.;;;;;;;;;;;x

# Options
PlusGreatSchism_076_1;What was the [Root.PrimaryTitle.GetRulerTitle] thinking?;;Was hat sich der [Root.PrimaryTitle.GetRulerTitle] dabei gedacht?;;;;;;;;;;;x

## Call for Ecumenical Council refused
# Title
PlusGreatSchism_077_title;Call for Council Refused;;Aufruf zum Konzil abgelehnt;;;;;;;;;;;x

# Text
PlusGreatSchism_077_text;Perhaps fearing the ever-growing rift between the Latin and Greek branches of Christianity, [Root.GetTitledName] issued a call for reconciliation with a new Ecumenical Council in [Root.Capital.GetName]... a call that has been met by [current_patriarch.GetTitledName] with little more than stony silence. For many, this was seen as a last chance to avert what they see as the coming schism. Now all such hope has been quenched, and it is thought to be only a matter of time before the division becomes official.;;Vielleicht aus Furcht vor der immer größer werdenden Kluft zwischen dem lateinischen und dem griechischen Zweig des Christentums rief [Root.GetTitledName] in [Root.Capital.GetName] zu einer Versöhnung mit einem neuen Ökumenischen Konzil auf... ein Aufruf, der von [current_patriarch.GetTitledName] mit kaum mehr als steinigem Schweigen beantwortet worden ist. Viele sahen darin eine letzte Chance, das zu verhindern, was sie als kommende Spaltung ansehen. Diese Hoffnung ist nun erloschen, und es ist wohl nur noch eine Frage der Zeit, bis die Spaltung offiziell wird.;;;;;;;;;;;x

# Options
PlusGreatSchism_077_1a;'Reconciliation', [Root.GetSheHe] calls it? Ha!;;"Versöhnung"", wie [Root.GetSheHe] es nennt? Ha!";;;;;;;;;;;x
PlusGreatSchism_077_1b;If it happens, it is on the Ecumenical Patriarch's head;;Wenn es dazu kommt, geht es auf die Kappe des Ökumenischen Patriarchen.;;;;;;;;;;;x
PlusGreatSchism_077_1c;I suppose we shall have to wait and see;;Wir müssen wohl abwarten und sehen.;;;;;;;;;;;x
PlusGreatSchism_077_1d;Has it truly become so bad between them?;;Ist es wirklich so schlimm zwischen den beiden geworden?;;;;;;;;;;;



# Old stuff, now unused?
EVTOPTC_Plus_2231;This is of great concern...;;Dies ist von großer Bedeutung...;;;;;;;;;;;x
EVTOPTD_Plus_2231;A truly glorious day;;Ein wahrhaft glorreicher Tag;;;;;;;;;;;x
EVTOPTE_Plus_2231;This has nothing to do with us;;Das hat nichts mit uns zu tun;;;;;;;;;;;x
EVTOPTB_Plus_2237;A few centuries late, I'd say;;Ein paar Jahrhunderte zu spät, würde ich sagen;;;;;;;;;;;x
EVTOPTC_Plus_2237;Victory over a dead religion? How grand;;Der Sieg über eine tote Religion? Wie großartig!;;;;;;;;;;;x
EVTOPTB_Plus_2238;There weren't many to begin with, were there?;;Es waren nicht viele, um damit anzufangen, oder?;;;;;;;;;;;x
EVTOPTB_Plus_2245;Well, that was an unexpected turn of history...;;Nun, das war eine unerwartete Wendung der Geschichte...;;;;;;;;;;;x
EVTOPTC_Plus_2245;These differences are important to Christians, then?;;Diese Unterschiede sind also für die Christen wichtig?;;;;;;;;;;;x
EVTDESC_Plus_2246_no_second;At the behest of [council_holder.GetTitledName], an unprecedented ecumenical council is to take place at [council_location.GetName], one which will address the Council of Chalcedon from the 5th Century -- that historic event which originally repudiated 'monophysitism' and split its believers from the Christian Church. This time, however, the [mender_religion.Religion.GetName] faith is set to unite the eastern churches under its doctrine. [target_religion1.GetTitledName] is said to be arriving, as is a large number of priests, patriarchs, and senior members of both the [mender_religion.Religion.GetName] and [target_religion1.Religion.GetName] faiths. With [council_holder.GetTitledFirstNameNoRegnal]'s influence backing the council, the [target_religion.PrimaryTitle.GetRulerTitle] will likely have no choice but to accede to its wishes even if this will turn [target_religion.GetHerHim] into a virtual heretic. Already [target_religion1.Religion.GetName] and [target_religion2.Religion.GetName] rulers across the world are considering whether to accept the inevitable and convert.;;"Auf Geheiß von [council_holder.GetTitledName] soll in [council_location.GetName] ein noch nie dagewesenes ökumenisches Konzil stattfinden, das sich mit dem Konzil von Chalkedon aus dem 5. Jahrhundert befasst - jenem historischen Ereignis, das ursprünglich den ""Monophysitismus"" ablehnte und dessen Gläubige von der christlichen Kirche spaltete. Diesmal jedoch will der [mender_religion.Religion.GetName] Glaube die östlichen Kirchen unter seiner Lehre vereinen. Es heißt, dass [target_religion1.GetTitledName] sowie eine große Anzahl von Priestern, Patriarchen und hochrangigen Mitgliedern sowohl der [mender_religion.Religion.GetName] als auch der [target_religion1.Religion.GetName] anreisen werden. Mit dem Einfluss von [council_holder.GetTitledFirstNameNoRegnal] im Rücken wird [target_religion.PrimaryTitle.GetRulerTitle] wahrscheinlich keine andere Wahl haben, als sich den Wünschen des Rates zu fügen, selbst wenn dies [target_religion.GetHerHim] zu einem virtuellen Ketzer macht. Bereits jetzt überlegen die Herrscher von [target_religion1.Religion.GetName] und [target_religion2.Religion.GetName] auf der ganzen Welt, ob sie das Unvermeidliche akzeptieren und konvertieren sollen.";;;;;;;;;;;x
EVTOPTD_Plus_2279;The coming schism is clearly inevitable;;Das kommende Schisma ist eindeutig unvermeidlich;;;;;;;;;;;x
EVTOPTD_Plus_2284;Has it truly become so bad between them?;;Ist es wirklich so schlimm zwischen ihnen geworden?;;;;;;;;;;;x
