#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
bogomilist_church_group;Faith Organization;;Organisation des Glaubens;;;x
mazdaki_wealth_4_desc;The portion of wealth and taxes which are set aside for the common people goes far beyond what even Mazdak would have thought possible. The people would be very happy under such a regime, feeling as if a large amount of the work they do for their rulers are returned to them in kind. The nobility, however, will be far less pleased.;;Der Anteil des Reichtums und der Steuern, der für das gemeine Volk vorgesehen ist, geht weit über das hinaus, was selbst Mazdak für möglich gehalten hätte. Das Volk wäre unter einem solchen Regime sehr glücklich, da es das Gefühl hätte, einen großen Teil der Arbeit, die es für seine Herrscher leistet, in Naturalien zurückzubekommen. Der Adel hingegen wird weit weniger erfreut sein.;;;x
mazdaki_wealth_4_option;Max;;Max;;;x
regency;In Regency;Régence;In der Regentschaft;;;x
regency_ai;In Regency;Régence;In der Regentschaft;;;x
regency_ai_desc;This character's realm is being ruled by a regent, a dangerous time during which vassals would jostle for power and influence over the monarch.;Ce personnage du Royaume est remplacé par un régent, une période dangereuse durant laquelle les vassaulx se bousculent pour obtenir du pouvoir et de l'influence au détriment du monarque impuissant.;Das Reich dieses Charakters wird von einem Regenten regiert, eine gefährliche Zeit, in der die Vasallen um Macht und Einfluss auf den Monarchen ringen.;;;x
regency_desc;This character's realm is being ruled by a regent, a dangerous time during which vassals would jostle for power and influence over the monarch.;Ce personnage du Royaume est remplacé par un régent, une période dangereuse durant laquelle les vassaulx se bousculent pour obtenir du pouvoir et de l'influence au détriment du monarque impuissant.;Das Reich dieses Charakters wird von einem Regenten regiert, einer gefährlichen Zeit, in der die Vasallen um Macht und Einfluss auf den Monarchen ringen.;;;x
elective_to_feudal_elective;Vote on Feudal Elective;;Abstimmen über Feudales Wahlvolk;;;x
elective_to_hre_elective;Vote on Princely Elective;;Abstimmen über Fürstliches Wahlrecht;;;x
elective_to_byzantine_elective;Vote on Imperial Elective;;Über kaiserliches Wahlrecht abstimmen;;;x
succ_elective_to_feudal_elective;Vote on Elective Monarchy;;Über Wahlmonarchie abstimmen;;;x
succ_elective_to_feudal_elective_desc;[From.GetFeudalElectiveTypeDesc];;[From.GetFeudalElectiveTypeDesc];;;x
succ_elective_to_gavelkind;Vote on Gavelkind;Voter Partage Salique;Abstimmen über Gavelkind;;Votar por Partes iguales;x
succ_elective_to_gavelkind_desc;The titles of the ruler are divided among his children, with the oldest getting the primary title. If the ruler has no children who can inherit, the law defaults to Primogeniture. You get no Prestige penalty for having unlanded sons, and can have a §Y30%§! larger demesne. Gavelkind is a very popular law with everyone except the oldest child.;Les titres du Suzerain sont répartis entre ses enfants, l'aisné héritant du titre principal. Si le Suzerain n'a point d'enfants, la loi basée sur la primogéniture s'applique. Vous ne subissez nulle pénalité de prestige lorsque vous avez des fils sans terres, et pouvez posséder un Domaine §Y30%§! plus grand. La loi de partage salique est très appréciée de tous, sauf de l'aisné des enfants.;Die Titel des Herrschers werden unter seinen Kindern aufgeteilt, wobei das älteste Kind den Haupttitel erhält. Wenn der Herrscher keine Kinder hat, die erben können, gilt standardmäßig das Primogeniturgesetz. Man erhält keinen Prestigeabzug, wenn man keine Söhne hat, und kann eine §Y30%§! größere Demesne haben. Gavelkind ist ein sehr beliebtes Gesetz bei allen außer dem ältesten Kind.;;Los títulos del gobernante se dividen entre sus hijos, siendo el mayor el que obtiene el título principal. Si el gobernante no tiene hijos que puedan heredar, la ley remite por defecto a la primogenitura. No pierdes prestigio por tener hijos sin tierras y tu heredad puede ser un §Y30%§! mayor. La sucesión a partes iguales es una ley muy aceptada por todos salvo por el hijo mayor.;x
succ_elective_to_primogeniture;Vote on Primogeniture;Voter Primogéniture;Abstimmung über Primogenitur;;Votar por Primogenitura;x
succ_elective_to_primogeniture_desc;The oldest child of the ruler inherits all titles. Your successor will like the law, but other members of your dynasty will slightly disapprove.;L'aisné du souverain hérite de tous ses titres. Votre successeur appréciera cette loi, mais les aultres membres de votre dynastie la désapprouveront.;Das älteste Kind des Herrschers erbt alle Titel. Ihr Nachfolger wird das Gesetz mögen, aber andere Mitglieder Ihrer Dynastie werden es leicht missbilligen.;;El hijo mayor del soberano hereda todos los títulos. A tu sucesor le gustará la ley, mientras que a otros miembros de tu dinastía no les parecerá del todo bien.;x
succ_elective_to_seniority;Vote on Seniority;Voter Séniorité;Abstimmung über das Dienstalter;;Votar por Veteranía;x
succ_elective_to_seniority_desc;The oldest member of the dynasty inherits all titles. Your oldest child will greatly disapprove of this law, but all other members of the dynasty will approve.;Le plus vieux membre de la dynastie hérite de tous les titres. Contrairement aulx aultres membres de la dynastie, votre aisné désapprouvera cette loi.;Das älteste Mitglied der Dynastie erbt alle Titel. Ihr ältestes Kind wird dieses Gesetz sehr ablehnen, aber alle anderen Mitglieder der Dynastie werden es befürworten.;;El miembro más antiguo hereda todos los títulos. El hijo mayor no estará nada de acuerdo con esta ley, pero sí los demás miembros de la dinastía.;x
succ_elective_to_tanistry;Vote on Traditional Elective Law;;Abstimmen über Traditionelles Wahlrecht;;;x
elective_to_tanistry;Vote on Tanistry;;Abstimmung über das Tanisterium;;;x
elective_to_eldership;Vote on Eldership;;Abstimmen über Ältestenschaft;;;x
succ_elective_to_tanistry_desc;[From.GetTanistryOrEldershipDesc];;[From.GetTanistryOrEldershipDesc];;;x
succ_gavelkind_desc;The titles of the ruler are divided among his children, with the oldest getting the primary title. If the ruler has no children who can inherit, the law defaults to Primogeniture. You get no Prestige penalty for having unlanded sons, and can have a §Y33%§! larger demesne. Gavelkind is a very popular law with everyone except the oldest child.;Les titres du souverain sont répartis entre ses enfants, l'aisné héritant du titre principal. Si le souverain n'a point d'enfants, la loi basée sur la primogéniture s'applique. Vous ne subissez nulle pénalité de prestige lorsque vous avez des fils sans terres, et pouvez posséder un domaine §Y33%§! plus grand. La loi basée sur le partage salique est très appréciée de tous, sauf de l'aisné des enfants.;Die Titel des Herrschers werden unter seinen Kindern aufgeteilt, wobei das älteste Kind den ersten Titel erhält. Wenn der Herrscher keine Kinder hat, die erben können, gilt standardmäßig das Gesetz der Primogenitur. Man erhält keinen Prestigeabzug, wenn man keine Söhne hat, und kann eine §Y33%§! größere Demesne haben. Gavelkind ist ein sehr beliebtes Gesetz bei allen außer dem ältesten Kind.;;Los títulos del gobernante se dividen entre sus hijos, siendo el mayor el que obtiene el título principal. Si el gobernante no tiene hijos que puedan heredar, la ley remite por defecto a la primogenitura. No pierdes prestigio por tener hijos sin tierras y tu heredad puede ser un §Y33%§! mayor. La sucesión a partes iguales es una ley muy aceptada por todos salvo por el hijo mayor.;x
succ_institute_elective_gavelkind;Elective Gavelkind;Gavelkind électif;Wahlrecht Gavelkind;;Gavelkind Electiva;x
succ_institute_elective_gavelkind_desc;The titles of the ruler are divided among his children and the primary heir, who is elected from among the members of the ruling dynasty. The law defaults to Primogeniture. You get no Prestige penalty for having unlanded sons, and can have a §Y30%§! larger demesne. Destruction of titles under any form of Gavelkind succession is not allowed. On succession in kingdoms and empires, new kingdoms might be created for younger sons if possible. Junior heirs always get the choice to declare independence without a war.;Les titres du dirigeant sont répartis parmi ses enfants et son héritier principal, qui est élu parmi les membres de la dynastie dirigeante. La loi basée sur la primogéniture s'applique Vous ne perdez pas de Prestige si vous avez des fils sans terres et vous pouvez avoir un domaine §Y30%§! plus grand. Il n'est pas permis de détruire des titres qui sont régis par la succession Gavelkind. Concernant la succession des royaumes et des empires, de nouveaux royaumes peuvent être créés pour les plus jeunes fils dans la mesure du possible. Les héritiers plus jeunes ont toujours le choix de déclarer l'indépendance sans guerre.;Die Titel des Herrschers werden unter seinen Kindern und dem Haupterben aufgeteilt, der aus den Mitgliedern der herrschenden Dynastie gewählt wird. Das Gesetz sieht standardmäßig Primogenitur vor. Man erhält keinen Prestigeabzug, wenn man ungeborene Söhne hat, und kann eine §Y30%§! größere Demesne haben. Die Zerstörung von Titeln unter jeder Form der Gavelkind-Nachfolge ist nicht erlaubt. Bei der Erbfolge in Königreichen und Imperien können, wenn möglich, neue Königreiche für jüngere Söhne geschaffen werden. Jüngere Erben haben immer die Möglichkeit, die Unabhängigkeit zu erklären, ohne dass es zu einem Krieg kommt.;;Los títulos del gobernante se reparten entre sus hijos y su principal heredero, que es elegido de entre los miembros de la dinastía reinante. La ley señala, por defecto, al primogénito. Aunque tengas hijos sin tierras, no recibirás ninguna penalización de Prestigio, y puedes obtener una terratenencia un ¡§Y30%§! mayor. No se permite la destrucción de títulos bajo ninguna forma de la sucesión Gavelkind. En la sucesión en reinos e imperios, se pueden crear nuevos reinos destinados a los hijos menores, a ser posible. Los herederos más pequeños siempre tienen la opción de declarar la independencia sin una guerra.;x
succ_institute_feudal_elective;Elective Monarchy;Monarchie élective;Wahlmonarchie;;Elección;x
succ_institute_feudal_elective_desc;[From.GetFeudalElectiveTypeDesc];;[From.GetFeudalElectiveTypeDesc];;;x
succ_institute_gavelkind;Gavelkind;Partage salique;Gavelkind;;Partes iguales;x
succ_institute_gavelkind_desc;The titles of the ruler are divided among his children, with the oldest getting the primary title. If the ruler has no children who can inherit, the law defaults to Primogeniture. You get no Prestige penalty for having unlanded sons, and can have a §Y30%§! larger demesne. Gavelkind is a very popular law with everyone except the oldest child.;Les titres du Suzerain sont répartis entre ses enfants, l'aisné héritant du titre principal. Si le Suzerain n'a point d'enfants, la loi basée sur la primogéniture s'applique. Vous ne subissez nulle pénalité de prestige lorsque vous avez des fils sans terres, et pouvez posséder un Domaine §Y30%§! plus grand. La loi de partage salique est très appréciée de tous, sauf de l'aisné des enfants.;Die Titel des Herrschers werden unter seinen Kindern aufgeteilt, wobei das älteste Kind den Haupttitel erhält. Wenn der Herrscher keine Kinder hat, die erben können, gilt standardmäßig das Primogeniturgesetz. Man erhält keinen Prestigeabzug, wenn man keine Söhne hat, und kann eine §Y30%§! größere Demesne haben. Gavelkind ist ein sehr beliebtes Gesetz bei allen außer dem ältesten Kind.;;Los títulos del gobernante se dividen entre sus hijos, siendo el mayor el que obtiene el título principal. Si el gobernante no tiene hijos que puedan heredar, la ley remite por defecto a la primogenitura. No pierdes prestigio por tener hijos sin tierras y tu heredad puede ser un §Y30%§! mayor. La sucesión a partes iguales es una ley muy aceptada por todos salvo por el hijo mayor.;x
succ_institute_primogeniture;Primogeniture;Primogéniture;Primogenitur;;Primogenitura;x
succ_institute_primogeniture_desc;The oldest child of the ruler inherits all titles. Your successor will like the law, but other members of your dynasty will slightly disapprove.;L'aisné du souverain hérite de tous ses titres. Votre successeur appréciera cette loi, mais les aultres membres de votre dynastie la désapprouveront.;Das älteste Kind des Herrschers erbt alle Titel. Ihrem Nachfolger wird das Gesetz gefallen, aber die anderen Mitglieder Ihrer Dynastie werden es nicht gutheißen.;;El hijo mayor del soberano hereda todos los títulos. A tu sucesor le gustará la ley, mientras que a otros miembros de tu dinastía no les parecerá del todo bien.;x
succ_institute_seniority;Seniority;Ancienneté;Dienstalter;;Veteranía;x
succ_institute_seniority_desc;The oldest member of the dynasty inherits all titles. Your oldest child will greatly disapprove of this law, but all other members of the dynasty will approve.;Le plus vieux membre de la dynastie hérite de tous les titres. Contrairement aulx aultres membres de la dynastie, votre aisné désapprouvera cette loi.;Das älteste Mitglied der Dynastie erbt alle Titel. Ihr ältestes Kind wird dieses Gesetz sehr missbilligen, aber alle anderen Mitglieder der Dynastie werden es gutheißen.;;El miembro más antiguo hereda todos los títulos. El hijo mayor no estará nada de acuerdo con esta ley, pero sí los demás miembros de la dinastía.;x
succ_institute_tanistry;Traditional Elective;;Traditionelles Wahlrecht;;;x
succ_institute_tanistry_desc;[From.GetTanistryOrEldershipDesc];;[From.GetTanistryOrEldershipDesc];;;x
succ_institute_ultimogeniture;Ultimogeniture;Ultimogéniture;Ultimogenitur;;Ultimogenitura;x
succ_institute_ultimogeniture_desc;This succession law is the opposite of the far more common Primogeniture. With Ultimogeniture, the youngest child inherits.;Cette règle de dévolution successorale est l'inverse de la primogéniture habituelle. Dans le cas de l'ultimogéniture, c'est le plus jeune enfant qui devient l'héritier.;Dieses Erbrecht ist das Gegenteil der weitaus häufigeren Primogenitur. Bei der Ultimogenitur erbt das jüngste Kind.;;Esta ley de sucesión se opone a la mucho más frecuente primogenitura. En la ultimogenitura, el heredero es el hijo más joven.;x
succ_placeholder_message;CK2+ is Loading...;CK2+ est en cours de chargement...;CK2+ wird geladen...;;;x
succ_placeholder_message_desc;Succession laws will become available in a few weeks of game time.;Les lois de succession deviendront valables en quelques semaines de temps dans le jeu;Die Erbschaftsgesetze werden in einigen Wochen verfügbar sein.;;;x
succ_papal_succession;Religious Elective;;Religiöses Wahlrecht;;;x
succ_papal_succession_desc;The religion head is elected by a group of appointed peers depending on age, piety, popularity and other factors.;;Das Religionsoberhaupt wird von einer Gruppe von ernannten Gleichgesinnten gewählt, abhängig von Alter, Frömmigkeit, Beliebtheit und anderen Faktoren.;;;x
succ_turkish_succession;Open;Ouvert;Offen;;;x
taifa_law_group;Taifa Vassals;;Taifa-Vasallen;;;x
taifa_law_group_desc;Muslim vassals in the Iberian peninsula are notoriously independent, and it will require extra effort -- and a charismatic leader -- to reign them in and create a more centralized realm as in the eastern caliphates.;;Die muslimischen Vasallen auf der iberischen Halbinsel sind notorisch unabhängig, und es wird zusätzlicher Anstrengungen - und eines charismatischen Führers - bedürfen, um sie unter Kontrolle zu bringen und ein zentralisierteres Reich wie in den östlichen Kalifaten zu schaffen.;;;x
taifa_law_0;Independent;;Unabhängig;;;x
taifa_law_0_desc;Your vassals are restive, and their contribution towards your levies are lower than normal.;;Ihre Vasallen sind unruhig und ihr Beitrag zu Ihren Abgaben ist geringer als normal.;;;x
taifa_law_0_option;Independent;;Unabhängig;;;x
taifa_law_1;Restricted;;Eingeschränkt;;;x
taifa_law_1_desc;Restrictions have been placed on your vassals to make them heed your rule more closely.;;Ihren Vasallen wurden Beschränkungen auferlegt, um sie dazu zu bringen, Ihre Herrschaft besser zu befolgen.;;;x
taifa_law_1_option;Restricted;;Eingeschränkt;;;x
taifa_law_2;Full Subjects;;Volle Untertanen;;;x
taifa_law_2_desc;Your vassals are now full subjects under your rule, and will fully heed your call when the time for war comes.;;Eure Vasallen sind nun vollwertige Untertanen unter Eurer Herrschaft und werden Eurem Ruf gehorchen, wenn die Zeit des Krieges gekommen ist.;;;x
taifa_law_2_option;Full;;Vollständig;;;x
tax_privileges;Tax Privileges;Régimes fiscaulx privilégiés;Steuerliche Privilegien;;;x
tax_privileges_0;Crown Tax Privileges;Privilèges d'impôts pour la Couronne;Steuerliche Privilegien der Krone;;;x
tax_privileges_0_desc;Crown revenues are increased at the expense of the vassals.;Les revenus de la Couronne sont augmentés au détriment de celui des vassals.;Die Einnahmen der Krone werden auf Kosten der Vasallen erhöht.;;;x
tax_privileges_0_option;Crown;Couronne;Krone;;;x
tax_privileges_0_vassal;Crown Privileges;Privilèges de la Couronne;Kronenprivilegien;;;x
tax_privileges_0_vassal_desc;Our liege's laws require us to pay an additional portion of our revenues to the crown.;Les loix de notre suzerain exigent que nous payons une part supplémentaire d'impôts la Couronne.;Die Gesetze unserer Lehnsherren verpflichten uns, einen zusätzlichen Teil unserer Einnahmen an die Krone abzuführen.;;;x
tax_privileges_1;Balanced Taxation;Imposition équilibrée;Ausgewogene Besteuerung;;;x
tax_privileges_1_desc;Vassal and crown revenues are set at the same level.;Les revenus de la Couronne et des vassaulx sont équilibrés.;Die Einkünfte der Vasallen und der Krone werden gleich hoch angesetzt.;;;x
tax_privileges_1_option;Balance;Équilibre;Ausgewogen;;;x
tax_privileges_2;Vassal Tax Privileges;Privilèges d'impôts pour les vassaulx;Vasallensteuerprivilegien;;;x
tax_privileges_2_desc;Vassal revenues are increased at the expense of the crown.;Les revenus des vassaulx sont augmentés au détriment de ceulx de la Couronne.;Die Einnahmen der Vasallen werden auf Kosten der Krone erhöht.;;;x
tax_privileges_2_option;Vassal;Vassal;Vasallen;;;x
tax_privileges_2_vassal;Vassal Privileges;Privilèges aulx vassaulx;Vasallen-Privilegien;;;x
tax_privileges_2_vassal_desc;Our liege's laws allow us to raise additional revenues at the expense of the crown.;Les loix de notre suzerain nous permettent de conserver une part supplémentaire de notre revenu,au détriment de la Couronne.;Die Gesetze unseres Lehnsherrn erlauben uns, zusätzliche Einnahmen auf Kosten der Krone zu erzielen.;;;x
tax_privileges_group;Tax Privileges;Privilèges d'impôts;Steuerliche Privilegien;;;x
tax_privileges_group_desc;This law determines who is favored in the realm's taxation.;Cette loi détermine qui est favorisé dans la taxation du royaume.;Dieses Gesetz bestimmt, wer bei der Besteuerung des Reiches bevorzugt wird.;;;x
temple_tax_0;Small Church Taxes;Impôts de l'Eglise Faibles;Kleine Kirchensteuern;;;x
temple_tax_0_desc;Landed Priests are expected to make a small financial contribution to the greater good of the realm.;On attend une faible contribution financière de la part des Seigneurs ecclésiastiques pour le plus grand bien du Royaume.;Von Priestern mit Landbesitz wird erwartet, dass sie einen kleinen finanziellen Beitrag zum Wohl des Reiches leisten.;;;x
temple_tax_0_option;Small;Faibles;Klein;;;x
temple_tax_1;Medium Church Taxes;Impôts de l'Eglise Normaulx;Mittlere Kirchensteuer;;;x
temple_tax_1_desc;Landed Priests are expected to make a moderate financial contribution to the greater good of the realm.;On attend une contribution financière normale de la part des Seigneurs ecclésiastiques pour le plus grand bien du Royaume.;Von Priestern mit Landbesitz wird erwartet, dass sie einen mäßigen finanziellen Beitrag zum Wohl des Reiches leisten.;;;x
temple_tax_1_option;Medium;Normaulx;Mittel;;;x
temple_tax_2;Large Church Tax;Impôts de l'Eglise importants;Große Kirchensteuer;;;x
temple_tax_2_desc;Landed Priests are expected to make a substantial financial contribution to the greater good of the realm.;On attend une contribution financière substantielle de la part des Seigneurs ecclésiastiques pour le plus grand bien du Royaume.;Von Priestern mit Landbesitz wird erwartet, dass sie einen erheblichen finanziellen Beitrag zum Wohl des Reiches leisten.;;;x
temple_tax_2_option;Large;Importants;Groß;;;x
waldensian_charity_law;Waldensian Charity;;Waldensische Wohltätigkeit;;;x
waldensian_charity_law_desc;All Waldensian rulers are required to give a healthy amount of their wealth to the poor. The question is whether the act is an optional one, or whether such charity will be required by law amongst the ruler's vassals.;;Alle waldensischen Herrscher sind verpflichtet, einen großen Teil ihres Vermögens an die Armen zu spenden. Die Frage ist, ob es sich dabei um einen freiwilligen Akt handelt oder ob eine solche Wohltätigkeit unter den Vasallen des Herrschers gesetzlich vorgeschrieben ist.;;;x
wald_charity_0;Optional Charity;;Freiwillige Wohltätigkeit;;;x
wald_charity_0_option;Optional;;Freiwillig;;;x
wald_charity_0_desc;All charity amongst rulers is provided at their own volition. Unsurprisingly, this does not happen very often.;;Alle Almosen unter Herrschern werden auf deren eigenen Wunsch hin gewährt. Es überrascht nicht, dass dies nicht sehr oft vorkommt.;;;x
wald_charity_1;Enforced Charity;;Erzwungene Wohltätigkeit;;;x
wald_charity_1_option;Enforced;;Erzwungene;;;x
wald_charity_1_desc;Charity amongst rulers is required by law -- a portion of all taxes are given to the poor, something that is appreciated by the Waldensian Church but rather disliked among feudal vassals.;;Wohltätigkeit unter Herrschern ist gesetzlich vorgeschrieben - ein Teil aller Steuern wird an die Armen gespendet, was von der waldensischen Kirche geschätzt wird, aber bei den feudalen Vasallen eher unbeliebt ist.;;;x
culture_conversion_group;Culture Conversion;;Kulturumwandlung;;;x
culture_conversion_group_desc;This law determines how cultural conversion will happen in the realm.;;Dieses Gesetz bestimmt, wie die kulturelle Umwandlung im Reich vonstatten gehen soll.;;;x
culture_conversion_0;No Cultural Conversion;;Keine Kulturumwandlung;;;x
culture_conversion_0_option;None;;Keine;;;x
culture_conversion_0_desc;Cultural conversion will be very slow, and the ruler will have no way of forcing conversion. However, nationalist revolts are less likely to happen.;;Die kulturelle Anpassung erfolgt nur sehr langsam, und der Herrscher hat keine Möglichkeit, die Anpassung zu erzwingen. Nationalistische Revolten sind jedoch weniger wahrscheinlich.;;;x
culture_conversion_1;Passive Cultural Conversion;;Passive kulturelle Umwandlung;;;x
culture_conversion_1_option;Passive;;Passiv;;;x
culture_conversion_1_desc;Cultural conversion will happen at normal rate.;;Die kulturelle Umwandlung erfolgt in normalem Tempo.;;;x
culture_conversion_2;Active Cultural Conversion;;Aktive kulturelle Umwandlung;;;x
culture_conversion_2_option;Active;;Aktiv;;;x
culture_conversion_2_desc;Cultural conversion will be accelerated. Nationalist revolts are more likely, and provinces of wrong culture cannot prosper.;;Die kulturelle Umwandlung wird beschleunigt. Nationalistische Revolten sind wahrscheinlicher, und Provinzen mit falscher Kultur können nicht gedeihen.;;;x
